Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
R. Pasveer,Heracles Almelo,1,16,1,4,0,2160,8,
P. Tytoń,FC Twente,0,10,0,0,0,480,1,
J. Zoet,AZ Alkmaar,1,4,0,0,0,540,1,
L. Unnerstall,FC Twente,0,28,0,5,0,2790,9,
H. Verhulst,AZ Alkmaar,0,0,0,0,0,0,0,
L. Koopmans,Fortuna Sittard,0,2,0,1,0,540,1,
M. Branderhorst,FC Utrecht,1,21,1,15,0,2520,19,
N. Olij,PSV Eindhoven,0,28,0,18,0,3060,20,
M. Brouwer,FC Utrecht,0,6,0,0,0,270,0,
T. Wellenreuther,Feyenoord,0,35,0,4,0,2610,8,
A. Noppert,SC Heerenveen,0,15,0,3,0,1366,5,
T. Didillon,Willem II Tilburg,0,34,0,7,0,3450,11,
H. Jurjus,FC Groningen,0,4,0,0,0,180,0,
V. Barkas,FC Utrecht,1,19,0,7,0,2790,12,
Y. van Osch,RKC Waalwijk,0,6,0,0,0,270,0,
J. Drommel,Sparta Rotterdam,0,0,0,0,0,45,0,
E. Vaessen,FC Groningen,5,21,0,9,0,2880,26,
J. De Busser,Go Ahead Eagles,0,12,0,5,0,1440,7,
J. Schendelaar,PEC Zwolle,0,28,0,16,0,2700,23,
F. de Keijzer,Heracles Almelo,1,29,0,8,0,3060,12,
M. Spenkelink,RKC Waalwijk,0,2,0,0,0,360,0,
L. Plogmann,Go Ahead Eagles,0,25,0,8,0,1620,9,
IEI. El Maach,FC Twente,0,0,0,0,0,0,0,
R. Mantel,Heracles Almelo,0,0,0,0,0,0,0,
NBN. Bakker,SC Heerenveen,0,71,0,11,0,3051,11,
B. Minnema,SC Cambuur,0,0,0,0,0,0,0,
C. van den Berg,Vitesse,0,0,0,0,0,0,0,
R. Janse,NEC Nijmegen,0,0,0,0,0,0,0,
D. Deen,AZ Alkmaar,0,0,0,0,0,0,0,
T. Jansen,SC Cambuur,0,1,0,0,0,120,0,
S. Jansen,Go Ahead Eagles,0,0,0,0,0,0,0,
N. Verdoni,Go Ahead Eagles,0,0,0,0,0,0,0,
N. Schiks,PSV Eindhoven,0,0,0,0,0,0,0,
T. de Graaff,PEC Zwolle,0,0,0,0,0,0,0,
R. Jayden Owusu-Oduro,AZ Alkmaar,3,23,2,7,0,2700,14,
K. Gadellaa,FC Utrecht,0,0,0,0,0,0,0,
T. Jansink,Heracles Almelo,0,0,0,0,0,0,0,
D. Baron,FC Groningen,0,0,0,0,0,0,0,
B. Klaverboer,SC Heerenveen,0,1,0,0,0,7,0,
J. Meijster,SC Cambuur,0,0,0,0,0,0,0,
S. Karssies,FC Twente,0,0,0,0,0,0,0,
D. Verduin,PEC Zwolle,0,0,0,0,0,0,0,
N. Martens,Fortuna Sittard,0,0,0,0,0,0,0,
L. Vogels,RKC Waalwijk,0,0,0,0,0,0,0,
DTD. Tevreden,Vitesse,0,0,0,0,0,0,0,
R. Bayram,Fortuna Sittard,0,0,0,0,0,0,0,
YGY. Gerritsen,FC Twente,0,0,0,0,0,0,0,
