Name,Team,Mins,Saves,Unnamed: 3
R. Pasveer,Heracles Almelo,2160,67,
P. Tytoń,FC Twente,480,18,
J. Zoet,AZ Alkmaar,540,10,
L. Unnerstall,FC Twente,2790,64,
H. Verhulst,AZ Alkmaar,0,0,
L. Koopmans,Fortuna Sittard,540,20,
M. Branderhorst,FC Utrecht,2520,93,
N. Olij,PSV Eindhoven,3060,111,
M. Brouwer,FC Utrecht,270,9,
T. Wellenreuther,Feyenoord,2610,71,
A. Noppert,SC Heerenveen,1366,44,
T. Didillon,Willem II Tilburg,3450,140,
H. Jurjus,FC Groningen,180,4,
V. Barkas,FC Utrecht,2790,99,
Y. van Osch,RKC Waalwijk,270,17,
J. Drommel,Sparta Rotterdam,45,0,
E. Vaessen,FC Groningen,2880,94,
J. De Busser,Go Ahead Eagles,1440,67,
J. Schendelaar,PEC Zwolle,2700,100,
F. de Keijzer,Heracles Almelo,3060,129,
M. Spenkelink,RKC Waalwijk,360,12,
L. Plogmann,Go Ahead Eagles,1620,49,
IEI. El Maach,FC Twente,0,0,
R. Mantel,Heracles Almelo,0,0,
NBN. Bakker,SC Heerenveen,3051,119,
B. Minnema,SC Cambuur,0,0,
C. van den Berg,Vitesse,0,0,
R. Janse,NEC Nijmegen,0,0,
D. Deen,AZ Alkmaar,0,0,
T. Jansen,SC Cambuur,120,2,
S. Jansen,Go Ahead Eagles,0,0,
N. Verdoni,Go Ahead Eagles,0,0,
N. Schiks,PSV Eindhoven,0,0,
T. de Graaff,PEC Zwolle,0,0,
R. Jayden Owusu-Oduro,AZ Alkmaar,2700,56,
K. Gadellaa,FC Utrecht,0,0,
T. Jansink,Heracles Almelo,0,0,
D. Baron,FC Groningen,0,0,
B. Klaverboer,SC Heerenveen,7,2,
J. Meijster,SC Cambuur,0,0,
S. Karssies,FC Twente,0,0,
D. Verduin,PEC Zwolle,0,0,
N. Martens,Fortuna Sittard,0,0,
L. Vogels,RKC Waalwijk,0,0,
DTD. Tevreden,Vitesse,0,0,
R. Bayram,Fortuna Sittard,0,0,
YGY. Gerritsen,FC Twente,0,0,
