Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
L. Schöne,NEC Nijmegen,34,328,989,0,2.0,1,0,0.1029,0.103,0.4689,4,6,7,4,0,13,202,173,24,10,0,2,Midfielder
J. de Guzmán,Sparta Rotterdam,23,45,990,0,,0,0,0.0,,0.0219,0,0,1,1,0,2,31,27,2,0,0,0,Midfielder
I. Perišić,PSV Eindhoven,29,1804,991,8,42.0,19,9,4.7609,4.841,6.6843,23,20,5,18,10,63,828,670,56,153,12,42,Midfielder
M. Kieftenbeld,SC Cambuur,1,26,992,0,,0,0,0.0,,0.0,1,0,0,4,0,5,14,9,0,0,0,1,Midfielder
D. Klaassen,AFC Ajax,31,2182,993,2,22.0,13,8,4.2521,3.55,2.9517,33,49,14,31,4,91,927,806,39,7,6,22,Midfielder
J. Toornstra,Sparta Rotterdam,34,1362,994,4,25.0,8,1,2.3562,2.374,3.5495,24,17,13,5,8,45,457,334,51,59,4,24,Midfielder
J. Clasie,AZ Alkmaar,25,1841,995,2,12.0,1,0,0.4429,0.441,2.3403,50,38,32,4,3,70,1286,1122,131,6,4,23,Midfielder
M. Engels,Heracles Almelo,31,2174,996,4,35.0,12,4,5.1765,5.317,3.1251,23,12,9,8,7,84,396,315,22,79,10,27,Midfielder
T. Bruns,Heracles Almelo,32,1166,997,2,24.0,7,3,2.3573,2.339,3.1972,29,18,3,15,4,81,379,276,44,107,3,34,Midfielder
M. Seuntjens,FC Groningen,16,668,998,2,10.0,7,2,1.6504,0.853,1.867,13,4,1,6,1,24,194,137,36,53,3,20,Midfielder
M. Diemers,SC Cambuur,1,120,999,0,8.0,1,1,0.0,,0.0,3,0,0,1,4,11,52,43,7,20,0,6,Midfielder
A. Halilović,Fortuna Sittard,27,1788,1000,3,44.0,12,2,4.4038,3.656,2.3202,24,7,7,4,18,74,589,505,75,75,6,25,Midfielder
R. Thomas,PEC Zwolle,30,853,1001,2,,0,0,0.0,,0.3703,27,28,23,12,0,51,453,365,56,1,1,9,Midfielder
JSJ. Schuurman,Willem II Tilburg,3,300,1002,4,3.0,1,0,0.0,,0.0,3,8,3,4,2,10,106,81,20,24,2,16,Midfielder
K. Peterson,Fortuna Sittard,30,1835,1003,2,45.0,13,7,5.6189,3.252,2.8734,25,24,8,15,21,90,441,334,25,104,8,28,Midfielder
V. van Crooij,Sparta Rotterdam,26,2019,1004,6,38.0,20,10,4.5244,3.857,2.8772,29,36,10,39,4,92,536,404,55,79,4,27,Midfielder
A. Verschueren,FC Twente,36,2083,1005,2,55.0,12,1,4.2925,4.456,2.5358,45,41,18,52,17,118,637,451,58,27,2,31,Midfielder
L. Brouwers,SC Heerenveen,25,2001,1006,2,29.0,12,3,3.6324,3.486,1.1923,40,38,24,29,6,99,941,799,50,8,3,19,Midfielder
P. Clement,Sparta Rotterdam,33,1693,1007,4,18.0,4,2,1.5259,1.527,3.107,31,44,23,32,7,87,832,669,73,44,4,29,Midfielder
C. Eiting,FC Twente,32,1472,1008,3,24.0,8,3,2.2159,2.218,4.3974,43,33,16,16,8,73,734,557,69,77,9,38,Midfielder
R. van der Venne,RKC Waalwijk,18,738,1009,1,22.0,10,4,2.1615,2.15,1.6742,8,8,2,1,5,22,242,165,31,8,1,9,Midfielder
J. Monteiro,PEC Zwolle,29,1987,1010,2,17.0,7,2,2.4503,2.46,3.9356,62,6,15,5,4,138,926,816,49,68,6,31,Midfielder
N. Doodeman,Willem II Tilburg,38,1666,1011,3,5.0,2,0,0.3259,0.326,3.2657,19,21,8,7,1,42,430,334,28,150,8,36,Midfielder
G. Roemeratoe,RKC Waalwijk,32,1524,1012,1,9.0,1,1,0.6009,0.729,0.9746,42,34,17,16,6,72,585,485,78,1,1,5,Midfielder
J. Schouten,PSV Eindhoven,19,1297,1013,2,7.0,4,1,0.846,0.847,2.0053,15,13,9,24,2,64,943,853,25,1,1,23,Midfielder
G. Til,PSV Eindhoven,34,2023,1014,11,64.0,36,10,10.4415,10.602,6.2393,27,9,6,25,11,81,692,580,21,43,15,32,Midfielder
O. Velanas,PEC Zwolle,32,1355,1015,2,28.0,7,1,3.2395,3.238,2.3401,18,18,11,16,11,60,371,287,18,53,4,23,Midfielder
J. Veerman,PSV Eindhoven,28,1832,1016,8,31.0,15,1,2.8765,2.924,9.7852,36,35,8,15,5,68,1551,1345,165,171,15,72,Midfielder
V. Jensen,FC Utrecht,33,1130,1017,3,20.0,5,2,2.8604,3.042,1.6219,20,16,5,16,6,50,402,316,24,3,2,22,Midfielder
T. Oosting,PEC Zwolle,34,784,1018,0,13.0,7,1,1.0939,1.094,1.1271,10,10,2,10,0,26,230,173,11,20,0,14,Midfielder
D. van Kaam,RKC Waalwijk,34,1087,1019,3,4.0,1,0,0.5459,0.93,1.2051,22,25,8,10,2,42,461,393,28,54,2,23,Midfielder
L. Olden Larsen,NEC Nijmegen,19,357,1020,0,9.0,0,0,0.6028,0.603,0.1556,7,6,2,8,1,17,126,88,11,10,0,5,Midfielder
O. Edvardsen,AFC Ajax,26,1173,1021,3,42.0,17,12,8.8022,8.749,1.8881,15,18,10,20,5,86,312,237,18,13,4,14,Midfielder
J. Moder,Feyenoord,14,1199,1022,2,19.0,7,3,2.8822,1.399,1.954,28,31,13,20,5,66,562,439,49,9,3,14,Midfielder
N. Souren,SC Cambuur,1,0,1023,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
I. Hwang,Feyenoord,22,1625,1024,2,26.0,9,3,0.9475,0.969,3.3608,33,23,19,12,8,73,990,849,79,48,7,33,Midfielder
S. Mannsverk,AFC Ajax,3,180,1025,0,2.0,0,0,0.0668,0.067,0.2954,1,5,1,3,2,8,123,101,7,1,0,2,Midfielder
Ú. Embaló,Fortuna Sittard,11,11,1026,0,1.0,1,0,0.0693,0.069,0.0,0,0,0,0,0,0,0,0,0,2,0,0,Midfielder
I. Sadiq,AZ Alkmaar,22,1060,1027,4,29.0,14,7,3.7011,3.638,3.2658,19,9,6,9,7,57,342,268,25,19,9,22,Midfielder
T. Booth,FC Twente,22,537,1028,1,3.0,0,0,0.0789,0.078,0.1106,11,8,3,9,1,36,120,74,9,24,2,7,Midfielder
M. Suray,Go Ahead Eagles,34,1468,1029,0,31.0,7,3,1.9981,2.004,2.2353,32,17,5,3,10,60,563,439,35,31,2,36,Midfielder
