Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
L. Schöne,NEC Nijmegen,0,0,2.0,1,0,328,0.1029,0.103,0.4689,
J. de Guzmán,Sparta Rotterdam,0,0,,0,0,45,0.0,,0.0219,
I. Perišić,PSV Eindhoven,8,12,42.0,19,9,1804,4.7609,4.841,6.6843,
M. Kieftenbeld,SC Cambuur,0,0,,0,0,26,0.0,,0.0,
D. Klaassen,AFC Ajax,2,6,22.0,13,8,2182,4.2521,3.55,2.9517,
J. Toornstra,Sparta Rotterdam,4,4,25.0,8,1,1362,2.3562,2.374,3.5495,
J. Clasie,AZ Alkmaar,2,4,12.0,1,0,1841,0.4429,0.441,2.3403,
M. Engels,Heracles Almelo,4,10,35.0,12,4,2174,5.1765,5.317,3.1251,
T. Bruns,Heracles Almelo,2,3,24.0,7,3,1166,2.3573,2.339,3.1972,
M. Seuntjens,FC Groningen,2,3,10.0,7,2,668,1.6504,0.853,1.867,
M. Diemers,SC Cambuur,0,0,8.0,1,1,120,0.0,,0.0,
A. Halilović,Fortuna Sittard,3,6,44.0,12,2,1788,4.4038,3.656,2.3202,
R. Thomas,PEC Zwolle,2,1,,0,0,853,0.0,,0.3703,
JSJ. Schuurman,Willem II Tilburg,4,2,3.0,1,0,300,0.0,,0.0,
K. Peterson,Fortuna Sittard,2,8,45.0,13,7,1835,5.6189,3.252,2.8734,
V. van Crooij,Sparta Rotterdam,6,4,38.0,20,10,2019,4.5244,3.857,2.8772,
A. Verschueren,FC Twente,2,2,55.0,12,1,2083,4.2925,4.456,2.5358,
L. Brouwers,SC Heerenveen,2,3,29.0,12,3,2001,3.6324,3.486,1.1923,
P. Clement,Sparta Rotterdam,4,4,18.0,4,2,1693,1.5259,1.527,3.107,
C. Eiting,FC Twente,3,9,24.0,8,3,1472,2.2159,2.218,4.3974,
R. van der Venne,RKC Waalwijk,1,1,22.0,10,4,738,2.1615,2.15,1.6742,
J. Monteiro,PEC Zwolle,2,6,17.0,7,2,1987,2.4503,2.46,3.9356,
N. Doodeman,Willem II Tilburg,3,8,5.0,2,0,1666,0.3259,0.326,3.2657,
G. Roemeratoe,RKC Waalwijk,1,1,9.0,1,1,1524,0.6009,0.729,0.9746,
J. Schouten,PSV Eindhoven,2,1,7.0,4,1,1297,0.846,0.847,2.0053,
G. Til,PSV Eindhoven,11,15,64.0,36,10,2023,10.4415,10.602,6.2393,
O. Velanas,PEC Zwolle,2,4,28.0,7,1,1355,3.2395,3.238,2.3401,
J. Veerman,PSV Eindhoven,8,15,31.0,15,1,1832,2.8765,2.924,9.7852,
V. Jensen,FC Utrecht,3,2,20.0,5,2,1130,2.8604,3.042,1.6219,
T. Oosting,PEC Zwolle,0,0,13.0,7,1,784,1.0939,1.094,1.1271,
D. van Kaam,RKC Waalwijk,3,2,4.0,1,0,1087,0.5459,0.93,1.2051,
L. Olden Larsen,NEC Nijmegen,0,0,9.0,0,0,357,0.6028,0.603,0.1556,
O. Edvardsen,AFC Ajax,3,4,42.0,17,12,1173,8.8022,8.749,1.8881,
J. Moder,Feyenoord,2,3,19.0,7,3,1199,2.8822,1.399,1.954,
N. Souren,SC Cambuur,0,0,,0,0,0,0.0,,0.0,
