Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
L. Schöne,NEC Nijmegen,34,0,328,0.1029,0.4689,
J. de Guzmán,Sparta Rotterdam,23,0,45,0,0.0219,
I. Perišić,PSV Eindhoven,29,9,1804,4.7609,6.6843,
M. Kieftenbeld,SC Cambuur,1,0,26,0,0,
D. Klaassen,AFC Ajax,31,8,2182,4.2521,2.9517,
J. Toornstra,Sparta Rotterdam,34,1,1362,2.3562,3.5495,
J. Clasie,AZ Alkmaar,25,0,1841,0.4429,2.3403,
M. Engels,Heracles Almelo,31,4,2174,5.1765,3.1251,
T. Bruns,Heracles Almelo,32,3,1166,2.3573,3.1972,
M. Seuntjens,FC Groningen,16,2,668,1.6504,1.867,
M. Diemers,SC Cambuur,1,1,120,0,0,
A. Halilović,Fortuna Sittard,27,2,1788,4.4038,2.3202,
R. Thomas,PEC Zwolle,30,0,853,0,0.3703,
JSJ. Schuurman,Willem II Tilburg,3,0,300,0,0,
K. Peterson,Fortuna Sittard,30,7,1835,5.6189,2.8734,
V. van Crooij,Sparta Rotterdam,26,10,2019,4.5244,2.8772,
A. Verschueren,FC Twente,36,1,2083,4.2925,2.5358,
L. Brouwers,SC Heerenveen,25,3,2001,3.6324,1.1923,
P. Clement,Sparta Rotterdam,33,2,1693,1.5259,3.107,
C. Eiting,FC Twente,32,3,1472,2.2159,4.3974,
R. van der Venne,RKC Waalwijk,18,4,738,2.1615,1.6742,
J. Monteiro,PEC Zwolle,29,2,1987,2.4503,3.9356,
N. Doodeman,Willem II Tilburg,38,0,1666,0.3259,3.2657,
G. Roemeratoe,RKC Waalwijk,32,1,1524,0.6009,0.9746,
J. Schouten,PSV Eindhoven,19,1,1297,0.846,2.0053,
G. Til,PSV Eindhoven,34,10,2023,10.4415,6.2393,
O. Velanas,PEC Zwolle,32,1,1355,3.2395,2.3401,
J. Veerman,PSV Eindhoven,28,1,1832,2.8765,9.7852,
V. Jensen,FC Utrecht,33,2,1130,2.8604,1.6219,
T. Oosting,PEC Zwolle,34,1,784,1.0939,1.1271,
D. van Kaam,RKC Waalwijk,34,0,1087,0.5459,1.2051,
L. Olden Larsen,NEC Nijmegen,19,0,357,0.6028,0.1556,
O. Edvardsen,AFC Ajax,26,12,1173,8.8022,1.8881,
J. Moder,Feyenoord,14,3,1199,2.8822,1.954,
N. Souren,SC Cambuur,1,0,0,0,0,
I. Hwang,Feyenoord,22,3,1625,0.9475,3.3608,
S. Mannsverk,AFC Ajax,3,0,180,0.0668,0.2954,
Ú. Embaló,Fortuna Sittard,11,0,11,0.0693,0,
I. Sadiq,AZ Alkmaar,22,7,1060,3.7011,3.2658,
T. Booth,FC Twente,22,0,537,0.0789,0.1106,
M. Suray,Go Ahead Eagles,34,3,1468,1.9981,2.2353,
J. Kitolano,Sparta Rotterdam,27,0,1595,1.963,1.7586,
P. Koopmeiners,AZ Alkmaar,36,1,2973,1.4639,5.4249,
M. Ihattaren,Fortuna Sittard,27,4,1563,3.984,5.3783,
J. Žambůrek,Heracles Almelo,24,0,934,0.1221,0.9301,
E. Linthorst,Go Ahead Eagles,33,3,2522,0.9373,2.8973,
C. Bozdoğan,FC Utrecht,11,1,406,0.6433,0.0524,
S. Steijn,Feyenoord,35,27,2982,17.0347,5.5969,
N. Ünüvar,Heracles Almelo,15,0,391,1.0969,1.136,
D. Proper,NEC Nijmegen,26,0,2161,1.4094,1.3785,
M. Kjølø,FC Twente,36,0,1048,0.2034,0.9683,
D. Cleonise,RKC Waalwijk,28,1,1102,0.5949,2.8878,
S. Mijnans,AZ Alkmaar,30,6,2412,7.91,5.7228,
R. Zerrouki,FC Twente,27,1,1096,0.7568,1.1487,
P. Vroegh,RKC Waalwijk,30,0,41,0.0614,0,
R. Meerveld,SC Heerenveen,37,6,3293,2.2665,3.0653,
Y. Regeer,AFC Ajax,25,1,1466,1.5028,2.9931,
B. Limbombe,Heracles Almelo,20,0,365,0.6313,0.6934,
A. Engwanda,FC Utrecht,24,0,1277,0.0675,0.3074,
D. van den Berg,FC Utrecht,33,4,2235,2.9444,2.102,
K. Fitz-Jim,AFC Ajax,33,2,1229,2.1302,2.1808,
S. Mito,Sparta Rotterdam,32,5,1511,5.1803,1.5211,
T. Rölke,SC Cambuur,1,0,80,0,0,
Y. Oukili,Fortuna Sittard,33,6,2223,4.5765,1.8128,
SLS. Lagsir,PEC Zwolle,2,0,2,0.0266,0,
Z. Iqbal,FC Utrecht,23,1,1456,0.5545,1.8421,
J. Trenskow,SC Heerenveen,26,6,1816,4.0356,3.8725,
O. Siira Sivertsen,Go Ahead Eagles,14,0,155,0.0999,0.4923,
J. Breum,Go Ahead Eagles,26,10,2062,6.269,5.5989,
S. Ltaief,FC Twente,36,1,1195,1.4643,3.8773,
JBJ. Baas,Sparta Rotterdam,20,0,850,0.1478,1.3662,
RKR. Kuijpers,RKC Waalwijk,29,0,230,0.8037,0.3324,
É. Michut,Fortuna Sittard,21,1,1041,1.6174,0.4498,
D. Rots,FC Twente,34,3,2299,4.9688,4.8406,
Z. Buurmeester,PEC Zwolle,33,4,1215,2.9362,2.0013,
I. Saibari,PSV Eindhoven,29,11,1786,11.2613,5.691,
C. Twigt,Willem II Tilburg,26,0,458,0.0437,1.1797,
S. Resink,FC Groningen,31,5,2370,2.9979,1.5212,
O. Targhalline,Feyenoord,8,0,292,0.0298,0.3958,
DAD. Al-Saed,SC Heerenveen,15,0,199,0.0207,0.4496,
Y. Cathline,FC Utrecht,26,6,1957,3.2866,3.8066,
L. Valente,Feyenoord,32,2,2608,3.1114,4.7574,
T. de Jonge,FC Groningen,23,1,1279,0.981,0.9972,
PBP. Brittijn,Fortuna Sittard,1,0,21,0,0,
L. Smans,SC Heerenveen,35,3,2388,3.771,4.9924,
D. Weidmann,FC Twente,12,0,798,0.2144,0.3386,
R. Daal,AZ Alkmaar,16,0,69,0,0.0323,
D. Kwakman,AZ Alkmaar,27,2,1194,1.2473,0.512,
Y. Taha,FC Groningen,15,1,319,0.204,0.5172,
LSL. Sauer,Feyenoord,31,7,2493,5.2031,3.5823,
K. Hlynsson,AFC Ajax,22,3,1407,3.6849,1.7652,
T. van de Loo,RKC Waalwijk,34,2,1828,1.4242,1.4942,
K. Sano,NEC Nijmegen,26,3,2078,1.4389,1.6459,
S. Scheperman,Heracles Almelo,24,1,1639,1.1373,0.4545,
RER. El Arguioui,FC Utrecht,4,0,0,0,0,
S. 't Zand,Feyenoord,29,1,1058,2.334,0.9966,
R. van Bommel,PSV Eindhoven,26,4,1673,6.0699,2.8882,
TvT. van Gilst,Heracles Almelo,1,0,83,0,0,
JSJ. Slory,Go Ahead Eagles,3,2,262,0,0,
J. Faberski,PEC Zwolle,1,0,0,0,0,
TKT. Kraaijeveld,Feyenoord,1,0,0,0,0,
R. Weijenberg,Go Ahead Eagles,26,0,344,0.7606,0.5681,
T. Schenkhuizen,Fortuna Sittard,17,0,5,0.0449,0.0058,
D. Mathieu,Willem II Tilburg,2,0,0,0,0,
S. Ouaissa,NEC Nijmegen,34,7,1970,4.1227,3.6649,
RBR. Bounida,AFC Ajax,3,0,13,0,0,
K. Smit,AZ Alkmaar,28,0,1152,1.112,1.4907,
A. Lachkar,Willem II Tilburg,28,0,2130,0.7145,0.7848,
J. Schreuders,FC Groningen,32,5,1960,2.3878,3.0475,
G. Zechiël,Feyenoord,30,2,1282,2.1769,1.6965,
G. Besselink,Willem II Tilburg,33,0,389,0,0.1081,
T. Land,FC Groningen,23,0,41,0.0416,0.0275,
M. Witteveen,RKC Waalwijk,2,0,0,0,0,
ASA. Sliti,Feyenoord,12,1,90,0.3835,0.1529,
N. Fichtinger,PEC Zwolle,32,0,851,0.246,0.5495,
HKH. Kuster,RKC Waalwijk,25,0,21,0.0452,0,
IHI. Henstra,SC Cambuur,1,0,15,0,0,
J. Mokio,AFC Ajax,16,1,505,0.9071,0.3556,
KBK. Boogaard,AZ Alkmaar,2,0,0,0,0,
M. Linday,SC Heerenveen,16,2,1357,1.2579,1.318,
AOA. Oufkir,AZ Alkmaar,20,0,50,0.0685,0.1096,
IAI. Ahmed,SC Heerenveen,13,0,8,0,0,
SSS. Steur,AFC Ajax,3,0,10,0,0,
D. van der Werff,FC Groningen,18,0,22,0.2031,0.1576,
GRG. Reiziger,PEC Zwolle,4,0,0,0,0,
L. Tunjić,Fortuna Sittard,31,1,481,0.7644,0.6068,
HKH. Korkmazyürek,Fortuna Sittard,3,0,4,0.0796,0,
T. van den Elshout,Feyenoord,1,0,0,0,0,
UvU. van Aalst,Willem II Tilburg,14,0,37,0,0.0122,
DVD. Visser,SC Cambuur,1,0,0,0,0,
ABA. Burak Sayin,Fortuna Sittard,1,0,3,0,0,
