Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
L. Schöne,NEC Nijmegen,4,6,7,4,0,328,13,
J. de Guzmán,Sparta Rotterdam,0,0,1,1,0,45,2,
I. Perišić,PSV Eindhoven,23,20,5,18,10,1804,63,
M. Kieftenbeld,SC Cambuur,1,0,0,4,0,26,5,
D. Klaassen,AFC Ajax,33,49,14,31,4,2182,91,
J. Toornstra,Sparta Rotterdam,24,17,13,5,8,1362,45,
J. Clasie,AZ Alkmaar,50,38,32,4,3,1841,70,
M. Engels,Heracles Almelo,23,12,9,8,7,2174,84,
T. Bruns,Heracles Almelo,29,18,3,15,4,1166,81,
M. Seuntjens,FC Groningen,13,4,1,6,1,668,24,
M. Diemers,SC Cambuur,3,0,0,1,4,120,11,
A. Halilović,Fortuna Sittard,24,7,7,4,18,1788,74,
R. Thomas,PEC Zwolle,27,28,23,12,0,853,51,
JSJ. Schuurman,Willem II Tilburg,3,8,3,4,2,300,10,
K. Peterson,Fortuna Sittard,25,24,8,15,21,1835,90,
V. van Crooij,Sparta Rotterdam,29,36,10,39,4,2019,92,
A. Verschueren,FC Twente,45,41,18,52,17,2083,118,
L. Brouwers,SC Heerenveen,40,38,24,29,6,2001,99,
P. Clement,Sparta Rotterdam,31,44,23,32,7,1693,87,
C. Eiting,FC Twente,43,33,16,16,8,1472,73,
R. van der Venne,RKC Waalwijk,8,8,2,1,5,738,22,
J. Monteiro,PEC Zwolle,62,6,15,5,4,1987,138,
N. Doodeman,Willem II Tilburg,19,21,8,7,1,1666,42,
G. Roemeratoe,RKC Waalwijk,42,34,17,16,6,1524,72,
J. Schouten,PSV Eindhoven,15,13,9,24,2,1297,64,
G. Til,PSV Eindhoven,27,9,6,25,11,2023,81,
O. Velanas,PEC Zwolle,18,18,11,16,11,1355,60,
J. Veerman,PSV Eindhoven,36,35,8,15,5,1832,68,
V. Jensen,FC Utrecht,20,16,5,16,6,1130,50,
T. Oosting,PEC Zwolle,10,10,2,10,0,784,26,
D. van Kaam,RKC Waalwijk,22,25,8,10,2,1087,42,
L. Olden Larsen,NEC Nijmegen,7,6,2,8,1,357,17,
O. Edvardsen,AFC Ajax,15,18,10,20,5,1173,86,
J. Moder,Feyenoord,28,31,13,20,5,1199,66,
N. Souren,SC Cambuur,0,0,0,0,0,0,0,
I. Hwang,Feyenoord,33,23,19,12,8,1625,73,
S. Mannsverk,AFC Ajax,1,5,1,3,2,180,8,
Ú. Embaló,Fortuna Sittard,0,0,0,0,0,11,0,
I. Sadiq,AZ Alkmaar,19,9,6,9,7,1060,57,
T. Booth,FC Twente,11,8,3,9,1,537,36,
M. Suray,Go Ahead Eagles,32,17,5,3,10,1468,60,
J. Kitolano,Sparta Rotterdam,31,21,14,13,6,1595,76,
P. Koopmeiners,AZ Alkmaar,114,81,39,62,7,2973,202,
M. Ihattaren,Fortuna Sittard,20,22,8,4,24,1563,64,
J. Žambůrek,Heracles Almelo,28,28,15,8,1,934,54,
E. Linthorst,Go Ahead Eagles,26,61,20,15,4,2522,62,
C. Bozdoğan,FC Utrecht,10,7,4,11,4,406,32,
S. Steijn,Feyenoord,13,25,10,19,25,2982,66,
N. Ünüvar,Heracles Almelo,9,2,1,3,6,391,30,
D. Proper,NEC Nijmegen,47,54,21,28,8,2161,103,
M. Kjølø,FC Twente,19,20,12,11,1,1048,42,
D. Cleonise,RKC Waalwijk,6,7,3,4,10,1102,34,
S. Mijnans,AZ Alkmaar,43,19,19,21,20,2412,109,
R. Zerrouki,FC Twente,25,14,17,16,1,1096,55,
P. Vroegh,RKC Waalwijk,4,2,2,0,1,41,4,
R. Meerveld,SC Heerenveen,27,30,14,6,20,3293,174,
Y. Regeer,AFC Ajax,30,27,18,27,8,1466,87,
B. Limbombe,Heracles Almelo,2,3,0,2,6,365,19,
A. Engwanda,FC Utrecht,45,29,28,17,2,1277,73,
D. van den Berg,FC Utrecht,37,51,21,21,8,2235,92,
K. Fitz-Jim,AFC Ajax,26,11,10,4,7,1229,63,
S. Mito,Sparta Rotterdam,29,19,12,16,10,1511,82,
T. Rölke,SC Cambuur,0,0,1,0,1,80,0,
Y. Oukili,Fortuna Sittard,67,44,23,46,15,2223,159,
SLS. Lagsir,PEC Zwolle,0,0,0,0,0,2,0,
Z. Iqbal,FC Utrecht,22,19,18,3,8,1456,61,
J. Trenskow,SC Heerenveen,28,16,15,5,23,1816,55,
O. Siira Sivertsen,Go Ahead Eagles,4,4,2,2,0,155,9,
J. Breum,Go Ahead Eagles,22,19,8,6,18,2062,81,
S. Ltaief,FC Twente,24,5,3,3,12,1195,95,
JBJ. Baas,Sparta Rotterdam,18,20,12,12,1,850,40,
RKR. Kuijpers,RKC Waalwijk,3,3,2,1,2,230,7,
É. Michut,Fortuna Sittard,35,10,16,10,3,1041,78,
D. Rots,FC Twente,61,25,10,33,13,2299,153,
