Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
L. Schöne,NEC Nijmegen,202,173,24,0,10,0,328,2,
J. de Guzmán,Sparta Rotterdam,31,27,2,0,0,0,45,0,
I. Perišić,PSV Eindhoven,828,670,56,8,153,12,1804,42,
M. Kieftenbeld,SC Cambuur,14,9,0,0,0,0,26,1,
D. Klaassen,AFC Ajax,927,806,39,2,7,6,2182,22,
J. Toornstra,Sparta Rotterdam,457,334,51,4,59,4,1362,24,
J. Clasie,AZ Alkmaar,1286,1122,131,2,6,4,1841,23,
M. Engels,Heracles Almelo,396,315,22,4,79,10,2174,27,
T. Bruns,Heracles Almelo,379,276,44,2,107,3,1166,34,
M. Seuntjens,FC Groningen,194,137,36,2,53,3,668,20,
M. Diemers,SC Cambuur,52,43,7,0,20,0,120,6,
A. Halilović,Fortuna Sittard,589,505,75,3,75,6,1788,25,
R. Thomas,PEC Zwolle,453,365,56,2,1,1,853,9,
JSJ. Schuurman,Willem II Tilburg,106,81,20,4,24,2,300,16,
K. Peterson,Fortuna Sittard,441,334,25,2,104,8,1835,28,
V. van Crooij,Sparta Rotterdam,536,404,55,6,79,4,2019,27,
A. Verschueren,FC Twente,637,451,58,2,27,2,2083,31,
L. Brouwers,SC Heerenveen,941,799,50,2,8,3,2001,19,
P. Clement,Sparta Rotterdam,832,669,73,4,44,4,1693,29,
C. Eiting,FC Twente,734,557,69,3,77,9,1472,38,
R. van der Venne,RKC Waalwijk,242,165,31,1,8,1,738,9,
J. Monteiro,PEC Zwolle,926,816,49,2,68,6,1987,31,
N. Doodeman,Willem II Tilburg,430,334,28,3,150,8,1666,36,
G. Roemeratoe,RKC Waalwijk,585,485,78,1,1,1,1524,5,
J. Schouten,PSV Eindhoven,943,853,25,2,1,1,1297,23,
G. Til,PSV Eindhoven,692,580,21,11,43,15,2023,32,
O. Velanas,PEC Zwolle,371,287,18,2,53,4,1355,23,
J. Veerman,PSV Eindhoven,1551,1345,165,8,171,15,1832,72,
V. Jensen,FC Utrecht,402,316,24,3,3,2,1130,22,
T. Oosting,PEC Zwolle,230,173,11,0,20,0,784,14,
D. van Kaam,RKC Waalwijk,461,393,28,3,54,2,1087,23,
L. Olden Larsen,NEC Nijmegen,126,88,11,0,10,0,357,5,
O. Edvardsen,AFC Ajax,312,237,18,3,13,4,1173,14,
J. Moder,Feyenoord,562,439,49,2,9,3,1199,14,
N. Souren,SC Cambuur,0,0,0,0,0,0,0,0,
I. Hwang,Feyenoord,990,849,79,2,48,7,1625,33,
S. Mannsverk,AFC Ajax,123,101,7,0,1,0,180,2,
Ú. Embaló,Fortuna Sittard,0,0,0,0,2,0,11,0,
I. Sadiq,AZ Alkmaar,342,268,25,4,19,9,1060,22,
T. Booth,FC Twente,120,74,9,1,24,2,537,7,
M. Suray,Go Ahead Eagles,563,439,35,0,31,2,1468,36,
J. Kitolano,Sparta Rotterdam,615,506,30,2,14,1,1595,20,
P. Koopmeiners,AZ Alkmaar,1758,1441,180,7,126,9,2973,48,
M. Ihattaren,Fortuna Sittard,703,558,66,4,122,9,1563,38,
J. Žambůrek,Heracles Almelo,368,297,36,1,36,1,934,9,
E. Linthorst,Go Ahead Eagles,1504,1296,167,3,18,3,2522,24,
C. Bozdoğan,FC Utrecht,160,127,8,1,3,0,406,2,
S. Steijn,Feyenoord,862,664,66,7,30,6,2982,39,
N. Ünüvar,Heracles Almelo,120,94,7,1,17,1,391,8,
D. Proper,NEC Nijmegen,1092,939,98,1,4,1,2161,14,
M. Kjølø,FC Twente,692,565,78,1,5,1,1048,9,
D. Cleonise,RKC Waalwijk,196,152,7,2,43,7,1102,20,
S. Mijnans,AZ Alkmaar,1120,905,113,7,95,12,2412,46,
R. Zerrouki,FC Twente,755,661,76,2,20,2,1096,12,
P. Vroegh,RKC Waalwijk,21,16,5,0,3,0,41,0,
R. Meerveld,SC Heerenveen,1330,1182,90,3,36,5,3293,37,
Y. Regeer,AFC Ajax,864,726,71,1,30,5,1466,22,
B. Limbombe,Heracles Almelo,83,63,4,0,15,1,365,3,
A. Engwanda,FC Utrecht,480,408,35,0,10,0,1277,3,
D. van den Berg,FC Utrecht,1045,898,78,3,57,4,2235,29,
K. Fitz-Jim,AFC Ajax,607,516,34,1,10,0,1229,12,
S. Mito,Sparta Rotterdam,369,287,30,0,46,2,1511,15,
T. Rölke,SC Cambuur,12,9,1,0,0,0,80,0,
Y. Oukili,Fortuna Sittard,794,631,61,3,11,3,2223,30,
