Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
J. Navas,Sevilla,18,440,1120,0,3.0,2,1,0.5332,0.533,0.6074,5,5,4,6,0,18,209,174,18,33,0,10,Defender
C. Azpilicueta,Sevilla,31,877,1121,0,5.0,2,1,0.2415,0.241,0.3923,25,29,5,14,2,46,583,511,45,5,0,3,Defender
Ó. de Marcos,Athletic Club,37,1574,1122,4,8.0,2,0,0.9958,0.996,2.1882,32,31,16,8,1,49,759,602,95,55,6,19,Defender
K. Femenía,Getafe,30,2229,1123,1,3.0,0,0,0.359,0.359,2.1206,50,55,40,6,1,85,1254,1134,71,47,3,16,Defender
D. Alaba,Real Madrid,12,316,1124,0,,0,0,0.0,,0.0856,1,7,6,4,0,5,222,204,22,3,0,1,Defender
R. Rodríguez,Real Betis,35,1280,1125,1,5.0,1,0,0.1802,0.18,0.6073,29,45,8,27,2,66,613,523,39,15,0,7,Defender
M. Alonso,Celta Vigo,31,2655,1126,0,34.0,13,3,3.973,1.609,2.0302,35,118,34,70,10,149,2298,2079,201,42,3,21,Defender
L. Cabrera,Espanyol,33,2870,1127,2,19.0,6,4,1.1833,1.11,0.7221,40,195,30,77,6,126,1402,1073,300,17,2,9,Defender
Y. Berchiche,Athletic Club,35,2048,1128,2,16.0,4,0,0.56,0.56,2.1595,33,70,27,28,8,86,1134,969,102,42,3,18,Defender
F. Lejeune,Rayo Vallecano,37,3326,1129,3,58.0,17,2,3.562,3.571,1.129,46,178,41,93,14,161,2046,1719,380,8,3,14,Defender
M. Bartra,Real Betis,31,2101,1130,1,18.0,5,2,1.1876,1.189,0.2447,33,145,33,51,4,104,1150,940,234,1,0,4,Defender
D. Carvajal,Real Madrid,8,609,1131,0,3.0,1,1,1.3142,1.314,0.2625,12,14,10,7,1,27,402,354,17,14,0,5,Defender
A. Rüdiger,Real Madrid,30,2298,1132,0,24.0,4,0,1.7175,1.719,0.9009,20,94,9,36,6,73,1839,1696,182,4,1,7,Defender
D. Foulquier,Valencia,33,2298,1133,1,13.0,2,0,0.428,0.427,1.9885,48,76,16,13,4,100,987,804,89,57,3,10,Defender
I. Balliu,Rayo Vallecano,38,1225,1134,0,1.0,0,0,0.0137,0.014,0.3545,17,34,13,14,1,49,464,360,56,19,0,7,Defender
