Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. Navas,Sevilla,0,0,3,2,1,440,0.5332,0.533,0.6074,
C. Azpilicueta,Sevilla,0,0,5,2,1,877,0.2415,0.241,0.3923,
Ó. de Marcos,Athletic Club,4,6,8,2,0,1574,0.9958,0.996,2.1882,
K. Femenía,Getafe,1,3,3,0,0,2229,0.359,0.359,2.1206,
D. Alaba,Real Madrid,0,0,,0,0,316,0,,0.0856,
R. Rodríguez,Real Betis,1,0,5,1,0,1280,0.1802,0.18,0.6073,
M. Alonso,Celta Vigo,0,3,34,13,3,2655,3.973,1.609,2.0302,
L. Cabrera,Espanyol,2,2,19,6,4,2870,1.1833,1.11,0.7221,
Y. Berchiche,Athletic Club,2,3,16,4,0,2048,0.56,0.56,2.1595,
F. Lejeune,Rayo Vallecano,3,3,58,17,2,3326,3.562,3.571,1.129,
M. Bartra,Real Betis,1,0,18,5,2,2101,1.1876,1.189,0.2447,
D. Carvajal,Real Madrid,0,0,3,1,1,609,1.3142,1.314,0.2625,
A. Rüdiger,Real Madrid,0,1,24,4,0,2298,1.7175,1.719,0.9009,
D. Foulquier,Valencia,1,3,13,2,0,2298,0.428,0.427,1.9885,
I. Balliu,Rayo Vallecano,0,0,1,0,0,1225,0.0137,0.014,0.3545,
A. Christensen,Barcelona,0,0,1,0,0,252,0.0172,0.017,0.0692,
H. Bellerín,Real Betis,2,2,1,1,0,578,0.1972,0.197,2.1253,
J. Manquillo,Celta Vigo,0,0,,0,0,517,0,,0.0819,
J. Luis Gayà,Valencia,1,8,12,4,0,1810,1.0247,1.025,3.1979,
M. Valjent,Mallorca,0,0,12,5,3,2765,0.8104,0.81,0.4346,
D. Llorente,Real Betis,0,0,11,5,2,2522,1.5003,1.485,0.3801,
Djené,Getafe,0,0,6,0,0,2553,0.3585,0.285,0.8142,
J. María Giménez,Atlético Madrid,1,1,5,1,0,1994,0.4545,0.436,0.2543,
J. Mojica,Mallorca,2,9,17,3,1,2753,0.925,0.923,4.4212,
D. Rico,Getafe,3,6,16,3,0,2825,0.3516,0.353,3.4148,
M. Llorente,Atlético Madrid,4,8,16,5,2,2513,0.7687,0.768,3.1137,
Á. Odriozola,Real Sociedad,0,0,,0,0,41,0,,0.0142,
C. Starfelt,Celta Vigo,0,0,5,1,1,2271,0.4986,0.498,0.1939,
M. Ristić,Celta Vigo,1,0,2,0,0,446,0.0295,0.029,0.1327,
A. Espino,Rayo Vallecano,1,2,10,2,0,841,0.4466,0.446,0.6053,
D. Duarte,Getafe,0,0,3,1,1,1869,0.1986,0.213,0.0694,
C. Lenglet,Barcelona,1,2,10,4,2,1976,2.4077,2.408,0.7092,
A. Elustondo,Real Sociedad,0,0,4,0,0,1463,0.4294,0.429,0.365,
R. Le Normand,Atlético Madrid,0,2,11,3,1,2153,1.3854,1.457,0.9779,
P. Maffeo,Mallorca,2,8,7,1,0,2373,0.2696,0.264,3.5067,
F. Mendy,Real Madrid,1,1,,0,0,1007,0,,0.7176,
J. Aidoo,Celta Vigo,0,0,1,0,0,590,0.0363,0.036,0.0599,
A. Pedraza,Villarreal,2,2,5,2,0,454,0.5971,0.471,1.3477,
M. Diakhaby,Valencia,0,0,11,4,2,659,1.297,1.48,0.0358,
Í. Lekue,Athletic Club,0,1,2,0,0,768,0.1786,0.179,0.4958,
A. Raíllo,Mallorca,0,4,35,8,2,3209,2.0284,2.038,0.93,
Y. Álvarez,Athletic Club,0,1,9,2,1,1788,0.4824,0.482,0.3898,
E. Cömert,Valencia,0,0,9,1,0,1789,0.8824,0.882,0.077,
É. Militão,Real Madrid,1,1,10,3,1,940,0.6351,0.625,0.1607,
J. Galán,Osasuna,3,8,9,0,0,1790,0.2026,0.204,3.0621,
J. Koundé,Barcelona,3,6,18,6,2,2606,1.8102,1.908,3.7909,
T. Lato,Mallorca,0,0,,0,0,650,0,,0.7515,
N. Molina,Atlético Madrid,3,3,9,1,0,1581,0.799,0.8,1.9121,
I. Zubeldia,Real Sociedad,0,0,12,4,0,2273,0.7015,0.624,0.5526,
Marcão,Sevilla,0,0,,0,0,565,0,,0.0637,
S. Van Der Heyden,Mallorca,0,0,1,0,0,101,0.0323,0.032,0.1063,
V. Rosier,Osasuna,2,1,14,4,1,2592,0.9104,0.903,1.2384,
A. Mumin,Rayo Vallecano,1,0,10,4,2,2020,0.6087,0.608,0.0827,
F. García,Real Madrid,2,3,14,3,0,2189,0.8669,0.873,2.2706,
T. Correia,Valencia,0,0,7,3,0,771,0.3208,0.322,0.7555,
F. Calero,Espanyol,0,0,2,1,1,738,0.2205,0.272,0.0673,
A. Gorosabel,Athletic Club,2,4,2,1,0,1489,0.3325,0.332,1.6699,
J. Foyth,Villarreal,0,0,17,5,1,1526,2.3872,2.419,0.8878,
E. García,Barcelona,3,2,14,8,2,1575,2.3181,2.318,1.643,
M. Morey,Mallorca,0,1,3,1,0,763,0.438,0.414,0.2052,
F. Garcés,Deportivo Alavés,0,1,5,1,0,676,0.098,0.099,0.7106,
A. Ruibal,Real Betis,3,5,16,4,1,1312,0.8984,0.912,1.9017,
M. Kumbulla,Mallorca,0,1,16,5,3,2975,1.8488,1.809,0.2899,
N. Tenaglia,Deportivo Alavés,1,5,27,9,2,2923,2.1801,2.189,1.3813,
J. Cruz,Osasuna,0,0,4,0,0,1514,0.125,0.126,0.1808,
A. Catena,Osasuna,3,4,20,5,1,3076,2.2722,2.27,1.8369,
J. Areso,Athletic Club,3,4,8,0,0,3088,0.2216,0.219,3.1251,
D. Vivian,Athletic Club,0,1,18,5,4,2613,1.9199,1.928,0.7128,
L. Costa,Villarreal,1,0,12,5,2,2585,0.6988,0.656,0.4748,
J. Copete,Valencia,0,0,6,2,0,1537,0.46,0.457,0.1239,
R. Araújo,Barcelona,1,1,4,2,1,766,0.9546,0.955,0.2469,
A. Pedrosa,Elche,1,4,24,8,1,2303,0.9001,0.895,1.6554,
J. Pacheco,Deportivo Alavés,0,0,1,0,0,851,0.0901,0.09,0.3511,
J. Herrando,Osasuna,0,0,12,3,1,1389,1.2359,1.204,0.0533,
J. Iglesias,Getafe,1,7,21,3,0,2889,1.5954,1.589,1.7951,
A. Paredes,Athletic Club,0,0,6,3,3,1814,2.2858,2.285,0.1113,
A. Rațiu,Rayo Vallecano,3,10,31,8,2,3067,1.8326,1.831,3.8554,
A. Muñoz,Real Sociedad,0,1,6,0,0,1104,0.1586,0.16,0.2562,
M. Sánchez,Levante UD,0,1,12,2,1,2646,1.6824,1.849,1.2779,
S. Cardona,Villarreal,7,10,20,6,1,2955,2.458,2.387,4.6268,
C. Tárrega,Valencia,0,0,20,7,2,3027,2.031,1.959,0.1782,
J. Vázquez,Valencia,0,2,5,1,0,927,0.1604,0.142,0.5727,
A. Balde,Barcelona,4,6,12,3,0,2292,0.4778,0.478,2.8135,
T. Nianzou,Sevilla,0,0,2,0,0,519,0.1879,0.188,0.0241,
A. Bretones,Osasuna,0,1,12,4,2,2075,0.4934,0.518,1.4993,
J. Chavarría,Rayo Vallecano,1,2,11,3,0,2589,1.1696,1.219,1.9036,
J. Ángel Carmona,Sevilla,0,4,19,4,0,2954,0.532,0.533,0.8755,
O. El Hilali,Espanyol,2,2,2,0,0,3159,0.027,0.028,1.3241,
F. Boyomo,Osasuna,0,1,14,3,2,3258,1.5004,1.56,0.6535,
C. Domínguez,Celta Vigo,0,0,3,1,0,1187,0.2112,0.212,0.1851,
G. Martín,Barcelona,3,2,7,2,1,1045,0.4749,0.475,1.6394,
K. Salas,Sevilla,2,2,23,7,3,2245,1.9116,1.905,0.823,
A. Abqar,Getafe,1,0,12,1,0,2467,0.8893,0.919,0.3748,
J. Aramburu,Real Sociedad,1,1,11,3,1,2471,0.4495,0.45,1.3529,
S. Arribas,Cádiz,0,0,,0,0,90,0,,0,
RKR. Kohon,Real Betis,0,0,,0,0,0,0,,0,
W. Kambwala,Villarreal,0,0,4,1,0,1114,0.3173,0.318,0.0548,
P. Fernández,Cádiz,0,0,,0,0,104,0,,0,
D. Hormigo,Granada,0,0,1,0,0,38,0.0884,0.088,0,
Y. Lago,Celta Vigo,1,0,,0,0,583,0,,0.0474,
A. Ortiz,Real Betis,1,1,2,0,0,353,0.0427,0.041,0.224,
R. Asencio,Real Madrid,1,1,3,1,0,1673,0.1224,0.122,0.4148,
U. Eguíluz,Athletic Club,0,0,,0,0,0,0,,0,
C. Romero,Espanyol,1,5,29,6,2,2560,1.9862,2.039,2.3582,
A. Boiro,Athletic Club,0,0,5,0,0,1104,0.2532,0.254,0.558,
H. Fort,Elche,0,1,6,0,0,596,0.2336,0.234,1.301,
P. Cubarsí,Barcelona,3,3,8,0,0,2620,0.826,0.825,0.935,
ACA. Castrin,Sevilla,0,0,,0,0,0,0,,0,
NMN. Mendy,Rayo Vallecano,0,0,,0,0,107,0,,0.0089,
J. Martin,Real Sociedad,1,0,9,2,0,900,0.5962,0.513,0.1405,
A. Olmedo,Barcelona,0,0,,0,0,0,0,,0,
S. Mouriño,Villarreal,1,2,13,4,0,1847,0.9417,0.933,0.564,
D. López,Mallorca,0,0,,0,0,170,0,,0.0055,
J. Rodríguez,Celta Vigo,2,2,12,5,3,2513,2.368,2.344,0.9535,
M. Rivas,Real Madrid,0,0,,0,0,0,0,,0,
I. Bekhoucha,Getafe,0,0,,0,0,77,0,,0.0065,
A. Izagirre,Athletic Club,0,0,,0,0,0,0,,0,
R. Hinojo,Espanyol,0,0,,0,0,8,0,,0,
