Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. Navas,Sevilla,18,1,440,0.5332,0.6074,
C. Azpilicueta,Sevilla,31,1,877,0.2415,0.3923,
Ó. de Marcos,Athletic Club,37,0,1574,0.9958,2.1882,
K. Femenía,Getafe,30,0,2229,0.359,2.1206,
D. Alaba,Real Madrid,12,0,316,0,0.0856,
R. Rodríguez,Real Betis,35,0,1280,0.1802,0.6073,
M. Alonso,Celta Vigo,31,3,2655,3.973,2.0302,
L. Cabrera,Espanyol,33,4,2870,1.1833,0.7221,
Y. Berchiche,Athletic Club,35,0,2048,0.56,2.1595,
F. Lejeune,Rayo Vallecano,37,2,3326,3.562,1.129,
M. Bartra,Real Betis,31,2,2101,1.1876,0.2447,
D. Carvajal,Real Madrid,8,1,609,1.3142,0.2625,
A. Rüdiger,Real Madrid,30,0,2298,1.7175,0.9009,
D. Foulquier,Valencia,33,0,2298,0.428,1.9885,
I. Balliu,Rayo Vallecano,38,0,1225,0.0137,0.3545,
A. Christensen,Barcelona,12,0,252,0.0172,0.0692,
H. Bellerín,Real Betis,19,0,578,0.1972,2.1253,
J. Manquillo,Celta Vigo,15,0,517,0,0.0819,
J. Luis Gayà,Valencia,24,0,1810,1.0247,3.1979,
M. Valjent,Mallorca,37,3,2765,0.8104,0.4346,
D. Llorente,Real Betis,31,2,2522,1.5003,0.3801,
Djené,Getafe,32,0,2553,0.3585,0.8142,
J. María Giménez,Atlético Madrid,35,0,1994,0.4545,0.2543,
J. Mojica,Mallorca,37,1,2753,0.925,4.4212,
D. Rico,Getafe,34,0,2825,0.3516,3.4148,
M. Llorente,Atlético Madrid,33,2,2513,0.7687,3.1137,
Á. Odriozola,Real Sociedad,19,0,41,0,0.0142,
C. Starfelt,Celta Vigo,30,1,2271,0.4986,0.1939,
M. Ristić,Celta Vigo,27,0,446,0.0295,0.1327,
A. Espino,Rayo Vallecano,29,0,841,0.4466,0.6053,
D. Duarte,Getafe,37,1,1869,0.1986,0.0694,
C. Lenglet,Barcelona,33,2,1976,2.4077,0.7092,
A. Elustondo,Real Sociedad,30,0,1463,0.4294,0.365,
R. Le Normand,Atlético Madrid,30,1,2153,1.3854,0.9779,
P. Maffeo,Mallorca,32,0,2373,0.2696,3.5067,
F. Mendy,Real Madrid,25,0,1007,0,0.7176,
J. Aidoo,Celta Vigo,23,0,590,0.0363,0.0599,
A. Pedraza,Villarreal,14,0,454,0.5971,1.3477,
M. Diakhaby,Valencia,18,2,659,1.297,0.0358,
Í. Lekue,Athletic Club,38,0,768,0.1786,0.4958,
A. Raíllo,Mallorca,36,2,3209,2.0284,0.93,
Y. Álvarez,Athletic Club,30,1,1788,0.4824,0.3898,
E. Cömert,Valencia,32,0,1789,0.8824,0.077,
É. Militão,Real Madrid,12,1,940,0.6351,0.1607,
J. Galán,Osasuna,36,0,1790,0.2026,3.0621,
J. Koundé,Barcelona,33,2,2606,1.8102,3.7909,
T. Lato,Mallorca,30,0,650,0,0.7515,
N. Molina,Atlético Madrid,36,0,1581,0.799,1.9121,
I. Zubeldia,Real Sociedad,29,0,2273,0.7015,0.5526,
Marcão,Sevilla,34,0,565,0,0.0637,
S. Van Der Heyden,Mallorca,15,0,101,0.0323,0.1063,
V. Rosier,Osasuna,34,1,2592,0.9104,1.2384,
A. Mumin,Rayo Vallecano,24,2,2020,0.6087,0.0827,
F. García,Real Madrid,38,0,2189,0.8669,2.2706,
T. Correia,Valencia,11,0,771,0.3208,0.7555,
F. Calero,Espanyol,31,1,738,0.2205,0.0673,
A. Gorosabel,Athletic Club,37,0,1489,0.3325,1.6699,
J. Foyth,Villarreal,21,1,1526,2.3872,0.8878,
E. García,Barcelona,32,2,1575,2.3181,1.643,
M. Morey,Mallorca,34,0,763,0.438,0.2052,
F. Garcés,Deportivo Alavés,18,0,676,0.098,0.7106,
A. Ruibal,Real Betis,31,1,1312,0.8984,1.9017,
M. Kumbulla,Mallorca,35,3,2975,1.8488,0.2899,
N. Tenaglia,Deportivo Alavés,35,2,2923,2.1801,1.3813,
J. Cruz,Osasuna,37,0,1514,0.125,0.1808,
A. Catena,Osasuna,36,1,3076,2.2722,1.8369,
J. Areso,Athletic Club,37,0,3088,0.2216,3.1251,
D. Vivian,Athletic Club,35,4,2613,1.9199,0.7128,
L. Costa,Villarreal,35,2,2585,0.6988,0.4748,
J. Copete,Valencia,34,0,1537,0.46,0.1239,
R. Araújo,Barcelona,20,1,766,0.9546,0.2469,
A. Pedrosa,Elche,34,1,2303,0.9001,1.6554,
J. Pacheco,Deportivo Alavés,29,0,851,0.0901,0.3511,
J. Herrando,Osasuna,38,1,1389,1.2359,0.0533,
J. Iglesias,Getafe,38,0,2889,1.5954,1.7951,
A. Paredes,Athletic Club,34,3,1814,2.2858,0.1113,
A. Rațiu,Rayo Vallecano,36,2,3067,1.8326,3.8554,
A. Muñoz,Real Sociedad,35,0,1104,0.1586,0.2562,
M. Sánchez,Levante UD,35,1,2646,1.6824,1.2779,
S. Cardona,Villarreal,36,1,2955,2.458,4.6268,
C. Tárrega,Valencia,37,2,3027,2.031,0.1782,
J. Vázquez,Valencia,35,0,927,0.1604,0.5727,
A. Balde,Barcelona,35,0,2292,0.4778,2.8135,
T. Nianzou,Sevilla,10,0,519,0.1879,0.0241,
A. Bretones,Osasuna,38,2,2075,0.4934,1.4993,
J. Chavarría,Rayo Vallecano,36,0,2589,1.1696,1.9036,
J. Ángel Carmona,Sevilla,35,0,2954,0.532,0.8755,
O. El Hilali,Espanyol,36,0,3159,0.027,1.3241,
F. Boyomo,Osasuna,37,2,3258,1.5004,0.6535,
C. Domínguez,Celta Vigo,37,0,1187,0.2112,0.1851,
G. Martín,Barcelona,38,1,1045,0.4749,1.6394,
K. Salas,Sevilla,36,3,2245,1.9116,0.823,
A. Abqar,Getafe,29,0,2467,0.8893,0.3748,
J. Aramburu,Real Sociedad,37,1,2471,0.4495,1.3529,
S. Arribas,Cádiz,3,0,90,0,0,
RKR. Kohon,Real Betis,1,0,0,0,0,
W. Kambwala,Villarreal,30,0,1114,0.3173,0.0548,
P. Fernández,Cádiz,24,0,104,0,0,
D. Hormigo,Granada,3,0,38,0.0884,0,
Y. Lago,Celta Vigo,16,0,583,0,0.0474,
A. Ortiz,Real Betis,7,0,353,0.0427,0.224,
R. Asencio,Real Madrid,26,0,1673,0.1224,0.4148,
U. Eguíluz,Athletic Club,3,0,0,0,0,
C. Romero,Espanyol,36,2,2560,1.9862,2.3582,
A. Boiro,Athletic Club,36,0,1104,0.2532,0.558,
H. Fort,Elche,36,0,596,0.2336,1.301,
P. Cubarsí,Barcelona,38,0,2620,0.826,0.935,
ACA. Castrin,Sevilla,1,0,0,0,0,
NMN. Mendy,Rayo Vallecano,13,0,107,0,0.0089,
J. Martin,Real Sociedad,37,0,900,0.5962,0.1405,
A. Olmedo,Barcelona,1,0,0,0,0,
S. Mouriño,Villarreal,32,0,1847,0.9417,0.564,
D. López,Mallorca,15,0,170,0,0.0055,
J. Rodríguez,Celta Vigo,37,3,2513,2.368,0.9535,
M. Rivas,Real Madrid,2,0,0,0,0,
I. Bekhoucha,Getafe,11,0,77,0,0.0065,
A. Izagirre,Athletic Club,1,0,0,0,0,
R. Hinojo,Espanyol,12,0,8,0,0,
