Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Navas,Sevilla,5,5,4,6,0,440,18,
C. Azpilicueta,Sevilla,25,29,5,14,2,877,46,
Ó. de Marcos,Athletic Club,32,31,16,8,1,1574,49,
K. Femenía,Getafe,50,55,40,6,1,2229,85,
D. Alaba,Real Madrid,1,7,6,4,0,316,5,
R. Rodríguez,Real Betis,29,45,8,27,2,1280,66,
M. Alonso,Celta Vigo,35,118,34,70,10,2655,149,
L. Cabrera,Espanyol,40,195,30,77,6,2870,126,
Y. Berchiche,Athletic Club,33,70,27,28,8,2048,86,
F. Lejeune,Rayo Vallecano,46,178,41,93,14,3326,161,
M. Bartra,Real Betis,33,145,33,51,4,2101,104,
D. Carvajal,Real Madrid,12,14,10,7,1,609,27,
A. Rüdiger,Real Madrid,20,94,9,36,6,2298,73,
D. Foulquier,Valencia,48,76,16,13,4,2298,100,
I. Balliu,Rayo Vallecano,17,34,13,14,1,1225,49,
A. Christensen,Barcelona,6,8,4,11,0,252,17,
H. Bellerín,Real Betis,13,16,6,6,0,578,25,
J. Manquillo,Celta Vigo,7,13,7,5,0,517,13,
J. Luis Gayà,Valencia,57,56,25,11,2,1810,88,
M. Valjent,Mallorca,30,188,18,49,3,2765,98,
D. Llorente,Real Betis,36,152,43,77,4,2522,141,
Djené,Getafe,25,102,21,44,0,2553,101,
J. María Giménez,Atlético Madrid,26,115,27,38,0,1994,78,
J. Mojica,Mallorca,36,69,27,9,5,2753,102,
D. Rico,Getafe,81,88,33,28,5,2825,169,
M. Llorente,Atlético Madrid,69,49,27,15,6,2513,123,
Á. Odriozola,Real Sociedad,1,1,0,1,0,41,3,
C. Starfelt,Celta Vigo,40,129,31,63,2,2271,112,
M. Ristić,Celta Vigo,7,16,2,3,2,446,14,
A. Espino,Rayo Vallecano,41,28,12,14,2,841,75,
D. Duarte,Getafe,28,151,18,28,1,1869,69,
C. Lenglet,Barcelona,27,103,22,38,3,1976,86,
A. Elustondo,Real Sociedad,20,93,11,29,1,1463,70,
R. Le Normand,Atlético Madrid,27,119,10,54,3,2153,107,
P. Maffeo,Mallorca,60,85,25,21,2,2373,159,
F. Mendy,Real Madrid,17,6,9,4,0,1007,31,
J. Aidoo,Celta Vigo,6,26,5,9,1,590,18,
A. Pedraza,Villarreal,3,14,6,5,3,454,19,
M. Diakhaby,Valencia,8,54,11,18,1,659,32,
Í. Lekue,Athletic Club,15,27,9,6,1,768,29,
A. Raíllo,Mallorca,31,221,29,131,7,3209,173,
Y. Álvarez,Athletic Club,24,125,34,51,1,1788,94,
E. Cömert,Valencia,25,73,24,21,2,1789,64,
É. Militão,Real Madrid,19,34,12,21,3,940,53,
J. Galán,Osasuna,51,42,12,25,2,1790,139,
J. Koundé,Barcelona,63,58,20,30,4,2606,134,
T. Lato,Mallorca,17,29,6,6,0,650,26,
N. Molina,Atlético Madrid,44,44,13,10,1,1581,77,
I. Zubeldia,Real Sociedad,34,98,31,65,2,2273,116,
Marcão,Sevilla,10,29,7,14,0,565,36,
S. Van Der Heyden,Mallorca,1,3,2,2,0,101,4,
V. Rosier,Osasuna,72,131,52,27,4,2592,139,
A. Mumin,Rayo Vallecano,37,122,23,32,0,2020,85,
F. García,Real Madrid,51,52,28,17,5,2189,98,
T. Correia,Valencia,27,16,4,4,0,771,54,
F. Calero,Espanyol,18,47,16,13,0,738,38,
A. Gorosabel,Athletic Club,47,57,18,20,0,1489,78,
J. Foyth,Villarreal,25,112,19,41,3,1526,75,
E. García,Barcelona,38,40,14,27,3,1575,78,
M. Morey,Mallorca,22,29,15,8,2,763,49,
F. Garcés,Deportivo Alavés,6,51,5,13,3,676,21,
A. Ruibal,Real Betis,32,35,14,7,5,1312,71,
M. Kumbulla,Mallorca,51,221,34,73,5,2975,155,
N. Tenaglia,Deportivo Alavés,96,111,47,47,4,2923,204,
J. Cruz,Osasuna,26,62,9,9,0,1514,38,
A. Catena,Osasuna,46,219,35,68,3,3076,135,
J. Areso,Athletic Club,53,86,8,27,2,3088,124,
D. Vivian,Athletic Club,40,147,47,45,2,2613,114,
L. Costa,Villarreal,38,109,21,46,0,2585,87,
J. Copete,Valencia,30,120,16,27,1,1537,73,
R. Araújo,Barcelona,12,22,9,33,0,766,49,
A. Pedrosa,Elche,56,70,24,11,5,2303,103,
J. Pacheco,Deportivo Alavés,15,48,9,19,1,851,40,
J. Herrando,Osasuna,17,62,12,29,2,1389,49,
J. Iglesias,Getafe,81,125,50,36,7,2889,170,
A. Paredes,Athletic Club,15,112,22,31,0,1814,51,
A. Rațiu,Rayo Vallecano,71,62,27,20,11,3067,188,
A. Muñoz,Real Sociedad,24,42,14,24,2,1104,66,
M. Sánchez,Levante UD,83,64,30,9,6,2646,120,
S. Cardona,Villarreal,71,99,40,43,5,2955,150,
C. Tárrega,Valencia,50,218,22,89,5,3027,163,
J. Vázquez,Valencia,23,26,10,12,2,927,60,
A. Balde,Barcelona,18,20,5,16,3,2292,117,
T. Nianzou,Sevilla,7,26,8,18,0,519,32,
A. Bretones,Osasuna,60,53,18,21,2,2075,130,
J. Chavarría,Rayo Vallecano,46,93,30,24,3,2589,104,
J. Ángel Carmona,Sevilla,83,84,68,34,4,2954,178,
O. El Hilali,Espanyol,111,130,47,37,1,3159,194,
F. Boyomo,Osasuna,74,137,44,32,3,3258,124,
C. Domínguez,Celta Vigo,23,76,13,29,0,1187,63,
G. Martín,Barcelona,22,27,13,14,2,1045,49,
K. Salas,Sevilla,47,141,32,79,5,2245,142,
A. Abqar,Getafe,36,144,39,42,2,2467,110,
J. Aramburu,Real Sociedad,102,91,30,40,3,2471,192,
S. Arribas,Cádiz,7,4,3,1,0,90,8,
RKR. Kohon,Real Betis,0,0,0,0,0,0,0,
W. Kambwala,Villarreal,17,53,10,16,1,1114,38,
P. Fernández,Cádiz,0,8,2,3,0,104,3,
D. Hormigo,Granada,0,1,1,1,0,38,2,
Y. Lago,Celta Vigo,12,30,4,3,0,583,27,
A. Ortiz,Real Betis,12,5,5,5,0,353,27,
R. Asencio,Real Madrid,22,83,16,31,0,1673,77,
U. Eguíluz,Athletic Club,0,0,0,0,0,0,0,
C. Romero,Espanyol,73,87,30,15,10,2560,130,
A. Boiro,Athletic Club,20,23,12,17,2,1104,52,
H. Fort,Elche,13,14,6,3,4,596,19,
P. Cubarsí,Barcelona,34,86,16,63,2,2620,111,
ACA. Castrin,Sevilla,0,0,0,0,0,0,0,
NMN. Mendy,Rayo Vallecano,0,9,4,1,0,107,2,
J. Martin,Real Sociedad,11,80,7,53,1,900,64,
A. Olmedo,Barcelona,0,0,0,0,0,0,0,
S. Mouriño,Villarreal,43,118,29,40,0,1847,108,
