Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
J. Navas,Sevilla,209,174,18,0,33,0,440,10,
C. Azpilicueta,Sevilla,583,511,45,0,5,0,877,3,
Ó. de Marcos,Athletic Club,759,602,95,4,55,6,1574,19,
K. Femenía,Getafe,1254,1134,71,1,47,3,2229,16,
D. Alaba,Real Madrid,222,204,22,0,3,0,316,1,
R. Rodríguez,Real Betis,613,523,39,1,15,0,1280,7,
M. Alonso,Celta Vigo,2298,2079,201,0,42,3,2655,21,
L. Cabrera,Espanyol,1402,1073,300,2,17,2,2870,9,
Y. Berchiche,Athletic Club,1134,969,102,2,42,3,2048,18,
F. Lejeune,Rayo Vallecano,2046,1719,380,3,8,3,3326,14,
M. Bartra,Real Betis,1150,940,234,1,1,0,2101,4,
D. Carvajal,Real Madrid,402,354,17,0,14,0,609,5,
A. Rüdiger,Real Madrid,1839,1696,182,0,4,1,2298,7,
D. Foulquier,Valencia,987,804,89,1,57,3,2298,10,
I. Balliu,Rayo Vallecano,464,360,56,0,19,0,1225,7,
A. Christensen,Barcelona,220,202,6,0,0,0,252,1,
H. Bellerín,Real Betis,273,227,22,2,10,2,578,8,
J. Manquillo,Celta Vigo,364,329,12,0,3,0,517,0,
J. Luis Gayà,Valencia,752,616,92,1,84,8,1810,24,
M. Valjent,Mallorca,1328,1153,173,0,11,0,2765,4,
D. Llorente,Real Betis,1586,1378,204,0,1,0,2522,6,
Djené,Getafe,794,619,122,0,32,0,2553,9,
J. María Giménez,Atlético Madrid,1356,1245,149,1,0,1,1994,2,
J. Mojica,Mallorca,1183,923,206,2,143,9,2753,40,
D. Rico,Getafe,1004,697,175,3,148,6,2825,36,
M. Llorente,Atlético Madrid,1322,1162,63,4,62,8,2513,28,
Á. Odriozola,Real Sociedad,24,17,1,0,1,0,41,0,
C. Starfelt,Celta Vigo,1643,1539,75,0,0,0,2271,6,
M. Ristić,Celta Vigo,187,150,19,1,13,0,446,4,
A. Espino,Rayo Vallecano,388,298,47,1,24,2,841,5,
D. Duarte,Getafe,629,495,136,0,0,0,1869,2,
C. Lenglet,Barcelona,1356,1190,197,1,4,2,1976,5,
A. Elustondo,Real Sociedad,871,752,100,0,4,0,1463,4,
R. Le Normand,Atlético Madrid,1292,1170,96,0,1,2,2153,4,
P. Maffeo,Mallorca,717,546,105,2,96,8,2373,29,
F. Mendy,Real Madrid,599,565,24,1,1,1,1007,3,
J. Aidoo,Celta Vigo,384,342,48,0,0,0,590,0,
A. Pedraza,Villarreal,164,129,18,2,26,2,454,9,
M. Diakhaby,Valencia,331,280,41,0,1,0,659,1,
Í. Lekue,Athletic Club,342,275,40,0,16,1,768,8,
A. Raíllo,Mallorca,1764,1569,157,0,3,4,3209,13,
Y. Álvarez,Athletic Club,1175,992,189,0,3,1,1788,4,
E. Cömert,Valencia,915,805,115,0,0,0,1789,0,
É. Militão,Real Madrid,706,634,84,1,2,1,940,6,
J. Galán,Osasuna,800,683,49,3,57,8,1790,15,
J. Koundé,Barcelona,1806,1601,102,3,63,6,2606,32,
T. Lato,Mallorca,234,182,27,0,23,0,650,7,
N. Molina,Atlético Madrid,967,798,72,3,55,3,1581,13,
I. Zubeldia,Real Sociedad,1473,1280,164,0,1,0,2273,4,
Marcão,Sevilla,314,284,23,0,0,0,565,0,
S. Van Der Heyden,Mallorca,63,57,4,0,2,0,101,1,
V. Rosier,Osasuna,955,770,119,2,39,1,2592,11,
A. Mumin,Rayo Vallecano,1075,899,159,1,6,0,2020,1,
F. García,Real Madrid,1314,1169,73,2,66,3,2189,24,
T. Correia,Valencia,338,248,47,0,18,0,771,5,
F. Calero,Espanyol,374,321,57,0,2,0,738,3,
A. Gorosabel,Athletic Club,664,556,33,2,41,4,1489,15,
J. Foyth,Villarreal,923,808,117,0,4,0,1526,7,
E. García,Barcelona,1287,1189,50,3,7,2,1575,7,
M. Morey,Mallorca,318,261,26,0,16,1,763,4,
F. Garcés,Deportivo Alavés,195,150,39,0,1,1,676,3,
A. Ruibal,Real Betis,494,419,50,3,32,5,1312,21,
M. Kumbulla,Mallorca,1394,1183,209,0,6,1,2975,1,
N. Tenaglia,Deportivo Alavés,973,724,144,1,85,5,2923,19,
J. Cruz,Osasuna,517,426,50,0,11,0,1514,2,
A. Catena,Osasuna,1510,1271,292,3,2,4,3076,10,
J. Areso,Athletic Club,1038,840,83,3,169,4,3088,30,
D. Vivian,Athletic Club,1740,1521,237,0,8,1,2613,10,
L. Costa,Villarreal,1531,1346,202,1,5,0,2585,4,
J. Copete,Valencia,758,638,112,0,7,0,1537,0,
R. Araújo,Barcelona,718,660,48,1,0,1,766,4,
A. Pedrosa,Elche,890,699,125,1,97,4,2303,21,
J. Pacheco,Deportivo Alavés,492,410,68,0,0,0,851,1,
J. Herrando,Osasuna,720,620,80,0,2,0,1389,0,
J. Iglesias,Getafe,784,474,181,1,84,7,2889,20,
A. Paredes,Athletic Club,944,788,172,0,1,0,1814,2,
A. Rațiu,Rayo Vallecano,1382,1163,86,3,77,10,3067,37,
A. Muñoz,Real Sociedad,460,356,59,0,35,1,1104,3,
M. Sánchez,Levante UD,769,563,103,0,78,1,2646,16,
S. Cardona,Villarreal,1119,895,110,7,111,10,2955,46,
C. Tárrega,Valencia,1686,1428,219,0,1,0,3027,3,
J. Vázquez,Valencia,318,245,23,0,23,2,927,3,
A. Balde,Barcelona,1252,1142,36,4,67,6,2292,27,
T. Nianzou,Sevilla,314,285,15,0,0,0,519,0,
A. Bretones,Osasuna,776,592,94,0,85,1,2075,16,
J. Chavarría,Rayo Vallecano,1215,997,122,1,79,2,2589,24,
J. Ángel Carmona,Sevilla,1439,1180,103,0,41,4,2954,19,
O. El Hilali,Espanyol,1224,987,197,2,57,2,3159,8,
F. Boyomo,Osasuna,1570,1376,159,0,2,1,3258,4,
C. Domínguez,Celta Vigo,962,854,85,0,0,0,1187,2,
G. Martín,Barcelona,657,559,32,3,36,2,1045,12,
K. Salas,Sevilla,1331,1060,208,2,9,2,2245,6,
A. Abqar,Getafe,924,711,233,1,5,0,2467,8,
J. Aramburu,Real Sociedad,1203,972,84,1,45,1,2471,15,
S. Arribas,Cádiz,41,28,2,0,0,0,90,0,
RKR. Kohon,Real Betis,0,0,0,0,0,0,0,0,
W. Kambwala,Villarreal,577,510,81,0,0,0,1114,1,
P. Fernández,Cádiz,28,24,3,0,0,0,104,0,
D. Hormigo,Granada,7,5,0,0,0,0,38,0,
Y. Lago,Celta Vigo,424,392,40,1,0,0,583,1,
A. Ortiz,Real Betis,170,135,17,1,19,1,353,3,
R. Asencio,Real Madrid,979,919,54,1,0,1,1673,6,
U. Eguíluz,Athletic Club,0,0,0,0,0,0,0,0,
C. Romero,Espanyol,758,575,75,1,92,5,2560,30,
A. Boiro,Athletic Club,372,312,22,0,31,0,1104,5,
H. Fort,Elche,432,399,10,0,12,1,596,10,
P. Cubarsí,Barcelona,2591,2426,156,3,2,3,2620,9,
ACA. Castrin,Sevilla,0,0,0,0,0,0,0,0,
NMN. Mendy,Rayo Vallecano,53,46,12,0,0,0,107,0,
J. Martin,Real Sociedad,539,468,44,1,0,0,900,4,
A. Olmedo,Barcelona,0,0,0,0,0,0,0,0,
S. Mouriño,Villarreal,661,519,97,1,4,2,1847,7,
D. López,Mallorca,52,43,10,0,0,0,170,0,
J. Rodríguez,Celta Vigo,1638,1422,152,2,4,2,2513,13,
M. Rivas,Real Madrid,0,0,0,0,0,0,0,0,
I. Bekhoucha,Getafe,20,15,3,0,1,0,77,0,
A. Izagirre,Athletic Club,0,0,0,0,0,0,0,0,
R. Hinojo,Espanyol,7,4,0,0,2,0,8,0,
