Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
I. Aspas,Celta Vigo,33,1747,1238,5,52.0,24,10,8.7256,3.995,3.9258,13,3,8,8,8,69,845,648,75,15,7,38,Forward
A. Budimir,Osasuna,38,2966,1239,4,99.0,37,21,18.5232,12.297,1.1215,20,25,2,137,20,201,416,238,9,6,3,16,Forward
R. Lewandowski,Barcelona,36,2681,1240,2,115.0,48,27,27.1149,23.962,1.4843,10,26,3,37,25,106,513,383,21,5,3,19,Forward
K. García,Espanyol,37,2560,1241,0,63.0,27,13,9.836,7.123,1.4573,19,23,1,112,10,201,571,382,27,13,0,13,Forward
A. Griezmann,Atlético Madrid,38,2482,1242,7,50.0,18,8,7.5147,6.078,6.5312,30,22,6,21,14,92,1307,1051,79,138,13,50,Forward
Juanmi,Getafe,34,961,1243,0,19.0,8,0,3.6161,3.597,0.2703,21,5,3,12,1,58,201,158,7,1,1,8,Forward
C. Bakambu,Real Betis,33,710,1244,2,24.0,11,2,3.1778,3.152,0.7407,6,5,0,12,2,26,123,84,2,2,2,9,Forward
A. Prats,Mallorca,32,465,1245,0,14.0,6,2,2.2711,1.462,0.1073,2,6,1,18,2,40,88,59,4,0,0,3,Forward
G. Moreno,Villarreal,21,717,1246,2,26.0,12,3,4.1462,1.851,1.9053,7,7,2,17,5,53,291,232,28,10,7,17,Forward
A. Sørloth,Atlético Madrid,37,1560,1247,2,79.0,42,20,16.9876,16.162,0.6898,9,28,1,98,14,134,348,228,5,5,2,13,Forward
V. Muriqi,Mallorca,29,2067,1248,2,55.0,19,7,9.8323,7.374,1.7081,7,43,7,136,5,192,474,293,21,10,4,27,Forward
A. Pérez,Villarreal,30,1977,1249,2,75.0,31,19,12.7962,13.164,1.8779,27,10,8,13,18,113,394,307,17,15,5,32,Forward
S. Becker,Osasuna,26,994,1250,1,22.0,13,2,1.9996,2.0,1.6635,3,10,1,7,4,29,244,188,14,64,4,8,Forward
K. Iheanacho,Sevilla,19,401,1251,0,9.0,2,0,1.484,1.483,0.1587,1,1,0,2,5,6,79,59,2,0,0,5,Forward
K. Barja,Osasuna,26,348,1252,1,4.0,1,0,0.192,0.192,1.3318,5,3,3,6,1,21,72,57,4,37,3,10,Forward
N. Pépé,Villarreal,28,1495,1253,6,38.0,17,3,3.9412,3.828,4.0894,22,12,5,16,9,90,574,479,20,44,9,33,Forward
B. Mayoral,Getafe,25,1105,1254,1,20.0,9,5,3.5082,2.64,0.3006,5,5,2,18,6,43,240,195,12,9,2,8,Forward
G. Guruzeta,Athletic Club,37,1847,1255,2,59.0,19,7,6.5986,6.679,0.6325,16,21,9,36,10,84,400,296,24,5,2,15,Forward
U. Sadiq,Valencia,36,1049,1256,0,25.0,7,5,3.6194,3.957,0.4912,12,9,2,32,7,77,216,149,4,2,1,7,Forward
B. Iglesias,Real Betis,38,1979,1257,3,46.0,28,11,9.3871,9.327,1.3336,10,10,7,14,7,69,473,344,26,6,6,19,Forward
C. Ávila,Real Betis,24,687,1258,0,20.0,10,2,1.8259,1.518,0.9769,8,8,2,7,4,37,197,150,19,29,5,17,Forward
C. Larin,Mallorca,36,1781,1259,2,39.0,15,7,6.4732,6.12,0.3963,12,16,1,66,8,117,307,212,8,6,2,8,Forward
M. Oyarzabal,Real Sociedad,37,2262,1260,3,43.0,18,9,10.2634,6.676,1.7655,25,13,4,33,8,88,490,364,15,10,4,15,Forward
J. Manuel Arnáiz,Granada,33,171,1261,0,6.0,3,0,0.3289,0.329,0.361,7,1,5,1,3,14,58,47,6,18,1,3,Forward
R. Mir,Elche,23,743,1262,2,27.0,8,1,2.9789,3.037,0.4685,12,9,5,12,6,33,192,141,11,7,2,4,Forward
K. Mbappé,Real Madrid,34,2915,1263,3,161.0,85,31,25.9345,19.364,6.5805,8,0,1,4,39,135,1094,933,57,35,15,52,Forward
A. Danjuma,Valencia,33,1548,1264,0,36.0,17,4,4.3887,4.417,2.3362,10,2,2,3,4,54,383,313,19,76,3,23,Forward
T. Martínez,Deportivo Alavés,36,1013,1265,0,46.0,15,4,3.8567,3.131,0.8831,12,15,1,79,9,113,229,138,7,7,0,11,Forward
F. Torres,Barcelona,29,1109,1266,6,48.0,22,10,7.9539,7.956,2.6155,8,4,4,5,10,40,339,263,10,17,6,19,Forward
V. Júnior,Real Madrid,30,2257,1267,8,81.0,28,11,10.6934,8.244,6.9827,21,0,3,1,21,174,825,652,59,56,13,59,Forward
D. Raba,Valencia,34,1896,1268,6,44.0,17,8,7.5473,3.631,4.5999,37,17,14,5,13,144,542,400,56,90,12,47,Forward
C. Hernández,Real Betis,16,1149,1269,1,43.0,11,5,3.7909,3.818,0.6625,15,4,7,29,15,70,296,221,23,12,2,14,Forward
H. Duro,Valencia,33,2172,1270,2,49.0,18,11,9.369,8.634,0.4618,13,10,10,61,11,130,419,295,12,7,2,14,Forward
S. Camello,Rayo Vallecano,25,1138,1271,2,32.0,9,3,4.0313,4.065,1.0765,9,16,4,11,9,43,253,204,4,6,5,19,Forward
Rodrygo,Real Madrid,31,1937,1272,5,54.0,20,6,3.9964,3.997,4.1852,21,7,11,7,16,114,990,900,21,81,5,49,Forward
R. Nteka,Rayo Vallecano,33,1152,1273,0,16.0,8,3,2.6134,2.597,0.3057,16,20,4,41,2,77,218,144,3,4,1,9,Forward
J. Alvarez,Atlético Madrid,37,2518,1274,4,73.0,40,17,14.2726,11.077,5.3107,25,10,2,13,12,81,889,698,53,69,9,42,Forward
A. Adams,Sevilla,4,135,1275,0,2.0,2,0,0.4316,0.431,0.0356,0,1,0,6,0,7,27,20,2,0,0,0,Forward
A. Barrenetxea,Real Sociedad,33,1258,1276,3,25.0,8,1,1.6379,1.644,2.4676,26,13,11,7,7,72,460,356,46,54,3,16,Forward
