Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
I. Aspas,Celta Vigo,5,7,52,24,10,1747,8.7256,3.995,3.9258,
A. Budimir,Osasuna,4,3,99,37,21,2966,18.5232,12.297,1.1215,
R. Lewandowski,Barcelona,2,3,115,48,27,2681,27.1149,23.962,1.4843,
K. García,Espanyol,0,0,63,27,13,2560,9.836,7.123,1.4573,
A. Griezmann,Atlético Madrid,7,13,50,18,8,2482,7.5147,6.078,6.5312,
Juanmi,Getafe,0,1,19,8,0,961,3.6161,3.597,0.2703,
C. Bakambu,Real Betis,2,2,24,11,2,710,3.1778,3.152,0.7407,
A. Prats,Mallorca,0,0,14,6,2,465,2.2711,1.462,0.1073,
G. Moreno,Villarreal,2,7,26,12,3,717,4.1462,1.851,1.9053,
A. Sørloth,Atlético Madrid,2,2,79,42,20,1560,16.9876,16.162,0.6898,
V. Muriqi,Mallorca,2,4,55,19,7,2067,9.8323,7.374,1.7081,
A. Pérez,Villarreal,2,5,75,31,19,1977,12.7962,13.164,1.8779,
S. Becker,Osasuna,1,4,22,13,2,994,1.9996,2,1.6635,
K. Iheanacho,Sevilla,0,0,9,2,0,401,1.484,1.483,0.1587,
K. Barja,Osasuna,1,3,4,1,0,348,0.192,0.192,1.3318,
N. Pépé,Villarreal,6,9,38,17,3,1495,3.9412,3.828,4.0894,
B. Mayoral,Getafe,1,2,20,9,5,1105,3.5082,2.64,0.3006,
G. Guruzeta,Athletic Club,2,2,59,19,7,1847,6.5986,6.679,0.6325,
U. Sadiq,Valencia,0,1,25,7,5,1049,3.6194,3.957,0.4912,
B. Iglesias,Real Betis,3,6,46,28,11,1979,9.3871,9.327,1.3336,
C. Ávila,Real Betis,0,5,20,10,2,687,1.8259,1.518,0.9769,
C. Larin,Mallorca,2,2,39,15,7,1781,6.4732,6.12,0.3963,
M. Oyarzabal,Real Sociedad,3,4,43,18,9,2262,10.2634,6.676,1.7655,
J. Manuel Arnáiz,Granada,0,1,6,3,0,171,0.3289,0.329,0.361,
R. Mir,Elche,2,2,27,8,1,743,2.9789,3.037,0.4685,
K. Mbappé,Real Madrid,3,15,161,85,31,2915,25.9345,19.364,6.5805,
A. Danjuma,Valencia,0,3,36,17,4,1548,4.3887,4.417,2.3362,
T. Martínez,Deportivo Alavés,0,0,46,15,4,1013,3.8567,3.131,0.8831,
F. Torres,Barcelona,6,6,48,22,10,1109,7.9539,7.956,2.6155,
V. Júnior,Real Madrid,8,13,81,28,11,2257,10.6934,8.244,6.9827,
D. Raba,Valencia,6,12,44,17,8,1896,7.5473,3.631,4.5999,
C. Hernández,Real Betis,1,2,43,11,5,1149,3.7909,3.818,0.6625,
H. Duro,Valencia,2,2,49,18,11,2172,9.369,8.634,0.4618,
S. Camello,Rayo Vallecano,2,5,32,9,3,1138,4.0313,4.065,1.0765,
Rodrygo,Real Madrid,5,5,54,20,6,1937,3.9964,3.997,4.1852,
R. Nteka,Rayo Vallecano,0,1,16,8,3,1152,2.6134,2.597,0.3057,
J. Alvarez,Atlético Madrid,4,9,73,40,17,2518,14.2726,11.077,5.3107,
A. Adams,Sevilla,0,0,2,2,0,135,0.4316,0.431,0.0356,
A. Barrenetxea,Real Sociedad,3,3,25,8,1,1258,1.6379,1.644,2.4676,
R. García de Haro,Osasuna,0,1,25,12,4,765,3.4616,3.463,0.4164,
I. Romero,Sevilla,2,5,54,20,4,2167,6.705,6.016,2.1359,
O. Steinn Óskarsson,Real Sociedad,0,0,19,7,3,948,5.0998,5.204,0.4393,
J. Martón,Athletic Club,0,0,,0,0,50,0,,0,
B. Zaragoza,Celta Vigo,6,4,42,13,1,1856,2.6966,2.68,5.1267,
I. Benito,Osasuna,0,0,,0,0,35,0,,0,
EEE. Eto'o Pineda,Rayo Vallecano,0,0,,0,0,44,0,,0.0586,
C. Martín,Rayo Vallecano,2,3,26,12,2,1336,2.2879,2.288,1.3925,
V. Muñoz,Osasuna,0,0,1,0,0,42,0.4903,0.49,0.2505,
DCD. Camara,Cádiz,0,0,,0,0,0,0,,0,
Á. Rodriguez,Elche,0,1,25,10,2,852,1.2323,1.217,0.3443,
Á. Djaló,Athletic Club,0,1,15,3,1,657,0.8318,0.833,0.6128,
R. Fernández,Espanyol,0,1,21,9,6,1507,3.4654,3.558,0.5321,
E. Eyong,Levante UD,0,0,2,2,1,46,0.3672,0.361,0,
P. Durán,Celta Vigo,4,4,26,10,4,1411,3.7454,3.673,0.9835,
G. García,Real Madrid,1,1,1,0,0,53,0.4938,0.494,0.6004,
J. Panichelli,Deportivo Alavés,0,0,,0,0,0,0,,0,
A. González,Sevilla,2,4,46,21,5,1372,4.6079,4.716,2.1209,
M. Sannadi,Athletic Club,1,3,19,7,1,751,3.4865,3.476,0.6466,
C. Lumbreras,Osasuna,0,0,,0,0,0,0,,0,
P. Cabanes De La Torre,Villarreal,0,1,6,3,1,366,0.5086,0.51,0.2947,
PGP. García,Real Betis,0,0,,0,0,36,0,,0.1574,
P. Garcia,Real Betis,0,0,,0,0,24,0,,0.1487,
A. Garcia-Pascual,Cádiz,0,0,11,4,1,409,1.0929,1.093,0.0773,
