Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
I. Aspas,Celta Vigo,33,10,1747,8.7256,3.9258,
A. Budimir,Osasuna,38,21,2966,18.5232,1.1215,
R. Lewandowski,Barcelona,36,27,2681,27.1149,1.4843,
K. García,Espanyol,37,13,2560,9.836,1.4573,
A. Griezmann,Atlético Madrid,38,8,2482,7.5147,6.5312,
Juanmi,Getafe,34,0,961,3.6161,0.2703,
C. Bakambu,Real Betis,33,2,710,3.1778,0.7407,
A. Prats,Mallorca,32,2,465,2.2711,0.1073,
G. Moreno,Villarreal,21,3,717,4.1462,1.9053,
A. Sørloth,Atlético Madrid,37,20,1560,16.9876,0.6898,
V. Muriqi,Mallorca,29,7,2067,9.8323,1.7081,
A. Pérez,Villarreal,30,19,1977,12.7962,1.8779,
S. Becker,Osasuna,26,2,994,1.9996,1.6635,
K. Iheanacho,Sevilla,19,0,401,1.484,0.1587,
K. Barja,Osasuna,26,0,348,0.192,1.3318,
N. Pépé,Villarreal,28,3,1495,3.9412,4.0894,
B. Mayoral,Getafe,25,5,1105,3.5082,0.3006,
G. Guruzeta,Athletic Club,37,7,1847,6.5986,0.6325,
U. Sadiq,Valencia,36,5,1049,3.6194,0.4912,
B. Iglesias,Real Betis,38,11,1979,9.3871,1.3336,
C. Ávila,Real Betis,24,2,687,1.8259,0.9769,
C. Larin,Mallorca,36,7,1781,6.4732,0.3963,
M. Oyarzabal,Real Sociedad,37,9,2262,10.2634,1.7655,
J. Manuel Arnáiz,Granada,33,0,171,0.3289,0.361,
R. Mir,Elche,23,1,743,2.9789,0.4685,
K. Mbappé,Real Madrid,34,31,2915,25.9345,6.5805,
A. Danjuma,Valencia,33,4,1548,4.3887,2.3362,
T. Martínez,Deportivo Alavés,36,4,1013,3.8567,0.8831,
F. Torres,Barcelona,29,10,1109,7.9539,2.6155,
V. Júnior,Real Madrid,30,11,2257,10.6934,6.9827,
D. Raba,Valencia,34,8,1896,7.5473,4.5999,
C. Hernández,Real Betis,16,5,1149,3.7909,0.6625,
H. Duro,Valencia,33,11,2172,9.369,0.4618,
S. Camello,Rayo Vallecano,25,3,1138,4.0313,1.0765,
Rodrygo,Real Madrid,31,6,1937,3.9964,4.1852,
R. Nteka,Rayo Vallecano,33,3,1152,2.6134,0.3057,
J. Alvarez,Atlético Madrid,37,17,2518,14.2726,5.3107,
A. Adams,Sevilla,4,0,135,0.4316,0.0356,
A. Barrenetxea,Real Sociedad,33,1,1258,1.6379,2.4676,
R. García de Haro,Osasuna,34,4,765,3.4616,0.4164,
I. Romero,Sevilla,32,4,2167,6.705,2.1359,
O. Steinn Óskarsson,Real Sociedad,25,3,948,5.0998,0.4393,
J. Martón,Athletic Club,15,0,50,0,0,
B. Zaragoza,Celta Vigo,28,1,1856,2.6966,5.1267,
I. Benito,Osasuna,16,0,35,0,0,
EEE. Eto'o Pineda,Rayo Vallecano,10,0,44,0,0.0586,
C. Martín,Rayo Vallecano,36,2,1336,2.2879,1.3925,
V. Muñoz,Osasuna,4,0,42,0.4903,0.2505,
DCD. Camara,Cádiz,2,0,0,0,0,
Á. Rodriguez,Elche,30,2,852,1.2323,0.3443,
Á. Djaló,Athletic Club,29,1,657,0.8318,0.6128,
R. Fernández,Espanyol,19,6,1507,3.4654,0.5321,
E. Eyong,Levante UD,12,1,46,0.3672,0,
P. Durán,Celta Vigo,37,4,1411,3.7454,0.9835,
G. García,Real Madrid,6,0,53,0.4938,0.6004,
J. Panichelli,Deportivo Alavés,1,0,0,0,0,
A. González,Sevilla,35,5,1372,4.6079,2.1209,
M. Sannadi,Athletic Club,17,1,751,3.4865,0.6466,
C. Lumbreras,Osasuna,1,0,0,0,0,
P. Cabanes De La Torre,Villarreal,32,1,366,0.5086,0.2947,
PGP. García,Real Betis,7,0,36,0,0.1574,
P. Garcia,Real Betis,1,0,24,0,0.1487,
A. Garcia-Pascual,Cádiz,10,1,409,1.0929,0.0773,
