Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
I. Aspas,Celta Vigo,13,3,8,8,8,1747,69,
A. Budimir,Osasuna,20,25,2,137,20,2966,201,
R. Lewandowski,Barcelona,10,26,3,37,25,2681,106,
K. García,Espanyol,19,23,1,112,10,2560,201,
A. Griezmann,Atlético Madrid,30,22,6,21,14,2482,92,
Juanmi,Getafe,21,5,3,12,1,961,58,
C. Bakambu,Real Betis,6,5,0,12,2,710,26,
A. Prats,Mallorca,2,6,1,18,2,465,40,
G. Moreno,Villarreal,7,7,2,17,5,717,53,
A. Sørloth,Atlético Madrid,9,28,1,98,14,1560,134,
V. Muriqi,Mallorca,7,43,7,136,5,2067,192,
A. Pérez,Villarreal,27,10,8,13,18,1977,113,
S. Becker,Osasuna,3,10,1,7,4,994,29,
K. Iheanacho,Sevilla,1,1,0,2,5,401,6,
K. Barja,Osasuna,5,3,3,6,1,348,21,
N. Pépé,Villarreal,22,12,5,16,9,1495,90,
B. Mayoral,Getafe,5,5,2,18,6,1105,43,
G. Guruzeta,Athletic Club,16,21,9,36,10,1847,84,
U. Sadiq,Valencia,12,9,2,32,7,1049,77,
B. Iglesias,Real Betis,10,10,7,14,7,1979,69,
C. Ávila,Real Betis,8,8,2,7,4,687,37,
C. Larin,Mallorca,12,16,1,66,8,1781,117,
M. Oyarzabal,Real Sociedad,25,13,4,33,8,2262,88,
J. Manuel Arnáiz,Granada,7,1,5,1,3,171,14,
R. Mir,Elche,12,9,5,12,6,743,33,
K. Mbappé,Real Madrid,8,0,1,4,39,2915,135,
A. Danjuma,Valencia,10,2,2,3,4,1548,54,
T. Martínez,Deportivo Alavés,12,15,1,79,9,1013,113,
F. Torres,Barcelona,8,4,4,5,10,1109,40,
V. Júnior,Real Madrid,21,0,3,1,21,2257,174,
D. Raba,Valencia,37,17,14,5,13,1896,144,
C. Hernández,Real Betis,15,4,7,29,15,1149,70,
H. Duro,Valencia,13,10,10,61,11,2172,130,
S. Camello,Rayo Vallecano,9,16,4,11,9,1138,43,
Rodrygo,Real Madrid,21,7,11,7,16,1937,114,
R. Nteka,Rayo Vallecano,16,20,4,41,2,1152,77,
J. Alvarez,Atlético Madrid,25,10,2,13,12,2518,81,
A. Adams,Sevilla,0,1,0,6,0,135,7,
A. Barrenetxea,Real Sociedad,26,13,11,7,7,1258,72,
R. García de Haro,Osasuna,13,6,0,21,5,765,56,
I. Romero,Sevilla,13,24,7,30,12,2167,100,
O. Steinn Óskarsson,Real Sociedad,6,11,2,31,2,948,45,
J. Martón,Athletic Club,0,0,0,2,0,50,2,
B. Zaragoza,Celta Vigo,13,8,4,2,10,1856,111,
I. Benito,Osasuna,0,2,1,0,0,35,1,
EEE. Eto'o Pineda,Rayo Vallecano,0,1,0,6,0,44,6,
C. Martín,Rayo Vallecano,43,17,5,15,7,1336,94,
V. Muñoz,Osasuna,0,0,0,0,0,42,0,
DCD. Camara,Cádiz,0,0,0,0,0,0,0,
Á. Rodriguez,Elche,10,12,3,105,6,852,149,
Á. Djaló,Athletic Club,8,3,1,11,6,657,46,
R. Fernández,Espanyol,4,26,3,36,6,1507,74,
E. Eyong,Levante UD,0,0,0,1,0,46,2,
P. Durán,Celta Vigo,17,18,8,16,5,1411,60,
G. García,Real Madrid,0,0,0,1,0,53,1,
J. Panichelli,Deportivo Alavés,0,0,0,0,0,0,0,
A. González,Sevilla,8,3,5,3,15,1372,67,
M. Sannadi,Athletic Club,5,2,1,14,3,751,62,
C. Lumbreras,Osasuna,0,0,0,0,0,0,0,
P. Cabanes De La Torre,Villarreal,12,2,3,2,1,366,35,
PGP. García,Real Betis,0,0,0,0,0,36,1,
P. Garcia,Real Betis,0,0,0,0,0,24,1,
A. Garcia-Pascual,Cádiz,5,9,2,12,2,409,22,
