Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
I. Aspas,Celta Vigo,845,648,75,5,15,7,1747,38,
A. Budimir,Osasuna,416,238,9,4,6,3,2966,16,
R. Lewandowski,Barcelona,513,383,21,2,5,3,2681,19,
K. García,Espanyol,571,382,27,0,13,0,2560,13,
A. Griezmann,Atlético Madrid,1307,1051,79,7,138,13,2482,50,
Juanmi,Getafe,201,158,7,0,1,1,961,8,
C. Bakambu,Real Betis,123,84,2,2,2,2,710,9,
A. Prats,Mallorca,88,59,4,0,0,0,465,3,
G. Moreno,Villarreal,291,232,28,2,10,7,717,17,
A. Sørloth,Atlético Madrid,348,228,5,2,5,2,1560,13,
V. Muriqi,Mallorca,474,293,21,2,10,4,2067,27,
A. Pérez,Villarreal,394,307,17,2,15,5,1977,32,
S. Becker,Osasuna,244,188,14,1,64,4,994,8,
K. Iheanacho,Sevilla,79,59,2,0,0,0,401,5,
K. Barja,Osasuna,72,57,4,1,37,3,348,10,
N. Pépé,Villarreal,574,479,20,6,44,9,1495,33,
B. Mayoral,Getafe,240,195,12,1,9,2,1105,8,
G. Guruzeta,Athletic Club,400,296,24,2,5,2,1847,15,
U. Sadiq,Valencia,216,149,4,0,2,1,1049,7,
B. Iglesias,Real Betis,473,344,26,3,6,6,1979,19,
C. Ávila,Real Betis,197,150,19,0,29,5,687,17,
C. Larin,Mallorca,307,212,8,2,6,2,1781,8,
M. Oyarzabal,Real Sociedad,490,364,15,3,10,4,2262,15,
J. Manuel Arnáiz,Granada,58,47,6,0,18,1,171,3,
R. Mir,Elche,192,141,11,2,7,2,743,4,
K. Mbappé,Real Madrid,1094,933,57,3,35,15,2915,52,
A. Danjuma,Valencia,383,313,19,0,76,3,1548,23,
T. Martínez,Deportivo Alavés,229,138,7,0,7,0,1013,11,
F. Torres,Barcelona,339,263,10,6,17,6,1109,19,
V. Júnior,Real Madrid,825,652,59,8,56,13,2257,59,
D. Raba,Valencia,542,400,56,6,90,12,1896,47,
C. Hernández,Real Betis,296,221,23,1,12,2,1149,14,
H. Duro,Valencia,419,295,12,2,7,2,2172,14,
S. Camello,Rayo Vallecano,253,204,4,2,6,5,1138,19,
Rodrygo,Real Madrid,990,900,21,5,81,5,1937,49,
R. Nteka,Rayo Vallecano,218,144,3,0,4,1,1152,9,
J. Alvarez,Atlético Madrid,889,698,53,4,69,9,2518,42,
A. Adams,Sevilla,27,20,2,0,0,0,135,0,
A. Barrenetxea,Real Sociedad,460,356,46,3,54,3,1258,16,
R. García de Haro,Osasuna,159,114,9,0,6,1,765,3,
I. Romero,Sevilla,415,304,28,2,18,5,2167,20,
O. Steinn Óskarsson,Real Sociedad,185,103,4,0,7,0,948,5,
J. Martón,Athletic Club,7,6,0,0,0,0,50,0,
B. Zaragoza,Celta Vigo,431,313,46,6,104,4,1856,36,
I. Benito,Osasuna,11,9,0,0,2,0,35,1,
EEE. Eto'o Pineda,Rayo Vallecano,5,1,0,0,0,0,44,0,
C. Martín,Rayo Vallecano,372,254,21,2,24,3,1336,13,
V. Muñoz,Osasuna,10,10,0,0,2,0,42,1,
DCD. Camara,Cádiz,0,0,0,0,0,0,0,0,
Á. Rodriguez,Elche,229,109,6,0,5,1,852,5,
Á. Djaló,Athletic Club,112,80,7,0,14,1,657,4,
R. Fernández,Espanyol,257,187,6,0,2,1,1507,8,
E. Eyong,Levante UD,1,0,0,0,0,0,46,0,
P. Durán,Celta Vigo,373,275,25,4,18,4,1411,17,
G. García,Real Madrid,20,19,1,1,0,1,53,1,
J. Panichelli,Deportivo Alavés,0,0,0,0,0,0,0,0,
A. González,Sevilla,331,255,14,2,40,4,1372,24,
M. Sannadi,Athletic Club,153,115,9,1,6,3,751,7,
C. Lumbreras,Osasuna,0,0,0,0,0,0,0,0,
P. Cabanes De La Torre,Villarreal,146,116,4,0,18,1,366,5,
PGP. García,Real Betis,11,9,3,0,2,0,36,0,
P. Garcia,Real Betis,6,4,2,0,1,0,24,0,
A. Garcia-Pascual,Cádiz,70,48,5,0,3,0,409,2,
