Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
I. Cuéllar,Mallorca,0,0,,0,0,0,0.0,,0.0,
Ø. Nyland,Sevilla,0,2,,0,0,2674,0.0,,0.044,
W. Szczęsny,Barcelona,0,0,,0,0,1350,0.0,,0.0,
Adrián,Real Betis,0,0,,0,0,1710,0.0,,0.0,
J. Oblak,Atlético Madrid,0,0,,0,0,3240,0.0,,0.0,
T. Courtois,Real Madrid,0,1,,0,0,2700,0.0,,0.0067,
M. Dmitrović,Espanyol,0,0,,0,0,2880,0.0,,0.0272,
S. Dimitrievski,Valencia,0,0,,0,0,360,0.0,,0.0,
A. Fernández,Osasuna,0,0,,0,0,90,0.0,,0.0,
R. Silva,Real Betis,0,0,,0,0,1350,0.0,,0.024,
S. Herrera,Osasuna,0,0,,0,0,3330,0.0,,0.0348,
A. Sivera,Deportivo Alavés,0,0,,0,0,2812,0.0,,0.0993,
P. López,Real Betis,0,0,,0,0,45,0.0,,0.0516,
D. Soria,Getafe,0,0,,0,0,3420,0.0,,0.0829,
Á. Remiro,Real Sociedad,0,0,,0,0,3240,0.0,,0.0,
I. Peña,Elche,0,0,,0,0,1395,0.0,,0.0,
U. Simón,Athletic Club,0,0,,0,0,1890,0.0,,0.0242,
J. Letáček,Getafe,0,0,,0,0,0,0.0,,0.0,
I. Villar,Celta Vigo,0,0,,0,0,360,0.0,,0.0,
A. Lunin,Real Madrid,1,1,,0,0,630,0.0,,0.0,
M. Vidal,Celta Vigo,0,0,,0,0,0,0.0,,0.0,
J. García,Barcelona,0,0,1.0,1,0,3420,0.0741,0.074,0.019,
D. Conde,Villarreal,1,1,,0,0,1963,0.0,,0.0,
D. Cárdenas,Rayo Vallecano,0,0,,0,0,540,0.0,,0.0053,
J. Agirrezabala,Valencia,0,0,,0,0,1207,0.0,,0.0,
AIA. Iturbe,Elche,0,0,,0,0,0,0.0,,0.0,
L. Júnior,Villarreal,0,0,,0,0,1457,0.0,,0.0,
A. Fortuno,Espanyol,0,0,,0,0,0,0.0,,0.0,
U. Marrero,Real Sociedad,0,0,,0,0,180,0.0,,0.0,
L. Román,Mallorca,0,0,,0,0,630,0.0,,0.0072,
A. Astralaga,Granada,0,0,,0,0,0,0.0,,0.0,
A. Padilla,Athletic Club,0,0,,0,0,328,0.0,,0.006,
D. Kochen,Barcelona,0,0,,0,0,0,0.0,,0.0,
G. Fernandes,Real Betis,0,0,,0,0,0,0.0,,0.0,
RFR. Fernández,Osasuna,0,0,,0,0,0,0.0,,0.0,
G. Swiderski,Deportivo Alavés,0,0,,0,0,0,0.0,,0.0,
