Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
I. Cuéllar,Mallorca,0,0,0,0,0,0,0,
Ø. Nyland,Sevilla,3,24,0,9,0,2674,12,
W. Szczęsny,Barcelona,1,23,0,1,0,1350,3,
Adrián,Real Betis,0,30,0,4,0,1710,6,
J. Oblak,Atlético Madrid,0,25,0,4,0,3240,7,
T. Courtois,Real Madrid,0,24,1,9,0,2700,10,
M. Dmitrović,Espanyol,1,48,0,15,0,2880,21,
S. Dimitrievski,Valencia,0,5,0,0,0,360,0,
A. Fernández,Osasuna,0,2,0,0,0,90,0,
R. Silva,Real Betis,0,8,0,2,0,1350,4,
S. Herrera,Osasuna,2,39,0,5,0,3330,13,
A. Sivera,Deportivo Alavés,2,38,0,6,0,2812,12,
P. López,Real Betis,0,1,0,1,0,45,1,
D. Soria,Getafe,4,39,1,7,0,3420,12,
Á. Remiro,Real Sociedad,1,33,0,8,0,3240,12,
I. Peña,Elche,0,27,0,1,0,1395,1,
U. Simón,Athletic Club,0,18,1,6,0,1890,9,
J. Letáček,Getafe,0,0,0,0,0,0,0,
I. Villar,Celta Vigo,0,5,0,1,0,360,1,
A. Lunin,Real Madrid,1,8,0,2,0,630,4,
M. Vidal,Celta Vigo,0,0,0,0,0,0,0,
J. García,Barcelona,0,39,0,23,0,3420,28,
D. Conde,Villarreal,2,17,1,2,0,1963,4,
D. Cárdenas,Rayo Vallecano,0,5,0,1,0,540,1,
J. Agirrezabala,Valencia,0,11,0,5,0,1207,6,
AIA. Iturbe,Elche,0,0,0,0,0,0,0,
L. Júnior,Villarreal,0,34,0,7,0,1457,12,
A. Fortuno,Espanyol,0,0,0,0,0,0,0,
U. Marrero,Real Sociedad,0,2,0,0,0,180,0,
L. Román,Mallorca,0,9,0,1,0,630,2,
A. Astralaga,Granada,0,0,0,0,0,0,0,
A. Padilla,Athletic Club,0,3,0,1,0,328,2,
D. Kochen,Barcelona,0,0,0,0,0,0,0,
G. Fernandes,Real Betis,0,0,0,0,0,0,0,
RFR. Fernández,Osasuna,0,0,0,0,0,0,0,
G. Swiderski,Deportivo Alavés,0,0,0,0,0,0,0,
