Name,Team,Mins,Saves,Unnamed: 3
I. Cuéllar,Mallorca,0,0,
Ø. Nyland,Sevilla,2674,74,
W. Szczęsny,Barcelona,1350,21,
Adrián,Real Betis,1710,50,
J. Oblak,Atlético Madrid,3240,86,
T. Courtois,Real Madrid,2700,77,
M. Dmitrović,Espanyol,2880,104,
S. Dimitrievski,Valencia,360,6,
A. Fernández,Osasuna,90,5,
R. Silva,Real Betis,1350,37,
S. Herrera,Osasuna,3330,132,
A. Sivera,Deportivo Alavés,2812,76,
P. López,Real Betis,45,1,
D. Soria,Getafe,3420,90,
Á. Remiro,Real Sociedad,3240,88,
I. Peña,Elche,1395,36,
U. Simón,Athletic Club,1890,48,
J. Letáček,Getafe,0,0,
I. Villar,Celta Vigo,360,11,
A. Lunin,Real Madrid,630,13,
M. Vidal,Celta Vigo,0,0,
J. García,Barcelona,3420,145,
D. Conde,Villarreal,1963,63,
D. Cárdenas,Rayo Vallecano,540,14,
J. Agirrezabala,Valencia,1207,25,
AIA. Iturbe,Elche,0,0,
L. Júnior,Villarreal,1457,51,
A. Fortuno,Espanyol,0,0,
U. Marrero,Real Sociedad,180,9,
L. Román,Mallorca,630,40,
A. Astralaga,Granada,0,0,
A. Padilla,Athletic Club,328,12,
D. Kochen,Barcelona,0,0,
G. Fernandes,Real Betis,0,0,
RFR. Fernández,Osasuna,0,0,
G. Swiderski,Deportivo Alavés,0,0,
