Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
I. Cuéllar,Mallorca,0,0,0,0,0,0,0,0,
Ø. Nyland,Sevilla,887,525,501,0,0,2,2674,4,
W. Szczęsny,Barcelona,391,342,81,0,0,0,1350,0,
Adrián,Real Betis,525,385,234,0,0,0,1710,0,
J. Oblak,Atlético Madrid,764,583,321,0,0,0,3240,0,
T. Courtois,Real Madrid,846,679,243,0,0,1,2700,1,
M. Dmitrović,Espanyol,933,358,782,0,0,0,2880,1,
S. Dimitrievski,Valencia,108,43,80,0,0,0,360,0,
A. Fernández,Osasuna,41,25,35,0,0,0,90,0,
R. Silva,Real Betis,452,342,164,0,0,0,1350,2,
S. Herrera,Osasuna,1102,733,678,0,0,0,3330,0,
A. Sivera,Deportivo Alavés,894,457,747,0,0,0,2812,1,
P. López,Real Betis,22,16,10,0,0,0,45,0,
D. Soria,Getafe,956,447,826,0,0,0,3420,0,
Á. Remiro,Real Sociedad,1176,847,545,0,0,0,3240,1,
I. Peña,Elche,550,482,111,0,0,0,1395,0,
U. Simón,Athletic Club,559,367,315,0,0,0,1890,0,
J. Letáček,Getafe,0,0,0,0,0,0,0,0,
I. Villar,Celta Vigo,102,80,25,0,0,0,360,0,
A. Lunin,Real Madrid,171,145,52,1,0,1,630,1,
M. Vidal,Celta Vigo,0,0,0,0,0,0,0,0,
J. García,Barcelona,1059,709,575,0,0,0,3420,0,
D. Conde,Villarreal,528,409,199,1,0,1,1963,2,
D. Cárdenas,Rayo Vallecano,157,73,110,0,0,0,540,0,
J. Agirrezabala,Valencia,356,231,194,0,0,0,1207,0,
AIA. Iturbe,Elche,0,0,0,0,0,0,0,0,
L. Júnior,Villarreal,395,263,206,0,0,0,1457,0,
A. Fortuno,Espanyol,0,0,0,0,0,0,0,0,
U. Marrero,Real Sociedad,45,35,18,0,0,0,180,0,
L. Román,Mallorca,222,119,164,0,0,0,630,0,
A. Astralaga,Granada,0,0,0,0,0,0,0,0,
A. Padilla,Athletic Club,105,52,82,0,0,0,328,0,
D. Kochen,Barcelona,0,0,0,0,0,0,0,0,
G. Fernandes,Real Betis,0,0,0,0,0,0,0,0,
RFR. Fernández,Osasuna,0,0,0,0,0,0,0,0,
G. Swiderski,Deportivo Alavés,0,0,0,0,0,0,0,0,
