Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
Ó. Trejo,Rayo Vallecano,38,525,1337,0,5.0,2,1,0.5871,0.586,0.3114,8,4,4,5,0,33,295,256,11,7,1,9,Midfielder
D. Parejo,Villarreal,36,2277,1338,3,14.0,4,3,2.4999,1.48,1.897,52,36,24,25,3,121,1506,1340,144,37,2,23,Midfielder
N. Gudelj,Sevilla,35,2495,1339,1,23.0,6,1,1.6181,0.83,0.9316,42,91,27,46,5,108,1335,1181,112,31,0,14,Midfielder
O. Romeu,Barcelona,30,1375,1340,0,5.0,1,0,0.1408,0.144,0.7193,38,20,12,13,2,73,875,795,60,8,1,8,Midfielder
Koke,Atlético Madrid,33,1927,1341,1,11.0,4,1,1.0876,1.087,2.2143,46,28,20,9,4,79,1603,1429,121,22,2,16,Midfielder
I. Ruiz de Galarreta,Athletic Club,27,1492,1342,4,11.0,1,0,0.5124,0.518,2.7223,36,14,16,8,5,77,810,676,80,29,3,28,Midfielder
Suso,Cádiz,30,599,1343,2,16.0,4,0,0.741,0.741,1.2857,10,2,4,2,6,42,318,269,24,59,3,22,Midfielder
Isco,Real Betis,22,1551,1344,8,44.0,15,9,8.6175,3.901,3.8549,20,6,11,13,21,104,1073,925,95,92,5,61,Midfielder
S. Darder,Mallorca,38,2769,1345,6,36.0,9,2,2.1985,2.055,5.2827,40,21,16,14,9,124,1115,908,135,162,10,55,Midfielder
D. Suárez,Deportivo Alavés,31,619,1346,1,10.0,3,1,0.948,0.948,1.7664,12,3,3,1,3,30,259,216,19,25,3,15,Midfielder
M. Gómez,Osasuna,36,818,1347,0,6.0,1,0,0.4566,0.453,1.0831,13,7,6,7,5,40,464,384,41,28,1,11,Midfielder
P. Milla,Espanyol,37,459,1348,0,11.0,5,3,1.4657,1.458,0.3118,6,4,3,11,3,31,145,91,21,14,0,5,Midfielder
L. Torró,Osasuna,36,2963,1349,0,31.0,7,3,2.3297,2.314,1.6495,74,69,45,161,9,276,1354,1026,160,1,0,10,Midfielder
O. Mascarell,Mallorca,37,2008,1350,0,9.0,2,1,0.519,0.451,0.2888,27,56,49,45,3,94,952,808,121,5,1,3,Midfielder
R. García,Osasuna,36,2438,1351,5,27.0,10,5,3.0547,3.199,4.6171,52,28,15,28,11,123,1060,845,98,136,10,50,Midfielder
