Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
Ó. Trejo,Rayo Vallecano,0,1,5.0,2,1,525,0.5871,0.586,0.3114,
D. Parejo,Villarreal,3,2,14.0,4,3,2277,2.4999,1.48,1.897,
N. Gudelj,Sevilla,1,0,23.0,6,1,2495,1.6181,0.83,0.9316,
O. Romeu,Barcelona,0,1,5.0,1,0,1375,0.1408,0.144,0.7193,
Koke,Atlético Madrid,1,2,11.0,4,1,1927,1.0876,1.087,2.2143,
I. Ruiz de Galarreta,Athletic Club,4,3,11.0,1,0,1492,0.5124,0.518,2.7223,
Suso,Cádiz,2,3,16.0,4,0,599,0.741,0.741,1.2857,
Isco,Real Betis,8,5,44.0,15,9,1551,8.6175,3.901,3.8549,
S. Darder,Mallorca,6,10,36.0,9,2,2769,2.1985,2.055,5.2827,
D. Suárez,Deportivo Alavés,1,3,10.0,3,1,619,0.948,0.948,1.7664,
M. Gómez,Osasuna,0,1,6.0,1,0,818,0.4566,0.453,1.0831,
P. Milla,Espanyol,0,0,11.0,5,3,459,1.4657,1.458,0.3118,
L. Torró,Osasuna,0,0,31.0,7,3,2963,2.3297,2.314,1.6495,
O. Mascarell,Mallorca,0,1,9.0,2,1,2008,0.519,0.451,0.2888,
R. García,Osasuna,5,10,27.0,10,5,2438,3.0547,3.199,4.6171,
T. Asano,Mallorca,1,2,28.0,8,2,1067,2.4706,2.715,0.6152,
G. Gumbau,Granada,1,2,13.0,5,0,851,1.0817,1.076,0.7975,
A. Januzaj,Sevilla,1,5,16.0,5,2,608,0.8625,0.845,1.5834,
Á. García,Rayo Vallecano,5,6,71.0,26,4,2566,7.674,7.689,5.9266,
J. Muñoz,Getafe,3,4,25.0,6,1,2590,1.2693,1.262,2.2646,
M. Vesga,Athletic Club,0,2,6.0,3,0,995,1.2038,0.415,0.7169,
M. Arambarri,Getafe,0,0,56.0,19,10,2664,8.2288,5.945,0.5887,
D. Ceballos,Real Madrid,0,3,7.0,3,0,1225,0.3503,0.351,2.0179,
F. Cervi,Celta Vigo,0,1,,0,0,278,0.0,,0.2513,
U. López,Rayo Vallecano,1,0,26.0,11,3,1725,1.6021,1.6,1.3315,
J. Jordán,Sevilla,2,3,17.0,8,5,1415,4.7837,1.629,2.5531,
Á. Berenguer,Athletic Club,7,10,52.0,19,6,2352,6.7528,5.977,4.4209,
I. Williams,Athletic Club,8,14,63.0,24,6,2653,7.3907,7.549,5.0293,
J. Guridi,Deportivo Alavés,1,2,24.0,12,3,2097,4.1956,3.397,1.026,
D. Olmo,Barcelona,3,7,42.0,17,10,1222,6.5084,4.931,3.694,
C. Aleñá,Deportivo Alavés,2,1,20.0,5,0,1551,1.6216,1.624,1.4352,
F. de Jong,Barcelona,2,2,5.0,3,2,1150,0.6575,0.658,2.0392,
G. Lo Celso,Real Betis,3,7,34.0,19,8,1455,4.7739,2.412,5.1991,
D. Sow,Sevilla,1,4,22.0,6,2,2068,2.372,2.391,1.0057,
L. Milla,Getafe,4,5,32.0,8,1,2878,1.8329,1.043,4.9488,
P. Fornals,Real Betis,0,3,23.0,4,2,1836,1.8413,1.802,2.9412,
M. Morlanes,Mallorca,0,0,11.0,1,0,1340,0.5731,0.587,0.7227,
P. Lozano,Espanyol,1,1,8.0,2,0,1958,0.1732,0.172,0.9641,
Pepelu,Valencia,2,5,14.0,6,2,1742,2.0843,0.507,2.5612,
Raphinha,Barcelona,9,26,114.0,43,18,2844,19.3836,17.641,10.1078,
F. Valverde,Real Madrid,4,7,57.0,22,6,3032,2.6593,2.66,3.1541,
B. Díaz,Real Madrid,2,4,28.0,17,4,1405,5.5139,5.293,2.257,
Y. Herrera,Real Sociedad,3,5,39.0,14,4,2265,3.6114,3.613,1.2407,
S. Comesaña,Villarreal,2,3,39.0,8,4,2581,4.667,4.611,2.582,
B. Méndez,Real Sociedad,2,2,28.0,9,3,1547,3.5289,3.063,2.2614,
A. Almeida,Valencia,4,4,18.0,5,0,1998,1.2134,1.201,4.8878,
L. De La Torre,Celta Vigo,0,0,,0,0,11,0.0,,0.0,
M. Roca,Real Betis,2,2,12.0,4,2,909,1.0615,1.061,0.4992,
A. Blanco,Deportivo Alavés,1,2,25.0,3,0,2738,0.8322,0.828,1.7883,
S. Gómez,Real Sociedad,5,15,18.0,10,2,2743,1.8865,1.917,7.5397,
A. Tchouaméni,Real Madrid,0,2,19.0,3,0,2692,1.6516,1.653,0.9016,
Ó. Mingueza,Celta Vigo,6,12,33.0,10,4,2741,1.457,1.453,6.4282,
R. Vargas,Sevilla,1,1,17.0,5,2,677,1.9781,2.004,0.8762,
C. Benavídez,Deportivo Alavés,1,2,5.0,2,1,515,0.2645,0.249,0.618,
C. Ejuke,Sevilla,1,2,20.0,8,2,969,1.0784,1.078,1.1752,
E. Expósito,Espanyol,2,8,18.0,6,0,1052,1.071,0.998,2.385,
P. Gueye,Villarreal,0,2,55.0,17,4,2232,3.3149,3.376,2.1029,
T. Kubo,Real Sociedad,0,9,43.0,14,5,2382,3.5584,3.386,3.7491,
J. Puado,Espanyol,4,5,71.0,24,12,2987,11.4759,7.695,2.0484,
A. Guevara,Deportivo Alavés,1,1,12.0,3,0,1953,0.8657,0.863,0.616,
I. Palazón,Rayo Vallecano,4,8,61.0,18,4,2190,4.6199,4.739,4.6941,
J. de Frutos,Rayo Vallecano,3,8,52.0,19,6,2511,6.3508,6.352,2.3221,
Ó. Valentín,Rayo Vallecano,0,1,5.0,1,0,1845,0.4318,0.431,1.0823,
L. Rioja,Valencia,3,5,30.0,14,5,2866,3.2384,1.675,5.6542,
P. Díaz,Rayo Vallecano,0,3,32.0,8,3,1220,2.3714,1.57,2.0734,
A. Baena,Atlético Madrid,9,21,70.0,18,7,2602,7.1752,6.338,12.5839,
P. Ismaël Ciss,Rayo Vallecano,1,2,21.0,6,4,2158,1.9165,2.016,0.7766,
Á. Aguado,Espanyol,1,2,10.0,1,0,463,0.5805,0.597,0.4058,
