Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
Ó. Trejo,Rayo Vallecano,38,1,525,0.5871,0.3114,
D. Parejo,Villarreal,36,3,2277,2.4999,1.897,
N. Gudelj,Sevilla,35,1,2495,1.6181,0.9316,
O. Romeu,Barcelona,30,0,1375,0.1408,0.7193,
Koke,Atlético Madrid,33,1,1927,1.0876,2.2143,
I. Ruiz de Galarreta,Athletic Club,27,0,1492,0.5124,2.7223,
Suso,Cádiz,30,0,599,0.741,1.2857,
Isco,Real Betis,22,9,1551,8.6175,3.8549,
S. Darder,Mallorca,38,2,2769,2.1985,5.2827,
D. Suárez,Deportivo Alavés,31,1,619,0.948,1.7664,
M. Gómez,Osasuna,36,0,818,0.4566,1.0831,
P. Milla,Espanyol,37,3,459,1.4657,0.3118,
L. Torró,Osasuna,36,3,2963,2.3297,1.6495,
O. Mascarell,Mallorca,37,1,2008,0.519,0.2888,
R. García,Osasuna,36,5,2438,3.0547,4.6171,
T. Asano,Mallorca,23,2,1067,2.4706,0.6152,
G. Gumbau,Granada,37,0,851,1.0817,0.7975,
A. Januzaj,Sevilla,24,2,608,0.8625,1.5834,
Á. García,Rayo Vallecano,36,4,2566,7.674,5.9266,
J. Muñoz,Getafe,36,1,2590,1.2693,2.2646,
M. Vesga,Athletic Club,35,0,995,1.2038,0.7169,
M. Arambarri,Getafe,35,10,2664,8.2288,0.5887,
D. Ceballos,Real Madrid,29,0,1225,0.3503,2.0179,
F. Cervi,Celta Vigo,32,0,278,0,0.2513,
U. López,Rayo Vallecano,33,3,1725,1.6021,1.3315,
J. Jordán,Sevilla,29,5,1415,4.7837,2.5531,
Á. Berenguer,Athletic Club,37,6,2352,6.7528,4.4209,
I. Williams,Athletic Club,35,6,2653,7.3907,5.0293,
J. Guridi,Deportivo Alavés,36,3,2097,4.1956,1.026,
D. Olmo,Barcelona,27,10,1222,6.5084,3.694,
C. Aleñá,Deportivo Alavés,32,0,1551,1.6216,1.4352,
F. de Jong,Barcelona,29,2,1150,0.6575,2.0392,
G. Lo Celso,Real Betis,25,8,1455,4.7739,5.1991,
D. Sow,Sevilla,31,2,2068,2.372,1.0057,
L. Milla,Getafe,33,1,2878,1.8329,4.9488,
P. Fornals,Real Betis,28,2,1836,1.8413,2.9412,
M. Morlanes,Mallorca,25,0,1340,0.5731,0.7227,
P. Lozano,Espanyol,34,0,1958,0.1732,0.9641,
Pepelu,Valencia,35,2,1742,2.0843,2.5612,
Raphinha,Barcelona,37,18,2844,19.3836,10.1078,
F. Valverde,Real Madrid,37,6,3032,2.6593,3.1541,
B. Díaz,Real Madrid,31,4,1405,5.5139,2.257,
Y. Herrera,Real Sociedad,30,4,2265,3.6114,1.2407,
S. Comesaña,Villarreal,37,4,2581,4.667,2.582,
B. Méndez,Real Sociedad,32,3,1547,3.5289,2.2614,
A. Almeida,Valencia,36,0,1998,1.2134,4.8878,
L. De La Torre,Celta Vigo,4,0,11,0,0,
M. Roca,Real Betis,15,2,909,1.0615,0.4992,
A. Blanco,Deportivo Alavés,36,0,2738,0.8322,1.7883,
S. Gómez,Real Sociedad,38,2,2743,1.8865,7.5397,
A. Tchouaméni,Real Madrid,32,0,2692,1.6516,0.9016,
Ó. Mingueza,Celta Vigo,34,4,2741,1.457,6.4282,
R. Vargas,Sevilla,12,2,677,1.9781,0.8762,
C. Benavídez,Deportivo Alavés,31,1,515,0.2645,0.618,
C. Ejuke,Sevilla,29,2,969,1.0784,1.1752,
E. Expósito,Espanyol,24,0,1052,1.071,2.385,
P. Gueye,Villarreal,34,4,2232,3.3149,2.1029,
T. Kubo,Real Sociedad,37,5,2382,3.5584,3.7491,
J. Puado,Espanyol,35,12,2987,11.4759,2.0484,
A. Guevara,Deportivo Alavés,38,0,1953,0.8657,0.616,
I. Palazón,Rayo Vallecano,35,4,2190,4.6199,4.6941,
J. de Frutos,Rayo Vallecano,36,6,2511,6.3508,2.3221,
Ó. Valentín,Rayo Vallecano,37,0,1845,0.4318,1.0823,
L. Rioja,Valencia,37,5,2866,3.2384,5.6542,
P. Díaz,Rayo Vallecano,38,3,1220,2.3714,2.0734,
A. Baena,Atlético Madrid,32,7,2602,7.1752,12.5839,
P. Ismaël Ciss,Rayo Vallecano,36,4,2158,1.9165,0.7766,
Á. Aguado,Espanyol,36,0,463,0.5805,0.4058,
R. Navarro,Athletic Club,25,1,1286,1.9946,1.4649,
L. Sučić,Real Sociedad,32,1,1811,3.243,2.1645,
A. Sánchez,Mallorca,36,0,1401,1.0825,0.9335,
Antony,Real Betis,17,5,1365,2.8688,2.8953,
L. Agoumé,Sevilla,36,1,2130,0.8685,1.5713,
G. Valera,Valencia,16,0,142,0.1329,0.0303,
F. Pérez,Rayo Vallecano,31,0,604,0.3138,1.5296,
O. Sancet,Athletic Club,30,15,1626,9.7292,1.4887,
Á. Sola,Granada,35,0,1035,0.965,0.7658,
T. Buchanan,Villarreal,14,1,423,0.9379,0.5199,
E. Camavinga,Real Madrid,20,1,1096,0.4366,0.7006,
J. Moncayola,Osasuna,33,0,2112,1.6771,4.6134,
R. Moro,Osasuna,33,4,2346,4.1736,5.4804,
B. Turrientes,Real Sociedad,34,0,939,0.5512,0.3672,
A. Oroz,Osasuna,37,5,2981,4.1606,3.4769,
S. Costa,Mallorca,32,0,2654,1.8375,1.8829,
R. Riquelme,Real Betis,35,0,522,0.8606,0.7789,
Johnny,Atlético Madrid,31,3,2143,2.0338,0.7821,
J. Bellingham,Real Madrid,31,9,2494,11.4952,4.4977,
I. Losada,Real Betis,38,1,718,1.527,0.7958,
Pedri,Barcelona,37,4,2892,2.1757,9.0021,
P. Alemañ,Granada,2,0,0,0,0,
P. Fernández,Sevilla,37,1,1164,2.4896,0.9236,
D. López,Valencia,38,8,2760,6.7,4.6581,
M. Casadó,Barcelona,30,1,1623,1.0592,1.7922,
S. Carreira,Celta Vigo,32,0,1657,0.5984,2.3644,
