Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
Ó. Trejo,Rayo Vallecano,8,4,4,5,0,525,33,
D. Parejo,Villarreal,52,36,24,25,3,2277,121,
N. Gudelj,Sevilla,42,91,27,46,5,2495,108,
O. Romeu,Barcelona,38,20,12,13,2,1375,73,
Koke,Atlético Madrid,46,28,20,9,4,1927,79,
I. Ruiz de Galarreta,Athletic Club,36,14,16,8,5,1492,77,
Suso,Cádiz,10,2,4,2,6,599,42,
Isco,Real Betis,20,6,11,13,21,1551,104,
S. Darder,Mallorca,40,21,16,14,9,2769,124,
D. Suárez,Deportivo Alavés,12,3,3,1,3,619,30,
M. Gómez,Osasuna,13,7,6,7,5,818,40,
P. Milla,Espanyol,6,4,3,11,3,459,31,
L. Torró,Osasuna,74,69,45,161,9,2963,276,
O. Mascarell,Mallorca,27,56,49,45,3,2008,94,
R. García,Osasuna,52,28,15,28,11,2438,123,
T. Asano,Mallorca,13,8,6,7,5,1067,40,
G. Gumbau,Granada,17,11,5,17,2,851,47,
A. Januzaj,Sevilla,10,2,2,4,8,608,50,
Á. García,Rayo Vallecano,33,33,32,10,16,2566,71,
J. Muñoz,Getafe,45,32,31,15,5,2590,107,
M. Vesga,Athletic Club,22,25,15,25,1,995,58,
M. Arambarri,Getafe,48,43,15,59,14,2664,177,
D. Ceballos,Real Madrid,41,10,14,3,2,1225,81,
F. Cervi,Celta Vigo,8,6,8,4,0,278,14,
U. López,Rayo Vallecano,31,20,21,10,7,1725,77,
J. Jordán,Sevilla,32,20,9,16,5,1415,65,
Á. Berenguer,Athletic Club,32,14,10,27,13,2352,122,
I. Williams,Athletic Club,17,30,12,30,15,2653,119,
J. Guridi,Deportivo Alavés,40,14,14,48,3,2097,109,
D. Olmo,Barcelona,16,11,3,9,8,1222,75,
C. Aleñá,Deportivo Alavés,25,9,2,20,7,1551,94,
F. de Jong,Barcelona,19,6,12,10,2,1150,52,
G. Lo Celso,Real Betis,34,2,5,5,3,1455,122,
D. Sow,Sevilla,25,25,28,27,8,2068,100,
L. Milla,Getafe,61,28,24,32,11,2878,161,
P. Fornals,Real Betis,21,13,23,19,7,1836,60,
M. Morlanes,Mallorca,44,17,24,11,4,1340,70,
P. Lozano,Espanyol,53,27,22,10,3,1958,82,
Pepelu,Valencia,43,40,19,23,3,1742,93,
Raphinha,Barcelona,36,22,11,9,27,2844,134,
F. Valverde,Real Madrid,50,51,55,27,14,3032,108,
B. Díaz,Real Madrid,25,2,4,3,6,1405,86,
Y. Herrera,Real Sociedad,66,49,31,52,6,2265,203,
S. Comesaña,Villarreal,85,52,19,32,9,2581,162,
B. Méndez,Real Sociedad,24,15,7,19,6,1547,101,
A. Almeida,Valencia,48,12,8,5,6,1998,113,
L. De La Torre,Celta Vigo,0,0,0,0,0,11,0,
M. Roca,Real Betis,20,12,14,5,4,909,34,
A. Blanco,Deportivo Alavés,67,44,42,29,9,2738,137,
S. Gómez,Real Sociedad,70,23,19,20,4,2743,128,
A. Tchouaméni,Real Madrid,47,91,46,74,4,2692,155,
Ó. Mingueza,Celta Vigo,38,36,22,11,11,2741,105,
R. Vargas,Sevilla,7,10,3,7,5,677,35,
C. Benavídez,Deportivo Alavés,19,12,8,8,0,515,37,
C. Ejuke,Sevilla,19,8,5,4,2,969,86,
E. Expósito,Espanyol,23,21,15,11,3,1052,71,
P. Gueye,Villarreal,54,49,27,32,14,2232,158,
T. Kubo,Real Sociedad,31,10,17,11,16,2382,190,
J. Puado,Espanyol,22,18,5,9,12,2987,79,
A. Guevara,Deportivo Alavés,49,41,14,32,2,1953,106,
I. Palazón,Rayo Vallecano,22,13,8,18,21,2190,118,
J. de Frutos,Rayo Vallecano,37,15,19,15,11,2511,117,
Ó. Valentín,Rayo Vallecano,55,49,21,33,3,1845,124,
L. Rioja,Valencia,35,32,22,16,5,2866,131,
P. Díaz,Rayo Vallecano,23,5,7,5,10,1220,54,
A. Baena,Atlético Madrid,28,14,22,17,21,2602,112,
P. Ismaël Ciss,Rayo Vallecano,49,58,40,49,5,2158,136,
Á. Aguado,Espanyol,5,5,4,3,5,463,21,
R. Navarro,Athletic Club,30,8,19,5,4,1286,91,
L. Sučić,Real Sociedad,25,15,15,26,18,1811,91,
A. Sánchez,Mallorca,28,30,18,7,6,1401,59,
Antony,Real Betis,25,6,10,5,13,1365,81,
L. Agoumé,Sevilla,70,40,41,42,3,2130,140,
G. Valera,Valencia,1,2,4,1,1,142,9,
F. Pérez,Rayo Vallecano,17,2,3,5,1,604,42,
O. Sancet,Athletic Club,13,6,5,12,12,1626,73,
Á. Sola,Granada,21,11,7,19,6,1035,86,
T. Buchanan,Villarreal,10,1,1,3,2,423,43,
E. Camavinga,Real Madrid,42,19,18,22,4,1096,108,
J. Moncayola,Osasuna,70,19,11,15,4,2112,98,
R. Moro,Osasuna,22,19,10,8,16,2346,103,
B. Turrientes,Real Sociedad,15,13,5,10,1,939,61,
A. Oroz,Osasuna,35,10,20,19,18,2981,166,
S. Costa,Mallorca,88,82,33,72,8,2654,233,
R. Riquelme,Real Betis,11,2,2,3,5,522,28,
Johnny,Atlético Madrid,55,63,48,29,2,2143,137,
