Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
Ó. Trejo,Rayo Vallecano,295,256,11,0,7,1,525,9,
D. Parejo,Villarreal,1506,1340,144,3,37,2,2277,23,
N. Gudelj,Sevilla,1335,1181,112,1,31,0,2495,14,
O. Romeu,Barcelona,875,795,60,0,8,1,1375,8,
Koke,Atlético Madrid,1603,1429,121,1,22,2,1927,16,
I. Ruiz de Galarreta,Athletic Club,810,676,80,4,29,3,1492,28,
Suso,Cádiz,318,269,24,2,59,3,599,22,
Isco,Real Betis,1073,925,95,8,92,5,1551,61,
S. Darder,Mallorca,1115,908,135,6,162,10,2769,55,
D. Suárez,Deportivo Alavés,259,216,19,1,25,3,619,15,
M. Gómez,Osasuna,464,384,41,0,28,1,818,11,
P. Milla,Espanyol,145,91,21,0,14,0,459,5,
L. Torró,Osasuna,1354,1026,160,0,1,0,2963,10,
O. Mascarell,Mallorca,952,808,121,0,5,1,2008,3,
R. García,Osasuna,1060,845,98,5,136,10,2438,50,
T. Asano,Mallorca,199,146,9,1,20,2,1067,6,
G. Gumbau,Granada,379,304,45,1,38,2,851,17,
A. Januzaj,Sevilla,273,217,28,1,65,5,608,18,
Á. García,Rayo Vallecano,720,513,65,5,109,6,2566,50,
J. Muñoz,Getafe,1075,858,121,3,51,4,2590,30,
M. Vesga,Athletic Club,525,428,60,0,8,2,995,12,
M. Arambarri,Getafe,782,584,100,0,14,0,2664,18,
D. Ceballos,Real Madrid,1330,1265,62,0,14,3,1225,22,
F. Cervi,Celta Vigo,108,72,17,0,6,1,278,5,
U. López,Rayo Vallecano,1189,1022,135,1,33,0,1725,19,
J. Jordán,Sevilla,803,657,125,2,106,3,1415,32,
Á. Berenguer,Athletic Club,754,582,48,7,178,10,2352,47,
I. Williams,Athletic Club,688,485,27,8,115,14,2653,43,
J. Guridi,Deportivo Alavés,710,538,29,1,17,2,2097,17,
D. Olmo,Barcelona,618,515,29,3,21,7,1222,27,
