Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
J. Ángel,Sporting Gijón,38,1380,1478,2,13.0,3,1,0.0,,0.0,26,44,10,25,2,66,685,552,113,155,4,27,Defender
J. Pulido,Huesca,37,3184,1479,1,20.0,7,2,0.0,,0.0,29,231,40,79,2,132,1579,1395,167,2,3,12,Defender
M. Mateu,CD Tenerife,37,3218,1480,5,24.0,7,2,0.0,,0.0,36,83,23,12,5,91,1313,974,340,272,9,57,Defender
N. Maraš,Mirandés,35,2026,1481,1,11.0,2,0,0.0,,0.0,30,124,17,66,1,108,982,828,120,2,2,9,Defender
A. Arbilla,Eibar,30,2326,1482,0,17.0,5,0,0.0,,0.0,23,139,36,42,3,80,1703,1424,356,1,0,6,Defender
I. Miquel,Leganés,35,1252,1483,1,4.0,1,0,0.0,,0.0,12,97,19,26,0,43,658,561,110,1,1,3,Defender
C. Clerc,Real Valladolid,5,60,1484,0,,0,0,0.0,,0.0,4,5,0,2,0,9,22,15,1,0,0,0,Defender
S. Postigo,Mirandés,32,690,1485,1,5.0,0,0,0.0,,0.0,6,49,9,12,1,22,350,311,52,0,1,3,Defender
P. Insua,Real Zaragoza,30,1108,1486,0,4.0,2,1,0.0,,0.0,28,65,13,35,1,68,672,582,72,0,0,2,Defender
J. Antonio Ríos,FC Cartagena,23,1078,1487,1,5.0,0,0,0.0,,0.0,10,39,10,8,2,24,398,288,90,64,2,14,Defender
N. Martínez,FC Cartagena,16,1129,1488,3,8.0,2,2,0.0,,0.0,27,38,15,10,2,62,409,299,82,37,3,15,Defender
E. Galilea,Málaga,37,1997,1489,1,12.0,3,0,0.0,,0.0,37,109,25,45,1,97,1136,969,136,0,1,4,Defender
D. Costas,Real Oviedo,39,2872,1490,1,7.0,3,1,0.0,,0.0,34,126,27,87,1,146,1722,1529,235,0,2,4,Defender
J. León,CD Tenerife,33,2500,1491,0,16.0,5,3,0.0,,0.0,24,129,24,67,3,117,1362,1083,294,3,0,3,Defender
D. Calvo,Real Oviedo,44,3957,1492,3,20.0,7,2,0.0,,0.0,49,237,28,124,3,191,2403,2162,240,8,3,9,Defender
L. Ahijado,Real Oviedo,39,816,1493,2,5.0,2,1,0.0,,0.0,27,16,6,4,2,41,259,212,30,17,1,7,Defender
V. Garcia Marin,Málaga,39,1660,1494,1,4.0,1,0,0.0,,0.0,52,35,17,6,0,68,842,691,88,98,4,20,Defender
F. Miguel,Burgos Club de Fútbol,41,3184,1495,1,29.0,5,0,0.0,,0.0,56,134,37,51,6,166,1084,764,194,93,6,20,Defender
K. Vázquez,Sporting Gijón,37,797,1496,1,4.0,1,0,0.0,,0.0,15,30,5,12,1,38,331,246,57,24,0,4,Defender
