Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. Ángel,Sporting Gijón,2,4,13.0,3,1,1380,0.0,,0.0,
J. Pulido,Huesca,1,3,20.0,7,2,3184,0.0,,0.0,
M. Mateu,CD Tenerife,5,9,24.0,7,2,3218,0.0,,0.0,
N. Maraš,Mirandés,1,2,11.0,2,0,2026,0.0,,0.0,
A. Arbilla,Eibar,0,0,17.0,5,0,2326,0.0,,0.0,
I. Miquel,Leganés,1,1,4.0,1,0,1252,0.0,,0.0,
C. Clerc,Real Valladolid,0,0,,0,0,60,0.0,,0.0,
S. Postigo,Mirandés,1,1,5.0,0,0,690,0.0,,0.0,
P. Insua,Real Zaragoza,0,0,4.0,2,1,1108,0.0,,0.0,
J. Antonio Ríos,FC Cartagena,1,2,5.0,0,0,1078,0.0,,0.0,
N. Martínez,FC Cartagena,3,3,8.0,2,2,1129,0.0,,0.0,
E. Galilea,Málaga,1,1,12.0,3,0,1997,0.0,,0.0,
D. Costas,Real Oviedo,1,2,7.0,3,1,2872,0.0,,0.0,
J. León,CD Tenerife,0,0,16.0,5,3,2500,0.0,,0.0,
D. Calvo,Real Oviedo,3,3,20.0,7,2,3957,0.0,,0.0,
L. Ahijado,Real Oviedo,2,1,5.0,2,1,816,0.0,,0.0,
V. Garcia Marin,Málaga,1,4,4.0,1,0,1660,0.0,,0.0,
F. Miguel,Burgos Club de Fútbol,1,6,29.0,5,0,3184,0.0,,0.0,
K. Vázquez,Sporting Gijón,1,0,4.0,1,0,797,0.0,,0.0,
A. Buñuel,Burgos Club de Fútbol,0,1,9.0,5,1,2177,0.0,,0.0,
C. Pomares,Real Zaragoza,2,2,13.0,2,0,1676,0.0,,0.0,
A. Radovanović,Real Zaragoza,0,0,8.0,2,0,1155,0.0,,0.0,
A. Landázuri,CD Tenerife,1,2,3.0,1,1,846,0.0,,0.0,
N. Monte,Almería,0,0,8.0,3,3,2955,0.0,,0.0,
C. Michelin,Real Valladolid,1,1,31.0,9,2,2333,0.0,,0.0,
J. Amador,Eibar,2,2,13.0,6,2,1651,0.0,,0.0,
N. Vidal,Real Oviedo,0,1,23.0,9,6,1862,0.0,,0.0,
N. Šipčić,CD Tenerife,0,0,11.0,3,0,1620,0.0,,0.0,
I. Sebastián Magana,Huesca,0,1,15.0,3,1,2766,0.0,,0.0,
PVP. Vázquez,Sporting Gijón,0,0,19.0,3,2,3705,0.0,,0.0,
O. Luengo,Burgos Club de Fútbol,1,1,13.0,4,2,2150,0.0,,0.0,
A. Rodríguez,Real Zaragoza,0,1,8.0,3,0,1614,0.0,,0.0,
Á. Rodríguez,Eibar,0,1,12.0,1,0,1327,0.0,,0.0,
E. Curbelo,Sporting Gijón,0,0,3.0,1,0,586,0.0,,0.0,
M. Aguirregabiria,Real Zaragoza,1,2,10.0,2,1,2287,0.0,,0.0,
J. Amo,CD Lugo,0,0,,0,0,0,0.0,,0.0,
G. Sierra,Burgos Club de Fútbol,0,0,5.0,2,0,1618,0.0,,0.0,
J. Gutiérrez,Mirandés,5,9,18.0,2,0,3170,0.0,,0.0,
F. Medrano,Mirandés,1,0,4.0,2,0,863,0.0,,0.0,
Chumi,Almería,0,1,5.0,2,0,2557,0.0,,0.0,
S. González,Burgos Club de Fútbol,1,2,21.0,5,1,3030,0.0,,0.0,
J. Alonso,Huesca,0,0,8.0,1,0,2118,0.0,,0.0,
FMF. Montero,Málaga,1,1,12.0,3,1,2167,0.0,,0.0,
Á. Pastor,Málaga,0,1,10.0,2,1,2330,0.0,,0.0,
