Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Ángel,Sporting Gijón,26,44,10,25,2,1380,66,
J. Pulido,Huesca,29,231,40,79,2,3184,132,
M. Mateu,CD Tenerife,36,83,23,12,5,3218,91,
N. Maraš,Mirandés,30,124,17,66,1,2026,108,
A. Arbilla,Eibar,23,139,36,42,3,2326,80,
I. Miquel,Leganés,12,97,19,26,0,1252,43,
C. Clerc,Real Valladolid,4,5,0,2,0,60,9,
S. Postigo,Mirandés,6,49,9,12,1,690,22,
P. Insua,Real Zaragoza,28,65,13,35,1,1108,68,
J. Antonio Ríos,FC Cartagena,10,39,10,8,2,1078,24,
N. Martínez,FC Cartagena,27,38,15,10,2,1129,62,
E. Galilea,Málaga,37,109,25,45,1,1997,97,
D. Costas,Real Oviedo,34,126,27,87,1,2872,146,
J. León,CD Tenerife,24,129,24,67,3,2500,117,
D. Calvo,Real Oviedo,49,237,28,124,3,3957,191,
L. Ahijado,Real Oviedo,27,16,6,4,2,816,41,
V. Garcia Marin,Málaga,52,35,17,6,0,1660,68,
F. Miguel,Burgos Club de Fútbol,56,134,37,51,6,3184,166,
K. Vázquez,Sporting Gijón,15,30,5,12,1,797,38,
A. Buñuel,Burgos Club de Fútbol,58,79,18,28,1,2177,116,
C. Pomares,Real Zaragoza,50,57,22,30,4,1676,105,
A. Radovanović,Real Zaragoza,15,81,13,39,2,1155,61,
A. Landázuri,CD Tenerife,8,51,10,16,1,846,33,
N. Monte,Almería,33,174,38,60,0,2955,108,
C. Michelin,Real Valladolid,63,62,27,40,5,2333,159,
J. Amador,Eibar,16,139,27,62,1,1651,87,
N. Vidal,Real Oviedo,29,80,19,47,8,1862,114,
N. Šipčić,CD Tenerife,20,93,18,43,2,1620,66,
I. Sebastián Magana,Huesca,32,129,37,48,2,2766,106,
PVP. Vázquez,Sporting Gijón,58,270,37,130,6,3705,209,
O. Luengo,Burgos Club de Fútbol,64,79,23,63,2,2150,154,
A. Rodríguez,Real Zaragoza,36,96,31,49,2,1614,122,
Á. Rodríguez,Eibar,21,29,5,19,2,1327,58,
E. Curbelo,Sporting Gijón,21,19,14,9,0,586,41,
M. Aguirregabiria,Real Zaragoza,57,90,37,17,3,2287,105,
J. Amo,CD Lugo,0,0,0,0,0,0,0,
G. Sierra,Burgos Club de Fútbol,30,123,17,44,1,1618,89,
J. Gutiérrez,Mirandés,54,186,40,89,6,3170,161,
F. Medrano,Mirandés,13,34,18,16,2,863,39,
Chumi,Almería,40,108,22,41,1,2557,95,
S. González,Burgos Club de Fútbol,76,123,47,46,5,3030,170,
J. Alonso,Huesca,53,34,10,4,3,2118,91,
FMF. Montero,Málaga,13,125,30,74,4,2167,110,
Á. Pastor,Málaga,41,141,35,68,4,2330,143,
R. Pulido,Leganés,20,131,26,37,3,1504,76,
Y. Kembo,UD Ibiza,0,0,0,0,0,0,0,
Á. Centelles,Almería,38,60,31,18,3,2606,90,
D. Sánchez,Málaga,41,50,21,15,1,1971,86,
Á. Carrillo,Huesca,19,64,18,17,1,1302,46,
A. Arambarri,Eibar,28,159,26,51,1,2415,85,
E. Clemente,Las Palmas,33,63,28,17,3,1317,67,
P. García,Sporting Gijón,38,54,28,26,4,1899,71,
T. Abad,Huesca,31,68,18,23,1,1773,66,
G. Rosas,Sporting Gijón,115,50,34,14,8,3058,195,
S. Cubero,Eibar,38,81,37,55,6,1996,131,
J. Gabilondo,Málaga,22,34,11,10,6,1253,47,
D. Chirino,Almería,67,103,32,32,7,3014,148,
D. Rodríguez Ramos,CD Tenerife,61,72,43,31,4,2351,122,
C. Gutiérrez,Las Palmas,42,54,41,12,1,2222,88,
D. Sánchez,Sporting Gijón,43,101,25,41,3,2392,93,
D. Tasende,Real Zaragoza,23,85,39,32,6,2369,103,
J. Gayá,CD Lugo,27,44,12,28,0,941,62,
A. Rahim,Real Oviedo,47,69,35,25,0,2141,100,
P. Tomeo,Real Valladolid,101,171,45,58,4,3372,197,
Marvel,Leganés,40,60,18,31,3,2021,112,
BMB. Martínez,Burgos Club de Fútbol,53,42,17,19,1,1386,100,
C. Puga,Málaga,86,56,24,13,1,2197,181,
SdS. del Cerro,Burgos Club de Fútbol,0,0,0,0,0,0,0,
A. Dadie,Real Sociedad B,9,4,1,1,0,150,16,
LAL. Aguilar,Leganés,27,197,20,36,3,2696,76,
J. Albert,UD Ibiza,0,0,0,0,0,0,0,
M. Luna,Almería,34,30,14,24,1,1436,91,
D. Murillo,Málaga,18,35,4,23,1,782,55,
P. Arriaza,Málaga,0,0,0,0,0,0,0,
H. Arrillaga,Eibar,35,65,21,12,2,1583,67,
I. Merino,Málaga,15,26,6,15,2,1212,41,
BMB. Montes,Sporting Gijón,0,0,0,0,0,0,0,
RGR. Garrido,Málaga,0,0,0,0,0,0,0,
CÁC. Álvarez,CD Tenerife,12,29,7,10,0,729,28,
H. Rincón,Girona FC,85,76,27,46,5,3591,234,
J. Cabello,Mirandés,14,73,13,26,0,1459,51,
MCM. Carrascal,FC Cartagena,1,5,2,2,0,50,4,
OFO. Falah,Real Oviedo,0,0,1,0,0,8,0,
