Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
Á. Rodríguez,CF Fuenlabrada,38,992,1561,0,26.0,9,1,0.0,,0.0,14,14,3,11,6,42,171,128,9,3,2,8,Forward
A. Ortuño,FC Cartagena,42,1133,1562,0,20.0,5,0,0.0,,0.0,10,12,2,37,6,64,263,168,15,4,1,5,Forward
S. Enrich,Real Zaragoza,40,2177,1563,0,31.0,12,7,0.0,,0.0,20,18,6,74,5,120,526,378,18,5,1,14,Forward
Ó. Plano,Leganés,30,1363,1564,1,28.0,8,3,0.0,,0.0,21,7,5,11,6,82,453,394,15,6,2,11,Forward
M. Mesa,CD Tenerife,38,1395,1565,0,33.0,11,4,0.0,,0.0,13,10,6,16,9,61,274,209,21,5,0,10,Forward
J. Bautista,Eibar,38,2612,1566,4,95.0,36,11,0.0,,0.0,16,30,7,176,22,242,516,323,8,10,7,29,Forward
C. Fernández,Mirandés,33,1615,1567,1,31.0,12,1,0.0,,0.0,21,8,5,80,6,140,406,257,29,10,3,13,Forward
J. Otero,Sporting Gijón,35,2407,1568,1,73.0,29,12,0.0,,0.0,21,40,5,91,20,165,577,370,26,22,1,21,Forward
J. Caicedo,Sporting Gijón,29,734,1569,0,17.0,5,2,0.0,,0.0,7,6,0,46,3,66,125,76,4,5,0,8,Forward
E. Gallego,CD Tenerife,41,1836,1570,0,47.0,15,7,0.0,,0.0,31,21,7,91,12,153,406,250,16,3,1,20,Forward
D. Gómez,Real Zaragoza,16,676,1571,1,15.0,9,4,0.0,,0.0,3,3,1,8,4,29,112,79,3,2,2,7,Forward
P. Soko,Almería,37,2703,1572,4,77.0,33,13,0.0,,0.0,10,13,6,58,12,134,409,273,14,33,6,22,Forward
CBC. Borrego,FC Cartagena,42,1040,1573,0,21.0,4,1,0.0,,0.0,10,5,5,24,10,55,269,194,14,15,0,7,Forward
