Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
Á. Rodríguez,CF Fuenlabrada,0,2,26.0,9,1,992,0.0,,0.0,
A. Ortuño,FC Cartagena,0,1,20.0,5,0,1133,0.0,,0.0,
S. Enrich,Real Zaragoza,0,1,31.0,12,7,2177,0.0,,0.0,
Ó. Plano,Leganés,1,2,28.0,8,3,1363,0.0,,0.0,
M. Mesa,CD Tenerife,0,0,33.0,11,4,1395,0.0,,0.0,
J. Bautista,Eibar,4,7,95.0,36,11,2612,0.0,,0.0,
C. Fernández,Mirandés,1,3,31.0,12,1,1615,0.0,,0.0,
J. Otero,Sporting Gijón,1,1,73.0,29,12,2407,0.0,,0.0,
J. Caicedo,Sporting Gijón,0,0,17.0,5,2,734,0.0,,0.0,
E. Gallego,CD Tenerife,0,1,47.0,15,7,1836,0.0,,0.0,
D. Gómez,Real Zaragoza,1,2,15.0,9,4,676,0.0,,0.0,
P. Soko,Almería,4,6,77.0,33,13,2703,0.0,,0.0,
CBC. Borrego,FC Cartagena,0,0,21.0,4,1,1040,0.0,,0.0,
J. Muñoz,Málaga,3,6,37.0,16,7,1678,0.0,,0.0,
Pejiño,Las Palmas,0,0,14.0,3,1,422,0.0,,0.0,
EJE. Jauregi,Málaga,0,1,40.0,15,6,1864,0.0,,0.0,
M. Soberón,Real Zaragoza,2,1,40.0,17,10,1497,0.0,,0.0,
J. de Miguel,CD Tenerife,3,5,37.0,12,3,1812,0.0,,0.0,
I. Unzueta,CD Lugo,1,1,9.0,4,1,842,0.0,,0.0,
F. Viñas,Real Oviedo,0,3,20.0,4,1,777,0.0,,0.0,
P. de la Fuente,Real Zaragoza,1,3,18.0,6,1,667,0.0,,0.0,
J. Lobete,Málaga,2,2,50.0,18,3,2293,0.0,,0.0,
Á. Millán,Leganés,0,1,22.0,11,6,1121,0.0,,0.0,
F. Niño,Burgos Club de Fútbol,2,3,38.0,19,10,2348,0.0,,0.0,
H. Abaida,Málaga,0,0,,0,0,21,0.0,,0.0,
RBR. Blanco,AD Alcorcón,0,1,20.0,7,0,636,0.0,,0.0,
J. Martón,Eibar,0,0,13.0,7,3,623,0.0,,0.0,
Á. Forés,Real Oviedo,1,1,24.0,13,5,409,0.0,,0.0,
A. Martín,FC Cartagena,1,3,6.0,2,0,618,0.0,,0.0,
D. Queipo,Sporting Gijón,0,1,32.0,12,0,1188,0.0,,0.0,
M. Cuenca,Real Zaragoza,0,0,,0,0,31,0.0,,0.0,
GNG. Nsukula,UD Ibiza,0,0,,0,0,8,0.0,,0.0,
IYI. Yurrieta,UD Ibiza,0,0,,0,0,10,0.0,,0.0,
J. Roca,Girona FC,3,4,56.0,22,6,1775,0.0,,0.0,
A. Manjam,CD Tenerife,0,0,2.0,1,0,77,0.0,,0.0,
A. Chamorro,Málaga,0,0,,0,0,0,0.0,,0.0,
ALA. Lozano,Sporting Gijón,0,0,,0,0,0,0.0,,0.0,
A. Houary,Mirandés,0,0,,0,0,12,0.0,,0.0,
KSK. Sánchez,FC Cartagena,0,0,1.0,0,0,143,0.0,,0.0,
BVB. Vázquez,SD Ponferradina,0,0,1.0,0,0,16,0.0,,0.0,
ERE. Redondo,Eibar,0,0,,0,0,0,0.0,,0.0,
EME. Mateos,Eibar,0,0,,0,0,0,0.0,,0.0,
A. Coundoul,Sporting Gijón,0,0,,0,0,0,0.0,,0.0,
CChupete,Málaga,0,2,23.0,9,4,991,0.0,,0.0,
FSF. Sabina,CD Tenerife,0,0,,0,0,30,0.0,,0.0,
W. Chatiliez,FC Cartagena,1,0,3.0,1,1,94,0.0,,0.0,
