Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
Á. Rodríguez,CF Fuenlabrada,14,14,3,11,6,992,42,
A. Ortuño,FC Cartagena,10,12,2,37,6,1133,64,
S. Enrich,Real Zaragoza,20,18,6,74,5,2177,120,
Ó. Plano,Leganés,21,7,5,11,6,1363,82,
M. Mesa,CD Tenerife,13,10,6,16,9,1395,61,
J. Bautista,Eibar,16,30,7,176,22,2612,242,
C. Fernández,Mirandés,21,8,5,80,6,1615,140,
J. Otero,Sporting Gijón,21,40,5,91,20,2407,165,
J. Caicedo,Sporting Gijón,7,6,0,46,3,734,66,
E. Gallego,CD Tenerife,31,21,7,91,12,1836,153,
D. Gómez,Real Zaragoza,3,3,1,8,4,676,29,
P. Soko,Almería,10,13,6,58,12,2703,134,
CBC. Borrego,FC Cartagena,10,5,5,24,10,1040,55,
J. Muñoz,Málaga,14,9,9,4,8,1678,77,
Pejiño,Las Palmas,14,3,4,0,5,422,30,
EJE. Jauregi,Málaga,4,11,3,81,15,1864,139,
M. Soberón,Real Zaragoza,12,3,1,14,10,1497,48,
J. de Miguel,CD Tenerife,23,26,12,74,9,1812,112,
I. Unzueta,CD Lugo,8,9,1,18,2,842,45,
F. Viñas,Real Oviedo,6,15,2,36,4,777,62,
P. de la Fuente,Real Zaragoza,21,5,2,16,3,667,75,
J. Lobete,Málaga,21,10,14,32,16,2293,177,
Á. Millán,Leganés,7,8,1,28,2,1121,57,
F. Niño,Burgos Club de Fútbol,42,25,8,85,8,2348,187,
H. Abaida,Málaga,1,1,0,0,0,21,1,
RBR. Blanco,AD Alcorcón,5,2,2,1,4,636,15,
J. Martón,Eibar,4,5,1,12,3,623,44,
Á. Forés,Real Oviedo,2,1,0,0,2,409,5,
A. Martín,FC Cartagena,10,5,1,0,4,618,17,
D. Queipo,Sporting Gijón,38,5,5,11,7,1188,85,
M. Cuenca,Real Zaragoza,1,2,1,0,0,31,3,
GNG. Nsukula,UD Ibiza,0,0,0,0,0,8,0,
IYI. Yurrieta,UD Ibiza,0,0,0,0,0,10,0,
J. Roca,Girona FC,23,14,10,14,16,1775,113,
A. Manjam,CD Tenerife,3,2,1,0,0,77,6,
A. Chamorro,Málaga,0,0,0,0,0,0,0,
ALA. Lozano,Sporting Gijón,0,0,0,0,0,0,0,
A. Houary,Mirandés,0,0,0,1,0,12,2,
KSK. Sánchez,FC Cartagena,0,0,1,1,1,143,2,
BVB. Vázquez,SD Ponferradina,0,0,0,0,0,16,0,
ERE. Redondo,Eibar,0,0,0,0,0,0,0,
EME. Mateos,Eibar,0,0,0,0,0,0,0,
A. Coundoul,Sporting Gijón,0,0,0,0,0,0,0,
CChupete,Málaga,4,13,2,19,6,991,48,
FSF. Sabina,CD Tenerife,1,0,0,0,0,30,1,
W. Chatiliez,FC Cartagena,1,3,1,0,1,94,3,
