Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
Á. Rodríguez,CF Fuenlabrada,171,128,9,0,3,2,992,8,
A. Ortuño,FC Cartagena,263,168,15,0,4,1,1133,5,
S. Enrich,Real Zaragoza,526,378,18,0,5,1,2177,14,
Ó. Plano,Leganés,453,394,15,1,6,2,1363,11,
M. Mesa,CD Tenerife,274,209,21,0,5,0,1395,10,
J. Bautista,Eibar,516,323,8,4,10,7,2612,29,
C. Fernández,Mirandés,406,257,29,1,10,3,1615,13,
J. Otero,Sporting Gijón,577,370,26,1,22,1,2407,21,
J. Caicedo,Sporting Gijón,125,76,4,0,5,0,734,8,
E. Gallego,CD Tenerife,406,250,16,0,3,1,1836,20,
D. Gómez,Real Zaragoza,112,79,3,1,2,2,676,7,
P. Soko,Almería,409,273,14,4,33,6,2703,22,
CBC. Borrego,FC Cartagena,269,194,14,0,15,0,1040,7,
J. Muñoz,Málaga,406,307,41,3,38,6,1678,18,
Pejiño,Las Palmas,145,108,14,0,21,0,422,5,
EJE. Jauregi,Málaga,339,178,11,0,13,1,1864,9,
M. Soberón,Real Zaragoza,329,249,33,2,13,1,1497,16,
J. de Miguel,CD Tenerife,526,345,36,3,13,5,1812,28,
I. Unzueta,CD Lugo,210,143,14,1,1,1,842,4,
F. Viñas,Real Oviedo,143,95,3,0,3,3,777,10,
P. de la Fuente,Real Zaragoza,283,223,27,1,20,3,667,10,
J. Lobete,Málaga,542,420,36,2,37,2,2293,22,
Á. Millán,Leganés,201,130,15,0,6,1,1121,5,
F. Niño,Burgos Club de Fútbol,613,439,30,2,2,3,2348,23,
H. Abaida,Málaga,3,2,0,0,3,0,21,0,
RBR. Blanco,AD Alcorcón,207,152,26,0,37,1,636,7,
J. Martón,Eibar,81,50,5,0,0,0,623,3,
Á. Forés,Real Oviedo,79,49,5,1,7,1,409,2,
A. Martín,FC Cartagena,272,233,18,1,39,3,618,16,
D. Queipo,Sporting Gijón,351,278,24,0,25,1,1188,9,
M. Cuenca,Real Zaragoza,14,9,4,0,1,0,31,0,
GNG. Nsukula,UD Ibiza,1,1,0,0,0,0,8,0,
IYI. Yurrieta,UD Ibiza,1,1,0,0,0,0,10,1,
J. Roca,Girona FC,388,278,21,3,61,4,1775,22,
A. Manjam,CD Tenerife,20,12,2,0,0,0,77,1,
A. Chamorro,Málaga,0,0,0,0,0,0,0,0,
ALA. Lozano,Sporting Gijón,0,0,0,0,0,0,0,0,
A. Houary,Mirandés,1,0,1,0,0,0,12,0,
KSK. Sánchez,FC Cartagena,20,13,2,0,3,0,143,0,
BVB. Vázquez,SD Ponferradina,2,2,0,0,0,0,16,0,
ERE. Redondo,Eibar,0,0,0,0,0,0,0,0,
EME. Mateos,Eibar,0,0,0,0,0,0,0,0,
A. Coundoul,Sporting Gijón,0,0,0,0,0,0,0,0,
CChupete,Málaga,177,119,10,0,4,2,991,5,
FSF. Sabina,CD Tenerife,3,3,0,0,0,0,30,0,
W. Chatiliez,FC Cartagena,33,23,2,1,5,0,94,1,
