Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
A. Fernández,Almería,0,1,,0,0,3690,0.0,,0.0,
A. Herrero,Málaga,0,1,,0,0,3690,0.0,,0.0,
D. Jiménez,Huesca,0,0,,0,0,2858,0.0,,0.0,
R. Yáñez,Sporting Gijón,0,0,,0,0,3488,0.0,,0.0,
F. Martínez,Almería,0,0,,0,0,1440,0.0,,0.0,
A. Cantero,Burgos Club de Fútbol,0,0,,0,0,3780,0.0,,0.0,
M. Martínez,CD Lugo,0,0,,0,0,360,0.0,,0.0,
J. Pérez,Huesca,0,0,,0,0,739,0.0,,0.0,
T. Nadal,Burgos Club de Fútbol,0,0,,0,0,450,0.0,,0.0,
A. Escandell,Real Oviedo,0,0,,0,0,3978,0.0,,0.0,
J. Antonio Caro,Las Palmas,0,0,,0,0,413,0.0,,0.0,
JRJ. Ruiz,Burgos Club de Fútbol,0,0,,0,0,3150,0.0,,0.0,
D. Martín,CD Tenerife,0,0,,0,0,1966,0.0,,0.0,
M. San Román,Leganés,0,0,,0,0,270,0.0,,0.0,
C. Sanchez,Sporting Gijón,0,0,,0,0,290,0.0,,0.0,
J. Mikel Magunagoitia,Eibar,0,0,1.0,1,1,2880,0.0,,0.0,
L. López,Eibar,0,0,,0,0,0,0.0,,0.0,
CCC. Calavia,Real Zaragoza,0,0,,0,0,0,0.0,,0.0,
AAA. Aceves Catalina,Real Valladolid,0,0,,0,0,59,0.0,,0.0,
B. Iribarne,Almería,0,0,,0,0,0,0.0,,0.0,
C. Lopez,Málaga,0,0,,0,0,90,0.0,,0.0,
J. Reyes,FC Cartagena,0,0,,0,0,180,0.0,,0.0,
DGD. González,Burgos Club de Fútbol,0,0,,0,0,0,0.0,,0.0,
GLG. Lozano,CD Tenerife,0,0,,0,0,0,0.0,,0.0,
