Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
A. Fernández,Almería,42,0,3690,0,0,
A. Herrero,Málaga,42,0,3690,0,0,
D. Jiménez,Huesca,34,0,2858,0,0,
R. Yáñez,Sporting Gijón,40,0,3488,0,0,
F. Martínez,Almería,42,0,1440,0,0,
A. Cantero,Burgos Club de Fútbol,42,0,3780,0,0,
M. Martínez,CD Lugo,33,0,360,0,0,
J. Pérez,Huesca,39,0,739,0,0,
T. Nadal,Burgos Club de Fútbol,40,0,450,0,0,
A. Escandell,Real Oviedo,45,0,3978,0,0,
J. Antonio Caro,Las Palmas,42,0,413,0,0,
JRJ. Ruiz,Burgos Club de Fútbol,42,0,3150,0,0,
D. Martín,CD Tenerife,41,0,1966,0,0,
M. San Román,Leganés,42,0,270,0,0,
C. Sanchez,Sporting Gijón,42,0,290,0,0,
J. Mikel Magunagoitia,Eibar,37,1,2880,0,0,
L. López,Eibar,45,0,0,0,0,
CCC. Calavia,Real Zaragoza,6,0,0,0,0,
AAA. Aceves Catalina,Real Valladolid,12,0,59,0,0,
B. Iribarne,Almería,21,0,0,0,0,
C. Lopez,Málaga,42,0,90,0,0,
J. Reyes,FC Cartagena,34,0,180,0,0,
DGD. González,Burgos Club de Fútbol,3,0,0,0,0,
GLG. Lozano,CD Tenerife,3,0,0,0,0,
