Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
A. Fernández,Almería,0,51,0,7,0,3690,13,
A. Herrero,Málaga,1,40,0,12,0,3690,21,
D. Jiménez,Huesca,0,23,0,5,0,2858,9,
R. Yáñez,Sporting Gijón,3,41,0,14,0,3488,26,
F. Martínez,Almería,0,17,0,4,0,1440,4,
A. Cantero,Burgos Club de Fútbol,2,38,0,12,0,3780,17,
M. Martínez,CD Lugo,0,2,0,1,0,360,1,
J. Pérez,Huesca,0,5,0,0,0,739,0,
T. Nadal,Burgos Club de Fútbol,0,5,0,1,0,450,2,
A. Escandell,Real Oviedo,1,63,0,18,0,3978,26,
J. Antonio Caro,Las Palmas,0,5,0,1,0,413,2,
JRJ. Ruiz,Burgos Club de Fútbol,0,41,0,12,0,3150,15,
D. Martín,CD Tenerife,0,15,0,7,0,1966,9,
M. San Román,Leganés,0,2,0,0,0,270,0,
C. Sanchez,Sporting Gijón,0,6,0,1,0,290,1,
J. Mikel Magunagoitia,Eibar,3,31,0,7,0,2880,13,
L. López,Eibar,0,0,0,0,0,0,0,
CCC. Calavia,Real Zaragoza,0,0,0,0,0,0,0,
AAA. Aceves Catalina,Real Valladolid,0,0,0,1,0,59,1,
B. Iribarne,Almería,0,0,0,0,0,0,0,
C. Lopez,Málaga,0,0,0,0,0,90,0,
J. Reyes,FC Cartagena,0,3,0,1,0,180,3,
DGD. González,Burgos Club de Fútbol,0,0,0,0,0,0,0,
GLG. Lozano,CD Tenerife,0,0,0,0,0,0,0,
