Name,Team,Mins,Saves,Unnamed: 3
A. Fernández,Almería,3690,101,
A. Herrero,Málaga,3690,146,
D. Jiménez,Huesca,2858,103,
R. Yáñez,Sporting Gijón,3488,123,
F. Martínez,Almería,1440,47,
A. Cantero,Burgos Club de Fútbol,3780,105,
M. Martínez,CD Lugo,360,8,
J. Pérez,Huesca,739,17,
T. Nadal,Burgos Club de Fútbol,450,7,
A. Escandell,Real Oviedo,3978,115,
J. Antonio Caro,Las Palmas,413,16,
JRJ. Ruiz,Burgos Club de Fútbol,3150,104,
D. Martín,CD Tenerife,1966,69,
M. San Román,Leganés,270,6,
C. Sanchez,Sporting Gijón,290,12,
J. Mikel Magunagoitia,Eibar,2880,87,
L. López,Eibar,0,0,
CCC. Calavia,Real Zaragoza,0,0,
AAA. Aceves Catalina,Real Valladolid,59,1,
B. Iribarne,Almería,0,0,
C. Lopez,Málaga,90,4,
J. Reyes,FC Cartagena,180,8,
DGD. González,Burgos Club de Fútbol,0,0,
GLG. Lozano,CD Tenerife,0,0,
