Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
A. Fernández,Almería,1068,718,556,0,0,1,3690,1,
A. Herrero,Málaga,1298,814,752,0,0,1,3690,6,
D. Jiménez,Huesca,1017,557,726,0,0,0,2858,2,
R. Yáñez,Sporting Gijón,1087,573,704,0,0,0,3488,1,
F. Martínez,Almería,473,334,248,0,0,0,1440,0,
A. Cantero,Burgos Club de Fútbol,1131,662,722,0,0,0,3780,1,
M. Martínez,CD Lugo,108,80,42,0,0,0,360,0,
J. Pérez,Huesca,211,134,121,0,0,0,739,0,
T. Nadal,Burgos Club de Fútbol,117,65,75,0,0,0,450,0,
A. Escandell,Real Oviedo,1465,1064,726,0,0,0,3978,4,
J. Antonio Caro,Las Palmas,129,90,67,0,0,0,413,0,
JRJ. Ruiz,Burgos Club de Fútbol,1024,677,543,0,0,0,3150,1,
D. Martín,CD Tenerife,627,303,471,0,0,0,1966,0,
M. San Román,Leganés,116,77,57,0,0,0,270,0,
C. Sanchez,Sporting Gijón,88,57,54,0,0,0,290,0,
J. Mikel Magunagoitia,Eibar,1009,625,644,0,0,0,2880,2,
L. López,Eibar,0,0,0,0,0,0,0,0,
CCC. Calavia,Real Zaragoza,0,0,0,0,0,0,0,0,
AAA. Aceves Catalina,Real Valladolid,22,6,18,0,0,0,59,0,
B. Iribarne,Almería,0,0,0,0,0,0,0,0,
C. Lopez,Málaga,21,14,11,0,0,0,90,0,
J. Reyes,FC Cartagena,57,37,37,0,0,0,180,0,
DGD. González,Burgos Club de Fútbol,0,0,0,0,0,0,0,0,
GLG. Lozano,CD Tenerife,0,0,0,0,0,0,0,0,
