Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
S. Cazorla,Real Oviedo,37,2112,1631,5,30.0,11,5,0.0,,0.0,33,8,16,7,5,102,1200,1038,146,146,13,62,Midfielder
L. Júnior,CD Lugo,43,492,1632,0,14.0,5,1,0.0,,0.0,9,6,1,7,2,27,126,96,2,7,2,8,Midfielder
A. Sanz,CD Tenerife,19,1301,1633,0,5.0,2,0,0.0,,0.0,33,33,19,36,1,88,638,505,111,3,1,4,Midfielder
F. Portillo,Huesca,30,1055,1634,1,8.0,3,2,0.0,,0.0,14,4,2,8,1,41,504,428,30,15,2,19,Midfielder
S. Álvarez,Eibar,41,2793,1635,0,12.0,5,0,0.0,,0.0,108,69,32,58,2,209,1526,1271,137,14,0,13,Midfielder
D. Musto,FC Cartagena,28,1899,1636,0,5.0,0,0,0.0,,0.0,47,52,30,35,3,109,689,578,84,5,1,6,Midfielder
RRecio,Málaga,1,0,1637,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
L. Baptistão,Almería,39,2534,1638,5,103.0,33,10,0.0,,0.0,48,27,16,52,25,161,790,599,67,57,4,32,Midfielder
I. Alejo,Real Valladolid,18,846,1639,2,7.0,0,0,0.0,,0.0,23,8,7,7,3,59,182,130,21,94,3,17,Midfielder
Á. Corredera,Sporting Gijón,4,105,1640,0,,0,0,0.0,,0.0,1,1,1,1,0,4,41,33,1,0,0,0,Midfielder
S. Moyano,Real Zaragoza,45,1343,1641,5,34.0,9,0,0.0,,0.0,16,13,10,28,12,114,374,297,24,43,5,23,Midfielder
F. San Emeterio,SD Ponferradina,32,1188,1642,0,6.0,2,0,0.0,,0.0,26,27,11,18,1,63,477,385,49,2,0,5,Midfielder
Luismi,Málaga,32,2356,1643,1,3.0,1,0,0.0,,0.0,62,47,31,35,2,136,1197,1027,147,1,0,8,Midfielder
R. Guti,Real Zaragoza,30,1389,1644,1,29.0,7,2,0.0,,0.0,23,10,16,8,13,73,719,613,87,32,2,11,Midfielder
J. Pérez Mateo,CD Tenerife,27,1331,1645,1,20.0,5,1,0.0,,0.0,25,20,9,38,6,95,457,359,23,11,0,11,Midfielder
I. Cordoba,Burgos Club de Fútbol,34,1635,1646,5,31.0,9,3,0.0,,0.0,69,33,31,17,5,161,505,344,51,68,3,20,Midfielder
B. Sánchez,CD Lugo,41,1030,1647,1,17.0,9,4,0.0,,0.0,26,11,14,4,2,54,484,389,85,56,2,19,Midfielder
ADA. Diawara,Leganés,12,974,1648,0,11.0,2,2,0.0,,0.0,15,11,9,8,2,31,420,374,31,5,0,6,Midfielder
G. Melero,Leganés,38,2197,1649,4,25.0,11,5,0.0,,0.0,37,15,23,19,7,100,1003,853,52,4,3,34,Midfielder
L. Olaetxea,Eibar,38,3076,1650,1,16.0,5,2,0.0,,0.0,71,126,49,87,2,195,1500,1215,144,7,1,11,Midfielder
J. Corpas,Eibar,36,2884,1651,6,54.0,21,6,0.0,,0.0,40,53,42,36,12,137,1080,847,114,146,6,36,Midfielder
T. Villa,Eibar,36,498,1652,1,9.0,2,0,0.0,,0.0,14,1,3,1,2,29,187,135,13,23,1,9,Midfielder
S. Colombatto,Real Oviedo,42,3513,1653,3,37.0,10,4,0.0,,0.0,37,33,26,31,9,145,1528,1302,131,101,5,47,Midfielder
ICI. Chapela,CD Tenerife,30,1543,1654,0,39.0,14,4,0.0,,0.0,20,20,7,15,6,98,374,282,18,27,1,15,Midfielder
Curro,Burgos Club de Fútbol,35,2858,1655,1,55.0,22,6,0.0,,0.0,49,16,17,57,18,169,1249,994,107,60,4,42,Midfielder
Juanpe,Málaga,29,610,1656,0,5.0,1,0,0.0,,0.0,28,18,8,18,0,55,340,265,48,4,1,6,Midfielder
D. Ojeda,Huesca,37,1558,1657,1,37.0,13,1,0.0,,0.0,21,5,12,9,14,53,667,544,52,44,6,27,Midfielder
T. Moya,Real Zaragoza,38,1911,1658,6,27.0,9,0,0.0,,0.0,56,41,25,19,9,102,1057,859,156,98,4,38,Midfielder
K. Bare,Real Zaragoza,21,1659,1659,2,19.0,4,0,0.0,,0.0,25,23,21,13,6,84,818,696,90,14,1,12,Midfielder
K. Appin,Burgos Club de Fútbol,7,514,1660,0,4.0,1,0,0.0,,0.0,12,5,4,11,0,39,198,166,15,3,0,3,Midfielder
JDJ. Dorrio,Málaga,41,2939,1661,3,50.0,10,2,0.0,,0.0,43,27,13,20,22,144,479,352,19,67,4,19,Midfielder
A. Reina,Real Oviedo,45,3639,1662,4,43.0,16,6,0.0,,0.0,74,35,27,27,11,155,1527,1149,235,165,14,71,Midfielder
C. Gelabert,Sporting Gijón,39,2406,1663,2,44.0,17,6,0.0,,0.0,49,34,26,37,12,151,1126,876,107,67,5,49,Midfielder
J. Bernal,Sporting Gijón,17,621,1664,0,3.0,0,0,0.0,,0.0,11,17,6,14,1,28,398,347,24,2,3,8,Midfielder
K. Sibo,Real Oviedo,43,2554,1665,1,10.0,2,1,0.0,,0.0,50,46,36,39,2,110,1083,934,83,3,0,11,Midfielder
I. Morante,Burgos Club de Fútbol,40,2055,1666,1,14.0,2,0,0.0,,0.0,54,23,24,8,4,87,1114,959,119,18,2,16,Midfielder
RGR. González,Real Zaragoza,19,694,1667,0,9.0,1,0,0.0,,0.0,14,3,2,7,4,64,138,98,5,22,2,9,Midfielder
A. Puigmal,Almería,44,1616,1668,5,32.0,11,3,0.0,,0.0,17,13,15,12,9,55,546,467,20,112,6,52,Midfielder
P. Nolaskoain,Eibar,36,2398,1669,0,21.0,8,2,0.0,,0.0,49,85,35,123,6,221,1519,1242,130,15,2,16,Midfielder
O. Sielva,Huesca,35,2862,1670,1,31.0,9,6,0.0,,0.0,38,76,36,22,8,95,1041,891,103,79,4,24,Midfielder
M. Atienza,Burgos Club de Fútbol,39,3144,1671,0,18.0,8,0,0.0,,0.0,90,121,61,107,3,240,1457,1175,173,8,0,11,Midfielder
J. Martínez,Eibar,17,624,1672,0,8.0,1,0,0.0,,0.0,12,10,6,12,5,37,302,257,25,20,1,11,Midfielder
I. Baba,Almería,14,622,1673,0,3.0,0,0,0.0,,0.0,13,6,6,13,2,57,295,253,37,2,0,3,Midfielder
H. Hassan,Real Oviedo,43,2438,1674,3,46.0,25,4,0.0,,0.0,32,8,8,2,7,137,580,469,68,126,6,44,Midfielder
CMC. Montes,CD Tenerife,19,275,1675,0,3.0,1,0,0.0,,0.0,4,1,0,0,2,8,96,80,8,7,0,1,Midfielder
R. Marchán,AD Alcorcón,32,712,1676,0,3.0,2,1,0.0,,0.0,18,26,17,11,0,32,273,222,31,1,0,3,Midfielder
J. Morcillo,Almería,41,2578,1677,6,82.0,30,8,0.0,,0.0,23,11,21,5,24,101,721,530,81,246,14,57,Midfielder
J. Mier,Huesca,21,753,1678,0,12.0,4,1,0.0,,0.0,21,23,8,8,1,45,309,243,41,8,1,6,Midfielder
Á. Cantero,Huesca,35,938,1679,4,35.0,13,2,0.0,,0.0,12,5,4,11,7,37,191,128,12,26,3,15,Midfielder
D. Lopy,Almería,40,3091,1680,3,31.0,10,1,0.0,,0.0,78,68,46,51,5,192,1574,1340,185,4,3,26,Midfielder
N. Melamed,Almería,41,2390,1681,4,81.0,21,7,0.0,,0.0,24,12,10,27,21,121,753,609,55,95,3,49,Midfielder
R. Enríquez,Málaga,19,451,1682,1,,0,0,0.0,,0.0,8,13,6,0,0,19,330,298,37,4,0,3,Midfielder
S. Arribas,Almería,43,2772,1683,3,82.0,30,9,0.0,,0.0,32,10,17,22,24,142,1264,1059,63,146,9,76,Midfielder
C. Dotor,Málaga,30,660,1684,0,10.0,4,2,0.0,,0.0,12,11,4,9,3,36,286,229,22,8,0,3,Midfielder
F. Serrano,Real Zaragoza,38,2599,1685,2,34.0,13,4,0.0,,0.0,53,31,23,21,7,109,1133,916,116,59,2,30,Midfielder
D. Larrubia,Málaga,38,2808,1686,2,62.0,23,4,0.0,,0.0,89,25,18,9,14,218,848,678,55,44,4,32,Midfielder
I. Chaira,Real Oviedo,33,2432,1687,3,75.0,24,8,0.0,,0.0,54,22,10,20,22,161,701,568,35,79,6,30,Midfielder
V. Meseguer,Real Valladolid,21,836,1688,1,3.0,0,0,0.0,,0.0,22,11,8,15,2,47,427,359,27,2,0,3,Midfielder
J. Martín,Huesca,31,1153,1689,0,4.0,2,2,0.0,,0.0,38,22,22,16,0,90,454,363,50,21,2,7,Midfielder
I. Gil,Las Palmas,14,479,1690,1,9.0,1,0,0.0,,0.0,5,4,1,3,3,19,221,191,15,27,2,10,Midfielder
D. Luna,Huesca,17,962,1691,1,17.0,5,3,0.0,,0.0,12,5,9,3,5,46,239,200,10,7,1,3,Midfielder
G. Campos,Sporting Gijón,27,1474,1692,4,37.0,10,4,0.0,,0.0,20,7,6,6,10,57,455,345,29,26,2,17,Midfielder
Á. Cardero,Mirandés,45,591,1693,1,9.0,3,1,0.0,,0.0,10,4,6,8,4,29,281,229,21,23,0,13,Midfielder
J. Guruzeta,Eibar,34,1413,1694,3,32.0,15,3,0.0,,0.0,37,20,13,37,8,111,448,336,30,37,7,24,Midfielder
M. Lachuer,Real Valladolid,43,2935,1695,2,48.0,8,2,0.0,,0.0,46,34,24,26,13,156,1038,820,86,144,5,40,Midfielder
D. González,Burgos Club de Fútbol,40,1078,1696,2,19.0,9,2,0.0,,0.0,18,21,8,12,2,58,325,254,24,29,2,16,Midfielder
Gui,Almería,28,333,1697,0,2.0,1,1,0.0,,0.0,10,3,3,2,0,20,125,109,9,2,0,3,Midfielder
N. García,Leganés,19,714,1698,1,16.0,0,0,0.0,,0.0,12,5,3,7,10,38,175,136,20,42,0,12,Midfielder
J. Magunazelaia,Eibar,20,580,1699,0,16.0,3,0,0.0,,0.0,14,2,1,10,8,35,220,177,13,4,0,7,Midfielder
I. Martín,Sporting Gijón,42,1982,1700,1,14.0,5,1,0.0,,0.0,72,31,30,32,2,131,1176,973,123,14,1,23,Midfielder
RRR. Rodriguez,Málaga,10,73,1701,0,6.0,2,2,0.0,,0.0,1,0,0,1,0,4,28,23,4,2,0,2,Midfielder
D. Lorenzo,Málaga,18,488,1702,0,6.0,3,1,0.0,,0.0,14,1,4,4,1,35,199,166,18,1,0,5,Midfielder
EAE. Alcaniz,FC Cartagena,5,0,1703,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
S. Clúa,Mirandés,18,519,1704,0,3.0,0,0,0.0,,0.0,22,9,9,18,1,46,223,192,21,1,0,0,Midfielder
A. Madariaga,Eibar,29,1405,1705,0,28.0,12,3,0.0,,0.0,25,20,17,26,4,86,609,486,33,14,2,13,Midfielder
M. Cantero,Burgos Club de Fútbol,25,320,1706,0,2.0,0,0,0.0,,0.0,4,6,0,7,2,12,149,120,7,3,0,2,Midfielder
A. Ochoa,Málaga,32,1024,1707,0,12.0,5,0,0.0,,0.0,18,4,3,3,3,65,401,312,48,17,2,16,Midfielder
