Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
S. Cazorla,Real Oviedo,5,13,30.0,11,5,2112,0.0,,0.0,
L. Júnior,CD Lugo,0,2,14.0,5,1,492,0.0,,0.0,
A. Sanz,CD Tenerife,0,1,5.0,2,0,1301,0.0,,0.0,
F. Portillo,Huesca,1,2,8.0,3,2,1055,0.0,,0.0,
S. Álvarez,Eibar,0,0,12.0,5,0,2793,0.0,,0.0,
D. Musto,FC Cartagena,0,1,5.0,0,0,1899,0.0,,0.0,
RRecio,Málaga,0,0,,0,0,0,0.0,,0.0,
L. Baptistão,Almería,5,4,103.0,33,10,2534,0.0,,0.0,
I. Alejo,Real Valladolid,2,3,7.0,0,0,846,0.0,,0.0,
Á. Corredera,Sporting Gijón,0,0,,0,0,105,0.0,,0.0,
S. Moyano,Real Zaragoza,5,5,34.0,9,0,1343,0.0,,0.0,
F. San Emeterio,SD Ponferradina,0,0,6.0,2,0,1188,0.0,,0.0,
Luismi,Málaga,1,0,3.0,1,0,2356,0.0,,0.0,
R. Guti,Real Zaragoza,1,2,29.0,7,2,1389,0.0,,0.0,
J. Pérez Mateo,CD Tenerife,1,0,20.0,5,1,1331,0.0,,0.0,
I. Cordoba,Burgos Club de Fútbol,5,3,31.0,9,3,1635,0.0,,0.0,
B. Sánchez,CD Lugo,1,2,17.0,9,4,1030,0.0,,0.0,
ADA. Diawara,Leganés,0,0,11.0,2,2,974,0.0,,0.0,
G. Melero,Leganés,4,3,25.0,11,5,2197,0.0,,0.0,
L. Olaetxea,Eibar,1,1,16.0,5,2,3076,0.0,,0.0,
J. Corpas,Eibar,6,6,54.0,21,6,2884,0.0,,0.0,
T. Villa,Eibar,1,1,9.0,2,0,498,0.0,,0.0,
S. Colombatto,Real Oviedo,3,5,37.0,10,4,3513,0.0,,0.0,
ICI. Chapela,CD Tenerife,0,1,39.0,14,4,1543,0.0,,0.0,
Curro,Burgos Club de Fútbol,1,4,55.0,22,6,2858,0.0,,0.0,
Juanpe,Málaga,0,1,5.0,1,0,610,0.0,,0.0,
D. Ojeda,Huesca,1,6,37.0,13,1,1558,0.0,,0.0,
T. Moya,Real Zaragoza,6,4,27.0,9,0,1911,0.0,,0.0,
K. Bare,Real Zaragoza,2,1,19.0,4,0,1659,0.0,,0.0,
K. Appin,Burgos Club de Fútbol,0,0,4.0,1,0,514,0.0,,0.0,
JDJ. Dorrio,Málaga,3,4,50.0,10,2,2939,0.0,,0.0,
A. Reina,Real Oviedo,4,14,43.0,16,6,3639,0.0,,0.0,
C. Gelabert,Sporting Gijón,2,5,44.0,17,6,2406,0.0,,0.0,
J. Bernal,Sporting Gijón,0,3,3.0,0,0,621,0.0,,0.0,
K. Sibo,Real Oviedo,1,0,10.0,2,1,2554,0.0,,0.0,
I. Morante,Burgos Club de Fútbol,1,2,14.0,2,0,2055,0.0,,0.0,
RGR. González,Real Zaragoza,0,2,9.0,1,0,694,0.0,,0.0,
A. Puigmal,Almería,5,6,32.0,11,3,1616,0.0,,0.0,
P. Nolaskoain,Eibar,0,2,21.0,8,2,2398,0.0,,0.0,
O. Sielva,Huesca,1,4,31.0,9,6,2862,0.0,,0.0,
M. Atienza,Burgos Club de Fútbol,0,0,18.0,8,0,3144,0.0,,0.0,
J. Martínez,Eibar,0,1,8.0,1,0,624,0.0,,0.0,
I. Baba,Almería,0,0,3.0,0,0,622,0.0,,0.0,
H. Hassan,Real Oviedo,3,6,46.0,25,4,2438,0.0,,0.0,
CMC. Montes,CD Tenerife,0,0,3.0,1,0,275,0.0,,0.0,
R. Marchán,AD Alcorcón,0,0,3.0,2,1,712,0.0,,0.0,
J. Morcillo,Almería,6,14,82.0,30,8,2578,0.0,,0.0,
J. Mier,Huesca,0,1,12.0,4,1,753,0.0,,0.0,
Á. Cantero,Huesca,4,3,35.0,13,2,938,0.0,,0.0,
D. Lopy,Almería,3,3,31.0,10,1,3091,0.0,,0.0,
N. Melamed,Almería,4,3,81.0,21,7,2390,0.0,,0.0,
R. Enríquez,Málaga,1,0,,0,0,451,0.0,,0.0,
S. Arribas,Almería,3,9,82.0,30,9,2772,0.0,,0.0,
C. Dotor,Málaga,0,0,10.0,4,2,660,0.0,,0.0,
F. Serrano,Real Zaragoza,2,2,34.0,13,4,2599,0.0,,0.0,
D. Larrubia,Málaga,2,4,62.0,23,4,2808,0.0,,0.0,
I. Chaira,Real Oviedo,3,6,75.0,24,8,2432,0.0,,0.0,
V. Meseguer,Real Valladolid,1,0,3.0,0,0,836,0.0,,0.0,
J. Martín,Huesca,0,2,4.0,2,2,1153,0.0,,0.0,
I. Gil,Las Palmas,1,2,9.0,1,0,479,0.0,,0.0,
D. Luna,Huesca,1,1,17.0,5,3,962,0.0,,0.0,
G. Campos,Sporting Gijón,4,2,37.0,10,4,1474,0.0,,0.0,
Á. Cardero,Mirandés,1,0,9.0,3,1,591,0.0,,0.0,
J. Guruzeta,Eibar,3,7,32.0,15,3,1413,0.0,,0.0,
M. Lachuer,Real Valladolid,2,5,48.0,8,2,2935,0.0,,0.0,
D. González,Burgos Club de Fútbol,2,2,19.0,9,2,1078,0.0,,0.0,
Gui,Almería,0,0,2.0,1,1,333,0.0,,0.0,
N. García,Leganés,1,0,16.0,0,0,714,0.0,,0.0,
J. Magunazelaia,Eibar,0,0,16.0,3,0,580,0.0,,0.0,
I. Martín,Sporting Gijón,1,1,14.0,5,1,1982,0.0,,0.0,
RRR. Rodriguez,Málaga,0,0,6.0,2,2,73,0.0,,0.0,
D. Lorenzo,Málaga,0,0,6.0,3,1,488,0.0,,0.0,
EAE. Alcaniz,FC Cartagena,0,0,,0,0,0,0.0,,0.0,
S. Clúa,Mirandés,0,0,3.0,0,0,519,0.0,,0.0,
A. Madariaga,Eibar,0,2,28.0,12,3,1405,0.0,,0.0,
M. Cantero,Burgos Club de Fútbol,0,0,2.0,0,0,320,0.0,,0.0,
A. Ochoa,Málaga,0,2,12.0,5,0,1024,0.0,,0.0,
A. Martín,Mirandés,1,2,23.0,6,2,1642,0.0,,0.0,
DFD. Fernández,CD Tenerife,0,0,6.0,1,1,316,0.0,,0.0,
NTN. Tounkara,AD Alcorcón,0,0,,0,0,16,0.0,,0.0,
DTD. Tejón Naves,Real Oviedo,0,0,,0,0,0,0.0,,0.0,
LRL. Rubio,FC Cartagena,0,0,,0,0,0,0.0,,0.0,
ROR. Ojeda,Huesca,0,0,,0,0,16,0.0,,0.0,
MDM. Delgado,Eibar,0,0,,0,0,0,0.0,,0.0,
