Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
S. Cazorla,Real Oviedo,37,5,2112,0,0,
L. Júnior,CD Lugo,43,1,492,0,0,
A. Sanz,CD Tenerife,19,0,1301,0,0,
F. Portillo,Huesca,30,2,1055,0,0,
S. Álvarez,Eibar,41,0,2793,0,0,
D. Musto,FC Cartagena,28,0,1899,0,0,
RRecio,Málaga,1,0,0,0,0,
L. Baptistão,Almería,39,10,2534,0,0,
I. Alejo,Real Valladolid,18,0,846,0,0,
Á. Corredera,Sporting Gijón,4,0,105,0,0,
S. Moyano,Real Zaragoza,45,0,1343,0,0,
F. San Emeterio,SD Ponferradina,32,0,1188,0,0,
Luismi,Málaga,32,0,2356,0,0,
R. Guti,Real Zaragoza,30,2,1389,0,0,
J. Pérez Mateo,CD Tenerife,27,1,1331,0,0,
I. Cordoba,Burgos Club de Fútbol,34,3,1635,0,0,
B. Sánchez,CD Lugo,41,4,1030,0,0,
ADA. Diawara,Leganés,12,2,974,0,0,
G. Melero,Leganés,38,5,2197,0,0,
L. Olaetxea,Eibar,38,2,3076,0,0,
J. Corpas,Eibar,36,6,2884,0,0,
T. Villa,Eibar,36,0,498,0,0,
S. Colombatto,Real Oviedo,42,4,3513,0,0,
ICI. Chapela,CD Tenerife,30,4,1543,0,0,
Curro,Burgos Club de Fútbol,35,6,2858,0,0,
Juanpe,Málaga,29,0,610,0,0,
D. Ojeda,Huesca,37,1,1558,0,0,
T. Moya,Real Zaragoza,38,0,1911,0,0,
K. Bare,Real Zaragoza,21,0,1659,0,0,
K. Appin,Burgos Club de Fútbol,7,0,514,0,0,
JDJ. Dorrio,Málaga,41,2,2939,0,0,
A. Reina,Real Oviedo,45,6,3639,0,0,
C. Gelabert,Sporting Gijón,39,6,2406,0,0,
J. Bernal,Sporting Gijón,17,0,621,0,0,
K. Sibo,Real Oviedo,43,1,2554,0,0,
I. Morante,Burgos Club de Fútbol,40,0,2055,0,0,
RGR. González,Real Zaragoza,19,0,694,0,0,
A. Puigmal,Almería,44,3,1616,0,0,
P. Nolaskoain,Eibar,36,2,2398,0,0,
O. Sielva,Huesca,35,6,2862,0,0,
M. Atienza,Burgos Club de Fútbol,39,0,3144,0,0,
J. Martínez,Eibar,17,0,624,0,0,
I. Baba,Almería,14,0,622,0,0,
H. Hassan,Real Oviedo,43,4,2438,0,0,
CMC. Montes,CD Tenerife,19,0,275,0,0,
R. Marchán,AD Alcorcón,32,1,712,0,0,
J. Morcillo,Almería,41,8,2578,0,0,
J. Mier,Huesca,21,1,753,0,0,
Á. Cantero,Huesca,35,2,938,0,0,
D. Lopy,Almería,40,1,3091,0,0,
N. Melamed,Almería,41,7,2390,0,0,
R. Enríquez,Málaga,19,0,451,0,0,
S. Arribas,Almería,43,9,2772,0,0,
C. Dotor,Málaga,30,2,660,0,0,
F. Serrano,Real Zaragoza,38,4,2599,0,0,
D. Larrubia,Málaga,38,4,2808,0,0,
I. Chaira,Real Oviedo,33,8,2432,0,0,
V. Meseguer,Real Valladolid,21,0,836,0,0,
J. Martín,Huesca,31,2,1153,0,0,
I. Gil,Las Palmas,14,0,479,0,0,
D. Luna,Huesca,17,3,962,0,0,
G. Campos,Sporting Gijón,27,4,1474,0,0,
Á. Cardero,Mirandés,45,1,591,0,0,
J. Guruzeta,Eibar,34,3,1413,0,0,
M. Lachuer,Real Valladolid,43,2,2935,0,0,
D. González,Burgos Club de Fútbol,40,2,1078,0,0,
Gui,Almería,28,1,333,0,0,
N. García,Leganés,19,0,714,0,0,
J. Magunazelaia,Eibar,20,0,580,0,0,
I. Martín,Sporting Gijón,42,1,1982,0,0,
RRR. Rodriguez,Málaga,10,2,73,0,0,
D. Lorenzo,Málaga,18,1,488,0,0,
EAE. Alcaniz,FC Cartagena,5,0,0,0,0,
S. Clúa,Mirandés,18,0,519,0,0,
A. Madariaga,Eibar,29,3,1405,0,0,
M. Cantero,Burgos Club de Fútbol,25,0,320,0,0,
A. Ochoa,Málaga,32,0,1024,0,0,
A. Martín,Mirandés,36,2,1642,0,0,
DFD. Fernández,CD Tenerife,15,1,316,0,0,
NTN. Tounkara,AD Alcorcón,6,0,16,0,0,
DTD. Tejón Naves,Real Oviedo,1,0,0,0,0,
LRL. Rubio,FC Cartagena,7,0,0,0,0,
ROR. Ojeda,Huesca,2,0,16,0,0,
MDM. Delgado,Eibar,1,0,0,0,0,
