Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
S. Cazorla,Real Oviedo,1200,1038,146,5,146,13,2112,62,
L. Júnior,CD Lugo,126,96,2,0,7,2,492,8,
A. Sanz,CD Tenerife,638,505,111,0,3,1,1301,4,
F. Portillo,Huesca,504,428,30,1,15,2,1055,19,
S. Álvarez,Eibar,1526,1271,137,0,14,0,2793,13,
D. Musto,FC Cartagena,689,578,84,0,5,1,1899,6,
RRecio,Málaga,0,0,0,0,0,0,0,0,
L. Baptistão,Almería,790,599,67,5,57,4,2534,32,
I. Alejo,Real Valladolid,182,130,21,2,94,3,846,17,
Á. Corredera,Sporting Gijón,41,33,1,0,0,0,105,0,
S. Moyano,Real Zaragoza,374,297,24,5,43,5,1343,23,
F. San Emeterio,SD Ponferradina,477,385,49,0,2,0,1188,5,
Luismi,Málaga,1197,1027,147,1,1,0,2356,8,
R. Guti,Real Zaragoza,719,613,87,1,32,2,1389,11,
J. Pérez Mateo,CD Tenerife,457,359,23,1,11,0,1331,11,
I. Cordoba,Burgos Club de Fútbol,505,344,51,5,68,3,1635,20,
B. Sánchez,CD Lugo,484,389,85,1,56,2,1030,19,
ADA. Diawara,Leganés,420,374,31,0,5,0,974,6,
G. Melero,Leganés,1003,853,52,4,4,3,2197,34,
L. Olaetxea,Eibar,1500,1215,144,1,7,1,3076,11,
J. Corpas,Eibar,1080,847,114,6,146,6,2884,36,
T. Villa,Eibar,187,135,13,1,23,1,498,9,
S. Colombatto,Real Oviedo,1528,1302,131,3,101,5,3513,47,
ICI. Chapela,CD Tenerife,374,282,18,0,27,1,1543,15,
Curro,Burgos Club de Fútbol,1249,994,107,1,60,4,2858,42,
Juanpe,Málaga,340,265,48,0,4,1,610,6,
D. Ojeda,Huesca,667,544,52,1,44,6,1558,27,
T. Moya,Real Zaragoza,1057,859,156,6,98,4,1911,38,
K. Bare,Real Zaragoza,818,696,90,2,14,1,1659,12,
K. Appin,Burgos Club de Fútbol,198,166,15,0,3,0,514,3,
JDJ. Dorrio,Málaga,479,352,19,3,67,4,2939,19,
A. Reina,Real Oviedo,1527,1149,235,4,165,14,3639,71,
C. Gelabert,Sporting Gijón,1126,876,107,2,67,5,2406,49,
J. Bernal,Sporting Gijón,398,347,24,0,2,3,621,8,
K. Sibo,Real Oviedo,1083,934,83,1,3,0,2554,11,
I. Morante,Burgos Club de Fútbol,1114,959,119,1,18,2,2055,16,
RGR. González,Real Zaragoza,138,98,5,0,22,2,694,9,
A. Puigmal,Almería,546,467,20,5,112,6,1616,52,
P. Nolaskoain,Eibar,1519,1242,130,0,15,2,2398,16,
O. Sielva,Huesca,1041,891,103,1,79,4,2862,24,
M. Atienza,Burgos Club de Fútbol,1457,1175,173,0,8,0,3144,11,
J. Martínez,Eibar,302,257,25,0,20,1,624,11,
I. Baba,Almería,295,253,37,0,2,0,622,3,
H. Hassan,Real Oviedo,580,469,68,3,126,6,2438,44,
CMC. Montes,CD Tenerife,96,80,8,0,7,0,275,1,
R. Marchán,AD Alcorcón,273,222,31,0,1,0,712,3,
J. Morcillo,Almería,721,530,81,6,246,14,2578,57,
J. Mier,Huesca,309,243,41,0,8,1,753,6,
Á. Cantero,Huesca,191,128,12,4,26,3,938,15,
D. Lopy,Almería,1574,1340,185,3,4,3,3091,26,
N. Melamed,Almería,753,609,55,4,95,3,2390,49,
R. Enríquez,Málaga,330,298,37,1,4,0,451,3,
S. Arribas,Almería,1264,1059,63,3,146,9,2772,76,
C. Dotor,Málaga,286,229,22,0,8,0,660,3,
F. Serrano,Real Zaragoza,1133,916,116,2,59,2,2599,30,
D. Larrubia,Málaga,848,678,55,2,44,4,2808,32,
I. Chaira,Real Oviedo,701,568,35,3,79,6,2432,30,
V. Meseguer,Real Valladolid,427,359,27,1,2,0,836,3,
J. Martín,Huesca,454,363,50,0,21,2,1153,7,
I. Gil,Las Palmas,221,191,15,1,27,2,479,10,
D. Luna,Huesca,239,200,10,1,7,1,962,3,
G. Campos,Sporting Gijón,455,345,29,4,26,2,1474,17,
Á. Cardero,Mirandés,281,229,21,1,23,0,591,13,
J. Guruzeta,Eibar,448,336,30,3,37,7,1413,24,
M. Lachuer,Real Valladolid,1038,820,86,2,144,5,2935,40,
D. González,Burgos Club de Fútbol,325,254,24,2,29,2,1078,16,
Gui,Almería,125,109,9,0,2,0,333,3,
N. García,Leganés,175,136,20,1,42,0,714,12,
J. Magunazelaia,Eibar,220,177,13,0,4,0,580,7,
I. Martín,Sporting Gijón,1176,973,123,1,14,1,1982,23,
RRR. Rodriguez,Málaga,28,23,4,0,2,0,73,2,
D. Lorenzo,Málaga,199,166,18,0,1,0,488,5,
EAE. Alcaniz,FC Cartagena,0,0,0,0,0,0,0,0,
S. Clúa,Mirandés,223,192,21,0,1,0,519,0,
A. Madariaga,Eibar,609,486,33,0,14,2,1405,13,
M. Cantero,Burgos Club de Fútbol,149,120,7,0,3,0,320,2,
A. Ochoa,Málaga,401,312,48,0,17,2,1024,16,
A. Martín,Mirandés,575,451,68,1,18,2,1642,14,
DFD. Fernández,CD Tenerife,76,55,3,0,4,0,316,2,
NTN. Tounkara,AD Alcorcón,6,5,1,0,0,0,16,0,
DTD. Tejón Naves,Real Oviedo,0,0,0,0,0,0,0,0,
LRL. Rubio,FC Cartagena,0,0,0,0,0,0,0,0,
ROR. Ojeda,Huesca,2,1,0,0,0,0,16,0,
MDM. Delgado,Eibar,0,0,0,0,0,0,0,0,
