Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
I. Marcano,FC Porto,11,943,1715,0,7.0,1,1,0.6426,0.648,0.2803,11,43,13,29,1,45,760,678,90,10,1,4,Defender
N. Otamendi,Benfica,32,2709,1716,2,29.0,12,6,3.8829,3.825,1.9409,53,107,59,125,5,209,2014,1804,212,2,2,10,Defender
P. Oliveira,Sporting Braga,24,1713,1717,0,15.0,6,1,2.1248,2.084,0.3862,23,128,27,45,0,77,1147,980,145,1,0,1,Defender
A. Santos,AVS - Futebol SAD,14,678,1718,0,1.0,0,0,0.0115,0.011,0.0247,9,70,4,19,0,29,238,196,38,0,0,0,Defender
L. Rocha,Vizela,30,2490,1719,0,10.0,2,0,0.3348,0.416,0.1703,32,135,18,51,4,97,1091,934,106,1,1,3,Defender
F. Ferreira,Boavista,26,2141,1720,0,10.0,3,0,0.2226,0.105,0.6793,27,67,23,18,7,64,875,663,164,38,0,8,Defender
R. Soares,Famalicão,24,1918,1721,2,8.0,2,0,0.3916,0.355,2.221,37,65,15,11,4,60,821,637,102,130,6,36,Defender
F. Venâncio,Santa Clara,31,1654,1722,0,4.0,1,0,0.2412,0.247,0.1935,28,97,24,37,0,66,767,651,102,3,0,6,Defender
K. Afonso,AVS - Futebol SAD,9,320,1723,0,3.0,0,0,0.0874,0.077,0.1452,3,10,5,8,1,15,111,79,24,8,0,4,Defender
J. Reis,Portimonense,2,66,1724,0,1.0,0,0,0.0,,0.0,0,3,0,0,0,0,19,18,1,3,0,1,Defender
Ferro,Estoril Praia,25,1412,1725,0,6.0,1,0,0.3826,0.371,0.3265,46,91,26,29,2,86,744,558,195,7,0,5,Defender
CPC. Ponck,AVS - Futebol SAD,16,491,1726,0,1.0,1,0,0.0648,0.065,0.0309,9,37,6,12,0,25,298,256,29,0,0,2,Defender
D. Morer,Famalicão,5,8,1727,0,,0,0,0.0,,0.0,0,4,0,0,0,0,5,4,0,1,0,0,Defender
J. Rhyner,Vizela,1,90,1728,0,1.0,0,0,0.0,,0.0,0,1,1,6,0,7,66,62,4,0,1,3,Defender
