Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
I. Marcano,FC Porto,0,1,7.0,1,1,943,0.6426,0.648,0.2803,
N. Otamendi,Benfica,2,2,29.0,12,6,2709,3.8829,3.825,1.9409,
P. Oliveira,Sporting Braga,0,0,15.0,6,1,1713,2.1248,2.084,0.3862,
A. Santos,AVS - Futebol SAD,0,0,1.0,0,0,678,0.0115,0.011,0.0247,
L. Rocha,Vizela,0,1,10.0,2,0,2490,0.3348,0.416,0.1703,
F. Ferreira,Boavista,0,0,10.0,3,0,2141,0.2226,0.105,0.6793,
R. Soares,Famalicão,2,6,8.0,2,0,1918,0.3916,0.355,2.221,
F. Venâncio,Santa Clara,0,0,4.0,1,0,1654,0.2412,0.247,0.1935,
K. Afonso,AVS - Futebol SAD,0,0,3.0,0,0,320,0.0874,0.077,0.1452,
J. Reis,Portimonense,0,0,1.0,0,0,66,0.0,,0.0,
Ferro,Estoril Praia,0,0,6.0,1,0,1412,0.3826,0.371,0.3265,
CPC. Ponck,AVS - Futebol SAD,0,0,1.0,1,0,491,0.0648,0.065,0.0309,
D. Morer,Famalicão,0,0,,0,0,8,0.0,,0.0,
J. Rhyner,Vizela,0,1,1.0,0,0,90,0.0,,0.0,
J. Buatu,Gil Vicente,2,2,5.0,0,0,1733,0.3479,0.348,0.5969,
P. Amaral,Estoril Praia,2,1,7.0,2,0,2303,0.4404,0.547,2.4938,
R. Abascal,Vitória SC,0,1,18.0,4,0,2510,0.8259,0.541,1.3346,
A. Bah,Benfica,1,5,11.0,1,0,1325,1.0172,1.018,1.3901,
T. Esgaio,FC Arouca,1,4,18.0,6,2,2014,1.534,1.663,1.9559,
S. Niakaté,Sporting Braga,1,1,12.0,3,1,1873,1.1171,1.144,0.6133,
J. De Haas,Famalicão,0,0,12.0,5,1,2386,1.6527,0.924,0.3311,
V. Gómez,Sporting Braga,2,2,14.0,3,0,1917,0.9456,0.916,1.5379,
R. Mangas,Sporting,0,1,1.0,1,0,250,0.2052,0.205,0.6687,
Weverson,Gil Vicente,2,3,10.0,2,1,1796,0.5816,0.584,1.1571,
Maracás,Moreirense,1,2,11.0,5,1,2306,1.4493,1.449,0.1073,
F. Bacher,Estoril Praia,0,0,4.0,2,2,1879,0.3422,0.365,0.0994,
J. Fontán,FC Arouca,0,0,6.0,1,1,2412,0.7304,0.862,0.1463,
T. Araújo,Benfica,2,2,6.0,5,1,2230,0.9341,0.975,0.9809,
F. Moura,FC Porto,10,10,8.0,5,3,2488,0.4012,0.38,3.7113,
Z. Sanusi,FC Porto,0,0,1.0,0,0,62,0.0594,0.059,0.0299,
J. Gonçalves,Vizela,0,0,,0,0,87,0.0,,0.0,
E. Quaresma,Sporting,0,0,2.0,1,1,1402,0.101,0.101,0.5956,
R. Pinheiro,Famalicão,2,3,11.0,1,0,1909,0.6393,0.77,2.1435,
S. Dahl,Benfica,4,3,4.0,2,0,605,0.3045,0.287,2.3819,
B. Arrey-Mbi,Sporting Braga,0,1,1.0,1,0,1044,0.0303,0.03,0.1066,
G. Inácio,Sporting,2,2,17.0,5,3,2253,2.5868,2.695,0.9822,
Z. Carlos,Gil Vicente,0,1,12.0,2,0,2530,0.5777,0.57,2.4201,
J. Mutombo,Gil Vicente,0,0,6.0,1,0,763,0.1609,0.148,0.1915,
A. Silva,Benfica,2,3,11.0,3,1,1946,2.0704,2.2,1.2072,
K. Boma,Estoril Praia,0,1,14.0,8,1,2280,1.2833,1.294,0.2697,
MNM. Nóbrega,Vitória SC,0,0,,0,0,90,0.0,,0.0114,
C. Castro,AVS - Futebol SAD,1,1,6.0,2,0,1575,0.4627,0.384,0.1338,
M. Rocha,FC Arouca,0,0,2.0,0,0,300,0.0948,0.095,0.0165,
G. Costa,Estoril Praia,0,1,4.0,2,2,414,0.1288,0.129,0.2988,
H. Santos,Gil Vicente,0,0,2.0,1,0,263,0.02,0.018,0.0917,
P. Bondo,Famalicão,1,2,3.0,2,1,190,0.0466,0.093,0.4109,
M. Araújo,Santa Clara,1,2,19.0,3,1,2663,1.7316,1.804,0.9158,
P. Victor,Santa Clara,0,0,5.0,2,0,1541,0.3634,0.363,0.9589,
M. Elimbi,Gil Vicente,0,0,,0,0,433,0.0,,0.1216,
Michel,Moreirense,0,0,,0,0,100,0.0,,0.0,
Z. Debast,Sporting,3,4,16.0,6,0,2036,0.4993,0.501,1.4973,
Lipe,Gil Vicente,0,0,,0,0,0,0.0,,0.0,
F. Souza,Moreirense,0,0,2.0,0,0,702,0.0482,0.049,0.2989,
M. Maga,Vitória SC,1,2,8.0,2,0,1403,0.21,0.221,2.3708,
S. Lima,Santa Clara,1,2,18.0,8,3,2199,1.4172,1.357,0.5426,
J. Mendes,Vitória SC,0,1,18.0,5,0,2684,0.6354,0.732,1.991,
D. Travassos,Moreirense,0,2,16.0,4,1,1716,0.4439,0.483,1.3788,
M. Fernandes,FC Porto,4,11,6.0,4,0,1237,0.6996,0.7,3.2971,
G. Batista,Moreirense,0,0,,0,0,315,0.0,,0.3263,
