Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
I. Marcano,FC Porto,11,1,943,0.6426,0.2803,
N. Otamendi,Benfica,32,6,2709,3.8829,1.9409,
P. Oliveira,Sporting Braga,24,1,1713,2.1248,0.3862,
A. Santos,AVS - Futebol SAD,14,0,678,0.0115,0.0247,
L. Rocha,Vizela,30,0,2490,0.3348,0.1703,
F. Ferreira,Boavista,26,0,2141,0.2226,0.6793,
R. Soares,Famalicão,24,0,1918,0.3916,2.221,
F. Venâncio,Santa Clara,31,0,1654,0.2412,0.1935,
K. Afonso,AVS - Futebol SAD,9,0,320,0.0874,0.1452,
J. Reis,Portimonense,2,0,66,0,0,
Ferro,Estoril Praia,25,0,1412,0.3826,0.3265,
CPC. Ponck,AVS - Futebol SAD,16,0,491,0.0648,0.0309,
D. Morer,Famalicão,5,0,8,0,0,
J. Rhyner,Vizela,1,0,90,0,0,
J. Buatu,Gil Vicente,29,0,1733,0.3479,0.5969,
P. Amaral,Estoril Praia,28,0,2303,0.4404,2.4938,
R. Abascal,Vitória SC,28,0,2510,0.8259,1.3346,
A. Bah,Benfica,19,0,1325,1.0172,1.3901,
T. Esgaio,FC Arouca,23,2,2014,1.534,1.9559,
S. Niakaté,Sporting Braga,25,1,1873,1.1171,0.6133,
J. De Haas,Famalicão,30,1,2386,1.6527,0.3311,
V. Gómez,Sporting Braga,31,0,1917,0.9456,1.5379,
R. Mangas,Sporting,3,0,250,0.2052,0.6687,
Weverson,Gil Vicente,28,1,1796,0.5816,1.1571,
Maracás,Moreirense,31,1,2306,1.4493,0.1073,
F. Bacher,Estoril Praia,25,2,1879,0.3422,0.0994,
J. Fontán,FC Arouca,27,1,2412,0.7304,0.1463,
T. Araújo,Benfica,30,1,2230,0.9341,0.9809,
F. Moura,FC Porto,31,3,2488,0.4012,3.7113,
Z. Sanusi,FC Porto,12,0,62,0.0594,0.0299,
J. Gonçalves,Vizela,2,0,87,0,0,
E. Quaresma,Sporting,25,1,1402,0.101,0.5956,
R. Pinheiro,Famalicão,31,0,1909,0.6393,2.1435,
S. Dahl,Benfica,14,0,605,0.3045,2.3819,
B. Arrey-Mbi,Sporting Braga,19,0,1044,0.0303,0.1066,
G. Inácio,Sporting,28,3,2253,2.5868,0.9822,
Z. Carlos,Gil Vicente,31,0,2530,0.5777,2.4201,
J. Mutombo,Gil Vicente,20,0,763,0.1609,0.1915,
A. Silva,Benfica,33,1,1946,2.0704,1.2072,
K. Boma,Estoril Praia,27,1,2280,1.2833,0.2697,
MNM. Nóbrega,Vitória SC,1,0,90,0,0.0114,
C. Castro,AVS - Futebol SAD,18,0,1575,0.4627,0.1338,
M. Rocha,FC Arouca,10,0,300,0.0948,0.0165,
G. Costa,Estoril Praia,30,2,414,0.1288,0.2988,
H. Santos,Gil Vicente,14,0,263,0.02,0.0917,
P. Bondo,Famalicão,11,1,190,0.0466,0.4109,
M. Araújo,Santa Clara,31,1,2663,1.7316,0.9158,
P. Victor,Santa Clara,26,0,1541,0.3634,0.9589,
M. Elimbi,Gil Vicente,22,0,433,0,0.1216,
Michel,Moreirense,7,0,100,0,0,
Z. Debast,Sporting,33,0,2036,0.4993,1.4973,
Lipe,Gil Vicente,1,0,0,0,0,
F. Souza,Moreirense,16,0,702,0.0482,0.2989,
M. Maga,Vitória SC,23,0,1403,0.21,2.3708,
S. Lima,Santa Clara,29,3,2199,1.4172,0.5426,
J. Mendes,Vitória SC,31,0,2684,0.6354,1.991,
D. Travassos,Moreirense,25,1,1716,0.4439,1.3788,
M. Fernandes,FC Porto,27,0,1237,0.6996,3.2971,
G. Batista,Moreirense,24,0,315,0,0.3263,
A. Costa,FC Porto,16,0,673,0.2286,2.2495,
D. Pinto,Moreirense,31,2,2083,1.3668,2.1983,
Habraão,Santa Clara,12,0,1,0,0,
I. Fresneda,Sporting,31,3,956,1.9725,0.7891,
Ó. Rivas,Vitória SC,17,1,797,0.977,0.0699,
ICI. Cabelinho,Santa Clara,1,0,0,0,0,
O. Diomande,Sporting,30,2,2436,1.5344,0.9163,
MAM. Augusto,Moreirense,4,0,149,0,0,
HSH. Silva,Santa Clara,1,0,0,0,0,
TAT. Araujo Brito,Estoril Praia,2,0,45,0,0.0191,
L. Santos,Moreirense,5,0,266,0.0466,0.565,
P. Carvalho,Estoril Praia,30,0,722,0.7151,0.8272,
J. Silva,FC Arouca,4,0,12,0,0,
J. Noro,Sporting Braga,6,0,12,0.0108,0,
EHE. Henrique,Portimonense,3,0,61,0.1183,0,
I. Ba,Famalicão,6,0,102,0.2111,0.0053,
JSJ. Sampaio,Vizela,1,0,0,0,0,
A. Marques,Boavista,23,0,98,0,0,
T. Silva,Boavista,18,0,87,0.0493,0,
RSR. Silva,Vitória SC,1,0,0,0,0,
