Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
I. Marcano,FC Porto,11,43,13,29,1,943,45,
N. Otamendi,Benfica,53,107,59,125,5,2709,209,
P. Oliveira,Sporting Braga,23,128,27,45,0,1713,77,
A. Santos,AVS - Futebol SAD,9,70,4,19,0,678,29,
L. Rocha,Vizela,32,135,18,51,4,2490,97,
F. Ferreira,Boavista,27,67,23,18,7,2141,64,
R. Soares,Famalicão,37,65,15,11,4,1918,60,
F. Venâncio,Santa Clara,28,97,24,37,0,1654,66,
K. Afonso,AVS - Futebol SAD,3,10,5,8,1,320,15,
J. Reis,Portimonense,0,3,0,0,0,66,0,
Ferro,Estoril Praia,46,91,26,29,2,1412,86,
CPC. Ponck,AVS - Futebol SAD,9,37,6,12,0,491,25,
D. Morer,Famalicão,0,4,0,0,0,8,0,
J. Rhyner,Vizela,0,1,1,6,0,90,7,
J. Buatu,Gil Vicente,26,94,15,35,2,1733,68,
P. Amaral,Estoril Praia,30,59,21,24,1,2303,90,
R. Abascal,Vitória SC,56,138,41,36,6,2510,105,
A. Bah,Benfica,48,14,19,23,5,1325,106,
T. Esgaio,FC Arouca,56,96,31,63,1,2014,137,
S. Niakaté,Sporting Braga,18,96,32,57,4,1873,94,
J. De Haas,Famalicão,39,155,43,72,5,2386,126,
V. Gómez,Sporting Braga,42,63,28,16,5,1917,85,
R. Mangas,Sporting,2,7,0,3,0,250,14,
Weverson,Gil Vicente,39,62,22,25,4,1796,102,
Maracás,Moreirense,31,152,27,47,2,2306,96,
F. Bacher,Estoril Praia,38,138,32,60,1,1879,125,
J. Fontán,FC Arouca,28,142,26,46,0,2412,87,
T. Araújo,Benfica,69,43,26,50,1,2230,139,
F. Moura,FC Porto,49,41,23,27,0,2488,106,
Z. Sanusi,FC Porto,0,2,0,2,0,62,4,
J. Gonçalves,Vizela,1,1,0,4,0,87,5,
E. Quaresma,Sporting,48,36,12,17,0,1402,107,
R. Pinheiro,Famalicão,46,55,23,21,5,1909,111,
S. Dahl,Benfica,11,5,5,2,1,605,30,
B. Arrey-Mbi,Sporting Braga,15,38,6,14,0,1044,34,
G. Inácio,Sporting,40,72,30,51,4,2253,103,
Z. Carlos,Gil Vicente,56,93,43,34,2,2530,154,
J. Mutombo,Gil Vicente,30,28,8,8,3,763,63,
A. Silva,Benfica,33,96,21,56,2,1946,100,
K. Boma,Estoril Praia,45,118,41,75,1,2280,143,
MNM. Nóbrega,Vitória SC,3,2,0,1,0,90,6,
C. Castro,AVS - Futebol SAD,25,109,25,21,2,1575,62,
M. Rocha,FC Arouca,4,17,2,3,0,300,8,
G. Costa,Estoril Praia,7,9,7,4,0,414,20,
H. Santos,Gil Vicente,7,12,1,2,0,263,15,
P. Bondo,Famalicão,3,3,0,4,1,190,16,
M. Araújo,Santa Clara,53,146,34,70,3,2663,173,
P. Victor,Santa Clara,61,55,26,34,0,1541,165,
M. Elimbi,Gil Vicente,7,30,5,6,0,433,17,
Michel,Moreirense,1,16,1,6,0,100,7,
Z. Debast,Sporting,36,34,28,20,4,2036,80,
Lipe,Gil Vicente,0,0,0,0,0,0,0,
F. Souza,Moreirense,12,22,12,5,2,702,41,
M. Maga,Vitória SC,34,38,14,25,4,1403,75,
S. Lima,Santa Clara,39,107,43,56,3,2199,138,
J. Mendes,Vitória SC,65,76,21,41,7,2684,124,
D. Travassos,Moreirense,32,32,18,14,4,1716,106,
M. Fernandes,FC Porto,24,17,11,21,1,1237,85,
G. Batista,Moreirense,4,20,3,9,0,315,18,
A. Costa,FC Porto,24,20,9,9,3,673,57,
D. Pinto,Moreirense,62,72,23,33,4,2083,136,
Habraão,Santa Clara,0,0,0,0,0,1,0,
I. Fresneda,Sporting,25,9,10,3,1,956,44,
Ó. Rivas,Vitória SC,9,46,13,19,0,797,39,
ICI. Cabelinho,Santa Clara,0,0,0,0,0,0,0,
O. Diomande,Sporting,33,77,32,70,2,2436,123,
MAM. Augusto,Moreirense,2,11,2,2,0,149,4,
HSH. Silva,Santa Clara,0,0,0,0,0,0,0,
TAT. Araujo Brito,Estoril Praia,3,0,0,1,0,45,6,
L. Santos,Moreirense,7,5,1,4,0,266,19,
P. Carvalho,Estoril Praia,17,28,11,4,1,722,40,
J. Silva,FC Arouca,1,0,0,0,0,12,1,
J. Noro,Sporting Braga,0,1,0,0,0,12,0,
EHE. Henrique,Portimonense,0,4,2,1,0,61,1,
I. Ba,Famalicão,1,11,1,4,0,102,5,
JSJ. Sampaio,Vizela,0,0,0,0,0,0,0,
A. Marques,Boavista,1,3,1,2,0,98,4,
T. Silva,Boavista,0,2,1,1,0,87,1,
RSR. Silva,Vitória SC,0,0,0,0,0,0,0,
