Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
I. Marcano,FC Porto,760,678,90,0,10,1,943,4,
N. Otamendi,Benfica,2014,1804,212,2,2,2,2709,10,
P. Oliveira,Sporting Braga,1147,980,145,0,1,0,1713,1,
A. Santos,AVS - Futebol SAD,238,196,38,0,0,0,678,0,
L. Rocha,Vizela,1091,934,106,0,1,1,2490,3,
F. Ferreira,Boavista,875,663,164,0,38,0,2141,8,
R. Soares,Famalicão,821,637,102,2,130,6,1918,36,
F. Venâncio,Santa Clara,767,651,102,0,3,0,1654,6,
K. Afonso,AVS - Futebol SAD,111,79,24,0,8,0,320,4,
J. Reis,Portimonense,19,18,1,0,3,0,66,1,
Ferro,Estoril Praia,744,558,195,0,7,0,1412,5,
CPC. Ponck,AVS - Futebol SAD,298,256,29,0,0,0,491,2,
D. Morer,Famalicão,5,4,0,0,1,0,8,0,
J. Rhyner,Vizela,66,62,4,0,0,1,90,3,
J. Buatu,Gil Vicente,1007,917,95,2,2,2,1733,4,
P. Amaral,Estoril Praia,945,758,112,2,66,1,2303,20,
R. Abascal,Vitória SC,1078,796,335,0,31,1,2510,17,
A. Bah,Benfica,723,592,59,1,55,5,1325,12,
T. Esgaio,FC Arouca,935,680,119,1,39,4,2014,14,
S. Niakaté,Sporting Braga,1354,1194,139,1,5,1,1873,6,
J. De Haas,Famalicão,1397,1188,215,0,1,0,2386,3,
V. Gómez,Sporting Braga,1040,841,157,2,87,2,1917,24,
R. Mangas,Sporting,47,39,2,0,4,1,250,2,
Weverson,Gil Vicente,667,513,91,2,62,3,1796,15,
Maracás,Moreirense,1132,986,134,1,0,2,2306,2,
F. Bacher,Estoril Praia,844,710,104,0,0,0,1879,1,
J. Fontán,FC Arouca,1633,1441,191,0,3,0,2412,3,
T. Araújo,Benfica,1396,1204,140,2,23,2,2230,11,
F. Moura,FC Porto,1140,938,67,10,87,10,2488,42,
Z. Sanusi,FC Porto,31,28,2,0,4,0,62,0,
J. Gonçalves,Vizela,56,54,5,0,0,0,87,1,
E. Quaresma,Sporting,1062,988,50,0,1,0,1402,5,
R. Pinheiro,Famalicão,756,587,66,2,60,3,1909,17,
S. Dahl,Benfica,282,232,16,4,42,3,605,13,
B. Arrey-Mbi,Sporting Braga,808,756,35,0,0,1,1044,3,
G. Inácio,Sporting,2074,1861,182,2,2,2,2253,14,
Z. Carlos,Gil Vicente,1167,889,165,0,50,1,2530,18,
J. Mutombo,Gil Vicente,324,261,40,0,14,0,763,5,
A. Silva,Benfica,1273,1124,138,2,4,3,1946,6,
K. Boma,Estoril Praia,1062,915,97,0,0,1,2280,5,
MNM. Nóbrega,Vitória SC,41,35,4,0,1,0,90,0,
C. Castro,AVS - Futebol SAD,653,538,126,1,1,1,1575,5,
M. Rocha,FC Arouca,241,223,16,0,0,0,300,0,
G. Costa,Estoril Praia,142,98,10,0,22,1,414,4,
H. Santos,Gil Vicente,127,93,10,0,9,0,263,1,
P. Bondo,Famalicão,61,42,8,1,18,2,190,4,
M. Araújo,Santa Clara,1327,1018,275,1,22,2,2663,14,
P. Victor,Santa Clara,444,288,98,0,28,0,1541,10,
M. Elimbi,Gil Vicente,200,171,44,0,0,0,433,1,
Michel,Moreirense,42,24,8,0,0,0,100,0,
Z. Debast,Sporting,1475,1318,160,3,50,4,2036,24,
Lipe,Gil Vicente,0,0,0,0,0,0,0,0,
F. Souza,Moreirense,278,209,54,0,22,0,702,2,
M. Maga,Vitória SC,623,512,37,1,38,2,1403,9,
S. Lima,Santa Clara,995,782,165,1,18,2,2199,8,
J. Mendes,Vitória SC,1378,1086,149,0,111,1,2684,24,
D. Travassos,Moreirense,508,356,86,0,82,2,1716,16,
M. Fernandes,FC Porto,610,496,66,4,43,11,1237,21,
G. Batista,Moreirense,118,100,13,0,0,0,315,0,
A. Costa,FC Porto,286,214,28,2,20,2,673,11,
D. Pinto,Moreirense,834,647,83,1,63,1,2083,11,
Habraão,Santa Clara,0,0,0,0,0,0,1,0,
I. Fresneda,Sporting,389,324,21,0,23,1,956,8,
Ó. Rivas,Vitória SC,479,412,60,0,3,0,797,0,
ICI. Cabelinho,Santa Clara,0,0,0,0,0,0,0,0,
O. Diomande,Sporting,2024,1888,117,0,0,1,2436,10,
MAM. Augusto,Moreirense,50,44,12,0,0,0,149,0,
HSH. Silva,Santa Clara,0,0,0,0,0,0,0,0,
TAT. Araujo Brito,Estoril Praia,23,20,2,0,0,0,45,2,
L. Santos,Moreirense,155,133,5,0,15,1,266,4,
P. Carvalho,Estoril Praia,295,224,31,2,39,4,722,8,
J. Silva,FC Arouca,3,1,1,0,0,0,12,0,
J. Noro,Sporting Braga,7,7,0,0,0,0,12,0,
EHE. Henrique,Portimonense,8,7,0,0,1,0,61,0,
I. Ba,Famalicão,37,29,6,0,0,0,102,0,
JSJ. Sampaio,Vizela,0,0,0,0,0,0,0,0,
A. Marques,Boavista,43,37,5,0,0,0,98,0,
T. Silva,Boavista,21,12,5,0,2,0,87,0,
RSR. Silva,Vitória SC,0,0,0,0,0,0,0,0,
