Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
N. Oliveira,Vitória SC,30,1760,1794,4,45.0,15,3,3.4773,3.569,1.3771,3,9,2,26,10,82,314,245,11,18,5,15,Forward
Nenê,AVS - Futebol SAD,18,402,1795,1,13.0,3,2,1.1329,1.169,0.1575,2,2,1,19,3,30,84,54,8,0,1,4,Forward
TTomané,AVS - Futebol SAD,23,1597,1796,0,30.0,10,3,2.7986,2.002,1.1916,15,23,1,107,8,172,338,197,13,22,2,20,Forward
J. Carvalho,Estoril Praia,26,2129,1797,3,29.0,11,6,1.5639,1.713,3.2798,31,9,7,7,7,102,911,710,86,40,6,28,Forward
V. Pavlidis,Benfica,33,2246,1798,7,83.0,37,19,18.1332,15.97,4.9038,18,10,5,36,18,108,549,410,32,8,10,40,Forward
R. Guitane,Estoril Praia,25,774,1799,4,7.0,2,0,0.5203,0.485,2.0063,10,2,2,4,1,68,295,251,7,14,4,19,Forward
F. Trincão,Sporting,33,2875,1800,13,102.0,33,9,8.9681,8.775,7.3386,50,27,13,4,38,175,965,800,57,75,17,74,Forward
A. Safira,Santa Clara,14,850,1801,2,16.0,5,1,3.5773,2.258,1.4734,8,10,3,47,3,73,166,96,0,1,2,8,Forward
Pepê,FC Porto,30,1913,1802,1,29.0,14,3,4.1903,4.374,2.6032,23,5,11,15,9,83,728,577,29,61,4,30,Forward
P. Gonçalves,Sporting,14,882,1803,4,38.0,9,5,4.0206,4.029,3.7167,13,0,5,2,19,36,327,262,18,38,10,42,Forward
F. Navarro,Sporting Braga,15,772,1804,0,13.0,8,4,3.4157,2.689,0.3847,5,3,1,7,1,25,103,77,0,2,0,4,Forward
A. Marqués,Estoril Praia,32,1561,1805,0,35.0,14,10,7.558,5.195,0.5361,6,19,8,38,9,77,223,156,8,1,0,10,Forward
Y. Begraoui,Estoril Praia,32,1854,1806,3,44.0,22,11,10.2783,7.394,1.9384,18,13,5,12,8,69,470,367,22,14,7,17,Forward
W. Silva,Santa Clara,6,231,1807,0,4.0,4,2,1.7258,1.54,0.1951,1,2,1,9,0,15,59,45,1,0,0,4,Forward
Ó. Aranda,Famalicão,31,2462,1808,2,62.0,22,8,7.1339,3.033,2.1473,25,20,9,34,19,217,687,548,66,55,2,16,Forward
N. Ntolla,Vizela,2,156,1809,0,2.0,1,0,0.0,,0.0,2,0,0,1,0,9,47,39,2,17,1,3,Forward
A. Butzke,Marítimo,10,394,1810,1,16.0,4,0,1.3874,1.415,0.4238,4,5,3,21,5,29,93,60,6,0,0,6,Forward
H. Araújo,Benfica,24,1068,1811,2,26.0,12,6,5.8944,3.725,0.523,5,9,2,16,6,46,192,144,5,5,1,7,Forward
M. Puche,FC Arouca,29,527,1812,1,12.0,4,2,1.0858,1.216,0.6694,6,6,10,6,1,28,147,120,11,18,1,9,Forward
