Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
N. Oliveira,Vitória SC,4,5,45.0,15,3,1760,3.4773,3.569,1.3771,
Nenê,AVS - Futebol SAD,1,1,13.0,3,2,402,1.1329,1.169,0.1575,
TTomané,AVS - Futebol SAD,0,2,30.0,10,3,1597,2.7986,2.002,1.1916,
J. Carvalho,Estoril Praia,3,6,29.0,11,6,2129,1.5639,1.713,3.2798,
V. Pavlidis,Benfica,7,10,83.0,37,19,2246,18.1332,15.97,4.9038,
R. Guitane,Estoril Praia,4,4,7.0,2,0,774,0.5203,0.485,2.0063,
F. Trincão,Sporting,13,17,102.0,33,9,2875,8.9681,8.775,7.3386,
A. Safira,Santa Clara,2,2,16.0,5,1,850,3.5773,2.258,1.4734,
Pepê,FC Porto,1,4,29.0,14,3,1913,4.1903,4.374,2.6032,
P. Gonçalves,Sporting,4,10,38.0,9,5,882,4.0206,4.029,3.7167,
F. Navarro,Sporting Braga,0,0,13.0,8,4,772,3.4157,2.689,0.3847,
A. Marqués,Estoril Praia,0,0,35.0,14,10,1561,7.558,5.195,0.5361,
Y. Begraoui,Estoril Praia,3,7,44.0,22,11,1854,10.2783,7.394,1.9384,
W. Silva,Santa Clara,0,0,4.0,4,2,231,1.7258,1.54,0.1951,
Ó. Aranda,Famalicão,2,2,62.0,22,8,2462,7.1339,3.033,2.1473,
N. Ntolla,Vizela,0,1,2.0,1,0,156,0.0,,0.0,
A. Butzke,Marítimo,1,0,16.0,4,0,394,1.3874,1.415,0.4238,
H. Araújo,Benfica,2,1,26.0,12,6,1068,5.8944,3.725,0.523,
M. Puche,FC Arouca,1,1,12.0,4,2,527,1.0858,1.216,0.6694,
V. Lopes,Santa Clara,1,8,48.0,16,8,2108,8.0905,7.411,2.1903,
A. El Ouazzani,Sporting Braga,1,4,33.0,19,7,1508,6.1097,6.058,1.6242,
G. Silva,Santa Clara,3,7,78.0,24,5,2613,7.5742,7.152,3.2215,
S. Elisor,Famalicão,0,2,14.0,7,4,595,4.0635,4.039,0.2905,
TFT. Ferreira,Portimonense,0,0,1.0,0,0,60,0.0282,0.028,0.0448,
A. Schjelderup,Benfica,3,5,19.0,8,1,517,2.4255,2.426,1.98,
P. Felipe,Famalicão,0,1,16.0,8,5,809,2.2947,2.108,0.5059,
A. Lacximicant,Estoril Praia,3,2,33.0,15,5,1000,5.6859,5.594,0.4287,
B. Akinsola,AVS - Futebol SAD,0,2,21.0,6,4,854,1.3083,1.379,0.6436,
Y. Maranhão,Moreirense,0,0,5.0,3,3,265,0.5695,0.619,0.007,
D. Llorente,Boavista,0,0,,0,0,0,0.0,,0.0,
C. Eduardo,Gil Vicente,0,0,1.0,0,0,151,0.0184,0.018,0.0193,
D. Gül,FC Porto,0,1,10.0,2,1,462,1.4005,1.413,0.3592,
T. Touré,Gil Vicente,1,2,23.0,9,1,969,1.5594,1.626,0.7821,
T. Machado,Boavista,0,0,4.0,1,0,149,0.1974,0.024,0.0978,
S. Aghehowa,FC Porto,3,5,77.0,31,16,2173,12.7724,9.894,2.0888,
J. Costa,Santa Clara,0,2,14.0,6,3,738,3.4946,3.688,1.0054,
D. Loppy,Vizela,0,0,2.0,0,0,177,0.0,,0.0,
W. Gomes,FC Porto,0,1,3.0,1,0,161,0.2512,0.232,0.1311,
AGA. Guilherme de Moraes,Santa Clara,0,0,,0,0,0,0.0,,0.0,
S. Vidigal,Sporting Braga,0,0,,0,0,0,0.0,,0.0,
R. Ramos,Vizela,0,0,2.0,0,0,112,0.0,,0.0,
F. Sambú,Boavista,0,0,,0,0,0,0.0,,0.0,
Maranhão,Moreirense,0,0,,0,0,0,0.0,,0.0,
V. Maia,Santa Clara,0,0,,0,0,0,0.0,,0.0,
