Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
N. Oliveira,Vitória SC,30,3,1760,3.4773,1.3771,
Nenê,AVS - Futebol SAD,18,2,402,1.1329,0.1575,
TTomané,AVS - Futebol SAD,23,3,1597,2.7986,1.1916,
J. Carvalho,Estoril Praia,26,6,2129,1.5639,3.2798,
V. Pavlidis,Benfica,33,19,2246,18.1332,4.9038,
R. Guitane,Estoril Praia,25,0,774,0.5203,2.0063,
F. Trincão,Sporting,33,9,2875,8.9681,7.3386,
A. Safira,Santa Clara,14,1,850,3.5773,1.4734,
Pepê,FC Porto,30,3,1913,4.1903,2.6032,
P. Gonçalves,Sporting,14,5,882,4.0206,3.7167,
F. Navarro,Sporting Braga,15,4,772,3.4157,0.3847,
A. Marqués,Estoril Praia,32,10,1561,7.558,0.5361,
Y. Begraoui,Estoril Praia,32,11,1854,10.2783,1.9384,
W. Silva,Santa Clara,6,2,231,1.7258,0.1951,
Ó. Aranda,Famalicão,31,8,2462,7.1339,2.1473,
N. Ntolla,Vizela,2,0,156,0,0,
A. Butzke,Marítimo,10,0,394,1.3874,0.4238,
H. Araújo,Benfica,24,6,1068,5.8944,0.523,
M. Puche,FC Arouca,29,2,527,1.0858,0.6694,
V. Lopes,Santa Clara,31,8,2108,8.0905,2.1903,
A. El Ouazzani,Sporting Braga,32,7,1508,6.1097,1.6242,
G. Silva,Santa Clara,31,5,2613,7.5742,3.2215,
S. Elisor,Famalicão,14,4,595,4.0635,0.2905,
TFT. Ferreira,Portimonense,7,0,60,0.0282,0.0448,
A. Schjelderup,Benfica,27,1,517,2.4255,1.98,
P. Felipe,Famalicão,21,5,809,2.2947,0.5059,
A. Lacximicant,Estoril Praia,31,5,1000,5.6859,0.4287,
B. Akinsola,AVS - Futebol SAD,18,4,854,1.3083,0.6436,
Y. Maranhão,Moreirense,10,3,265,0.5695,0.007,
D. Llorente,Boavista,5,0,0,0,0,
C. Eduardo,Gil Vicente,9,0,151,0.0184,0.0193,
D. Gül,FC Porto,25,1,462,1.4005,0.3592,
T. Touré,Gil Vicente,27,1,969,1.5594,0.7821,
T. Machado,Boavista,21,0,149,0.1974,0.0978,
S. Aghehowa,FC Porto,29,16,2173,12.7724,2.0888,
J. Costa,Santa Clara,32,3,738,3.4946,1.0054,
D. Loppy,Vizela,2,0,177,0,0,
W. Gomes,FC Porto,11,0,161,0.2512,0.1311,
AGA. Guilherme de Moraes,Santa Clara,1,0,0,0,0,
S. Vidigal,Sporting Braga,2,0,0,0,0,
R. Ramos,Vizela,2,0,112,0,0,
F. Sambú,Boavista,2,0,0,0,0,
Maranhão,Moreirense,1,0,0,0,0,
V. Maia,Santa Clara,2,0,0,0,0,
