Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
N. Oliveira,Vitória SC,3,9,2,26,10,1760,82,
Nenê,AVS - Futebol SAD,2,2,1,19,3,402,30,
TTomané,AVS - Futebol SAD,15,23,1,107,8,1597,172,
J. Carvalho,Estoril Praia,31,9,7,7,7,2129,102,
V. Pavlidis,Benfica,18,10,5,36,18,2246,108,
R. Guitane,Estoril Praia,10,2,2,4,1,774,68,
F. Trincão,Sporting,50,27,13,4,38,2875,175,
A. Safira,Santa Clara,8,10,3,47,3,850,73,
Pepê,FC Porto,23,5,11,15,9,1913,83,
P. Gonçalves,Sporting,13,0,5,2,19,882,36,
F. Navarro,Sporting Braga,5,3,1,7,1,772,25,
A. Marqués,Estoril Praia,6,19,8,38,9,1561,77,
Y. Begraoui,Estoril Praia,18,13,5,12,8,1854,69,
W. Silva,Santa Clara,1,2,1,9,0,231,15,
Ó. Aranda,Famalicão,25,20,9,34,19,2462,217,
N. Ntolla,Vizela,2,0,0,1,0,156,9,
A. Butzke,Marítimo,4,5,3,21,5,394,29,
H. Araújo,Benfica,5,9,2,16,6,1068,46,
M. Puche,FC Arouca,6,6,10,6,1,527,28,
V. Lopes,Santa Clara,42,23,12,42,13,2108,147,
A. El Ouazzani,Sporting Braga,16,8,5,50,5,1508,90,
G. Silva,Santa Clara,27,9,7,27,24,2613,171,
S. Elisor,Famalicão,1,4,2,21,0,595,46,
TFT. Ferreira,Portimonense,3,0,1,1,1,60,5,
A. Schjelderup,Benfica,3,3,0,1,7,517,22,
P. Felipe,Famalicão,16,7,6,24,5,809,89,
A. Lacximicant,Estoril Praia,6,13,4,22,4,1000,58,
B. Akinsola,AVS - Futebol SAD,8,9,3,6,7,854,50,
Y. Maranhão,Moreirense,3,4,0,5,0,265,14,
D. Llorente,Boavista,0,0,0,0,0,0,0,
C. Eduardo,Gil Vicente,1,0,0,2,0,151,6,
D. Gül,FC Porto,0,1,0,15,2,462,24,
T. Touré,Gil Vicente,20,10,6,5,5,969,74,
T. Machado,Boavista,1,0,0,1,1,149,4,
S. Aghehowa,FC Porto,4,13,5,47,13,2173,96,
J. Costa,Santa Clara,15,7,5,14,0,738,45,
D. Loppy,Vizela,0,3,1,4,2,177,9,
W. Gomes,FC Porto,7,1,1,0,2,161,13,
AGA. Guilherme de Moraes,Santa Clara,0,0,0,0,0,0,0,
S. Vidigal,Sporting Braga,0,0,0,0,0,0,0,
R. Ramos,Vizela,4,1,0,3,0,112,15,
F. Sambú,Boavista,0,0,0,0,0,0,0,
Maranhão,Moreirense,0,0,0,0,0,0,0,
V. Maia,Santa Clara,0,0,0,0,0,0,0,
