Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
P. Trigueira,AVS - Futebol SAD,9,0,1838,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
J. Robles,Estoril Praia,29,2509,1839,0,,0,0,0.0,,0.019,1,42,0,9,0,11,738,367,546,0,0,0,84,Goalkeeper
Mika,Moreirense,8,8,1840,0,,0,0,0.0,,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,Goalkeeper
C. Ramos,FC Porto,30,180,1841,0,,0,0,0.0,,0.0,0,0,0,0,0,0,45,39,10,0,0,0,5,Goalkeeper
Charles,Vitória SC,28,0,1842,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
T. Sá,Sporting Braga,14,0,1843,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
Caio,Moreirense,32,447,1844,0,,0,0,0.0,,0.0,0,3,0,3,0,6,130,72,78,0,0,0,15,Goalkeeper
I. Zlobin,Famalicão,23,1260,1845,0,,0,0,0.0,,0.0,0,20,0,7,0,12,366,242,184,0,0,0,41,Goalkeeper
J. Costa,FC Porto,15,1260,1846,0,,0,0,0.0,,0.0052,1,12,0,3,0,5,393,231,265,0,0,0,39,Goalkeeper
G. Batista,Santa Clara,32,2869,1847,0,,0,0,0.0,,0.0225,3,46,0,16,0,22,851,484,543,0,0,0,80,Goalkeeper
D. Costa,FC Porto,31,2790,1848,0,,0,0,0.0,,0.0051,1,19,1,4,0,6,1052,860,365,0,0,0,58,Goalkeeper
D. Figueira,Gil Vicente,3,90,1849,0,,0,0,0.0,,0.0,0,2,0,1,0,1,18,13,8,0,0,0,3,Goalkeeper
L. Carević,Famalicão,27,1530,1850,0,,0,0,0.0,,0.0,0,20,0,7,0,9,425,306,203,0,0,0,52,Goalkeeper
L. Horníček,Sporting Braga,32,1530,1851,0,,0,0,0.0,,0.0,0,17,0,5,0,6,538,371,246,0,0,0,48,Goalkeeper
A. Trubin,Benfica,33,2790,1852,0,,0,0,0.0,,0.0,0,22,2,11,0,16,688,557,226,0,0,1,67,Goalkeeper
J. Valido,FC Arouca,26,450,1853,0,,0,0,0.0,,0.031,0,7,0,1,0,5,133,112,41,0,1,1,14,Goalkeeper
Simão,AVS - Futebol SAD,8,270,1854,0,,0,0,0.0,,0.0,0,4,0,1,0,2,92,44,71,0,0,0,12,Goalkeeper
S. Soares,Benfica,32,180,1855,0,,0,0,0.0,,0.0,0,0,0,0,0,0,28,23,10,0,0,0,5,Goalkeeper
LCL. Cañizares,Tondela,12,0,1856,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
R. Garcia Gonzalez,Vizela,8,257,1857,0,6.0,1,1,0.2944,0.293,0.0633,3,1,2,1,3,6,67,58,9,0,0,0,0,Goalkeeper
D. Callai,Sporting,6,0,1858,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
DDD. Dias,Estoril Praia,2,0,1859,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
T. Sousa,Boavista,20,180,1860,0,,0,0,0.0,,0.0,0,3,0,0,0,0,47,14,46,0,0,0,5,Goalkeeper
