Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
P. Trigueira,AVS - Futebol SAD,0,0,,0,0,0,0.0,,0.0,
J. Robles,Estoril Praia,0,0,,0,0,2509,0.0,,0.019,
Mika,Moreirense,0,0,,0,0,8,0.0,,0.0,
C. Ramos,FC Porto,0,0,,0,0,180,0.0,,0.0,
Charles,Vitória SC,0,0,,0,0,0,0.0,,0.0,
T. Sá,Sporting Braga,0,0,,0,0,0,0.0,,0.0,
Caio,Moreirense,0,0,,0,0,447,0.0,,0.0,
I. Zlobin,Famalicão,0,0,,0,0,1260,0.0,,0.0,
J. Costa,FC Porto,0,0,,0,0,1260,0.0,,0.0052,
G. Batista,Santa Clara,0,0,,0,0,2869,0.0,,0.0225,
D. Costa,FC Porto,0,0,,0,0,2790,0.0,,0.0051,
D. Figueira,Gil Vicente,0,0,,0,0,90,0.0,,0.0,
L. Carević,Famalicão,0,0,,0,0,1530,0.0,,0.0,
L. Horníček,Sporting Braga,0,0,,0,0,1530,0.0,,0.0,
A. Trubin,Benfica,0,0,,0,0,2790,0.0,,0.0,
J. Valido,FC Arouca,0,1,,0,0,450,0.0,,0.031,
Simão,AVS - Futebol SAD,0,0,,0,0,270,0.0,,0.0,
S. Soares,Benfica,0,0,,0,0,180,0.0,,0.0,
LCL. Cañizares,Tondela,0,0,,0,0,0,0.0,,0.0,
R. Garcia Gonzalez,Vizela,0,0,6.0,1,1,257,0.2944,0.293,0.0633,
D. Callai,Sporting,0,0,,0,0,0,0.0,,0.0,
DDD. Dias,Estoril Praia,0,0,,0,0,0,0.0,,0.0,
T. Sousa,Boavista,0,0,,0,0,180,0.0,,0.0,
