Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
P. Trigueira,AVS - Futebol SAD,9,0,0,0,0,
J. Robles,Estoril Praia,29,0,2509,0,0.019,
Mika,Moreirense,8,0,8,0,0,
C. Ramos,FC Porto,30,0,180,0,0,
Charles,Vitória SC,28,0,0,0,0,
T. Sá,Sporting Braga,14,0,0,0,0,
Caio,Moreirense,32,0,447,0,0,
I. Zlobin,Famalicão,23,0,1260,0,0,
J. Costa,FC Porto,15,0,1260,0,0.0052,
G. Batista,Santa Clara,32,0,2869,0,0.0225,
D. Costa,FC Porto,31,0,2790,0,0.0051,
D. Figueira,Gil Vicente,3,0,90,0,0,
L. Carević,Famalicão,27,0,1530,0,0,
L. Horníček,Sporting Braga,32,0,1530,0,0,
A. Trubin,Benfica,33,0,2790,0,0,
J. Valido,FC Arouca,26,0,450,0,0.031,
Simão,AVS - Futebol SAD,8,0,270,0,0,
S. Soares,Benfica,32,0,180,0,0,
LCL. Cañizares,Tondela,12,0,0,0,0,
R. Garcia Gonzalez,Vizela,8,1,257,0.2944,0.0633,
D. Callai,Sporting,6,0,0,0,0,
DDD. Dias,Estoril Praia,2,0,0,0,0,
T. Sousa,Boavista,20,0,180,0,0,
