Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
P. Trigueira,AVS - Futebol SAD,0,0,0,0,0,0,0,
J. Robles,Estoril Praia,1,42,0,9,0,2509,11,
Mika,Moreirense,0,0,0,0,0,8,0,
C. Ramos,FC Porto,0,0,0,0,0,180,0,
Charles,Vitória SC,0,0,0,0,0,0,0,
T. Sá,Sporting Braga,0,0,0,0,0,0,0,
Caio,Moreirense,0,3,0,3,0,447,6,
I. Zlobin,Famalicão,0,20,0,7,0,1260,12,
J. Costa,FC Porto,1,12,0,3,0,1260,5,
G. Batista,Santa Clara,3,46,0,16,0,2869,22,
D. Costa,FC Porto,1,19,1,4,0,2790,6,
D. Figueira,Gil Vicente,0,2,0,1,0,90,1,
L. Carević,Famalicão,0,20,0,7,0,1530,9,
L. Horníček,Sporting Braga,0,17,0,5,0,1530,6,
A. Trubin,Benfica,0,22,2,11,0,2790,16,
J. Valido,FC Arouca,0,7,0,1,0,450,5,
Simão,AVS - Futebol SAD,0,4,0,1,0,270,2,
S. Soares,Benfica,0,0,0,0,0,180,0,
LCL. Cañizares,Tondela,0,0,0,0,0,0,0,
R. Garcia Gonzalez,Vizela,3,1,2,1,3,257,6,
D. Callai,Sporting,0,0,0,0,0,0,0,
DDD. Dias,Estoril Praia,0,0,0,0,0,0,0,
T. Sousa,Boavista,0,3,0,0,0,180,0,
