Name,Team,Mins,Saves,Unnamed: 3
P. Trigueira,AVS - Futebol SAD,0,0,
J. Robles,Estoril Praia,2509,84,
Mika,Moreirense,8,0,
C. Ramos,FC Porto,180,5,
Charles,Vitória SC,0,0,
T. Sá,Sporting Braga,0,0,
Caio,Moreirense,447,15,
I. Zlobin,Famalicão,1260,41,
J. Costa,FC Porto,1260,39,
G. Batista,Santa Clara,2869,80,
D. Costa,FC Porto,2790,58,
D. Figueira,Gil Vicente,90,3,
L. Carević,Famalicão,1530,52,
L. Horníček,Sporting Braga,1530,48,
A. Trubin,Benfica,2790,67,
J. Valido,FC Arouca,450,14,
Simão,AVS - Futebol SAD,270,12,
S. Soares,Benfica,180,5,
LCL. Cañizares,Tondela,0,0,
R. Garcia Gonzalez,Vizela,257,0,
D. Callai,Sporting,0,0,
DDD. Dias,Estoril Praia,0,0,
T. Sousa,Boavista,180,5,
