Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
P. Trigueira,AVS - Futebol SAD,0,0,0,0,0,0,0,0,
J. Robles,Estoril Praia,738,367,546,0,0,0,2509,0,
Mika,Moreirense,2,2,0,0,0,0,8,0,
C. Ramos,FC Porto,45,39,10,0,0,0,180,0,
Charles,Vitória SC,0,0,0,0,0,0,0,0,
T. Sá,Sporting Braga,0,0,0,0,0,0,0,0,
Caio,Moreirense,130,72,78,0,0,0,447,0,
I. Zlobin,Famalicão,366,242,184,0,0,0,1260,0,
J. Costa,FC Porto,393,231,265,0,0,0,1260,0,
G. Batista,Santa Clara,851,484,543,0,0,0,2869,0,
D. Costa,FC Porto,1052,860,365,0,0,0,2790,0,
D. Figueira,Gil Vicente,18,13,8,0,0,0,90,0,
L. Carević,Famalicão,425,306,203,0,0,0,1530,0,
L. Horníček,Sporting Braga,538,371,246,0,0,0,1530,0,
A. Trubin,Benfica,688,557,226,0,0,0,2790,1,
J. Valido,FC Arouca,133,112,41,0,0,1,450,1,
Simão,AVS - Futebol SAD,92,44,71,0,0,0,270,0,
S. Soares,Benfica,28,23,10,0,0,0,180,0,
LCL. Cañizares,Tondela,0,0,0,0,0,0,0,0,
R. Garcia Gonzalez,Vizela,67,58,9,0,0,0,257,0,
D. Callai,Sporting,0,0,0,0,0,0,0,0,
DDD. Dias,Estoril Praia,0,0,0,0,0,0,0,0,
T. Sousa,Boavista,47,14,46,0,0,0,180,0,
