Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. Moutinho,Sporting Braga,2,3,12.0,1,1,1587,0.5793,0.582,1.5236,
P. Moreira,FC Arouca,0,0,,0,0,0,0.0,,0.0,
J. Mário,Benfica,0,0,3.0,2,0,155,0.0811,0.08,0.5871,
Bruma,Benfica,7,12,56.0,19,8,1629,9.4386,6.991,5.4661,
RLR. Lopes,Tondela,0,3,29.0,11,1,1134,3.1415,2.364,2.3846,
F. Aursnes,Benfica,5,7,28.0,11,3,2267,2.1168,2.41,4.0092,
R. Horta,Sporting Braga,6,7,50.0,22,10,2755,7.3525,7.706,4.4414,
PHP. Henrique,Marítimo,0,0,,0,0,0,0.0,,0.0,
Rochinha,Famalicão,0,0,13.0,2,0,832,0.4883,0.464,0.8664,
N. Santos,Sporting,0,0,8.0,1,0,263,0.1862,0.185,0.7927,
G. Dias,Famalicão,2,2,35.0,15,3,1315,1.9889,2.202,1.202,
Samu,Vitória SC,1,6,35.0,11,2,1679,2.911,2.985,2.4449,
M. Edwards,Sporting,0,0,5.0,1,1,118,0.5596,0.56,0.1298,
S. Sithole,Tondela,0,0,,0,0,24,0.0,,0.0,
T. Van De Looi,Famalicão,2,2,10.0,2,0,1647,0.5975,0.647,0.7948,
H. Mörschel,Vizela,0,1,5.0,3,1,180,0.0,,0.0,
P. Ferreira,Santa Clara,3,4,19.0,4,0,1721,1.1912,1.344,0.2532,
Xeka,Estoril Praia,1,2,11.0,3,1,856,0.3733,0.427,0.9792,
M. Hjulmand,Sporting,1,2,15.0,7,2,2131,1.9845,1.195,1.9443,
D. Bragança,Sporting,4,3,30.0,9,3,1016,2.4342,2.499,1.3546,
J. Orellana,Estoril Praia,1,0,8.0,4,1,923,0.9233,1.141,0.7132,
V. Carvalho,Sporting Braga,0,1,20.0,1,0,1442,0.9981,1.011,0.9788,
D. Calila,Santa Clara,2,2,11.0,4,1,1662,0.7981,0.888,0.8575,
Alan,Moreirense,6,7,42.0,19,6,2440,5.3893,2.175,3.9161,
