Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. Moutinho,Sporting Braga,24,1,1587,0.5793,1.5236,
P. Moreira,FC Arouca,7,0,0,0,0,
J. Mário,Benfica,2,0,155,0.0811,0.5871,
Bruma,Benfica,30,8,1629,9.4386,5.4661,
RLR. Lopes,Tondela,14,1,1134,3.1415,2.3846,
F. Aursnes,Benfica,29,3,2267,2.1168,4.0092,
R. Horta,Sporting Braga,33,10,2755,7.3525,4.4414,
PHP. Henrique,Marítimo,2,0,0,0,0,
Rochinha,Famalicão,24,0,832,0.4883,0.8664,
N. Santos,Sporting,6,0,263,0.1862,0.7927,
G. Dias,Famalicão,28,3,1315,1.9889,1.202,
Samu,Vitória SC,30,2,1679,2.911,2.4449,
M. Edwards,Sporting,12,1,118,0.5596,0.1298,
S. Sithole,Tondela,3,0,24,0,0,
T. Van De Looi,Famalicão,31,0,1647,0.5975,0.7948,
H. Mörschel,Vizela,2,1,180,0,0,
P. Ferreira,Santa Clara,30,0,1721,1.1912,0.2532,
Xeka,Estoril Praia,13,1,856,0.3733,0.9792,
M. Hjulmand,Sporting,27,2,2131,1.9845,1.9443,
D. Bragança,Sporting,17,3,1016,2.4342,1.3546,
J. Orellana,Estoril Praia,26,1,923,0.9233,0.7132,
V. Carvalho,Sporting Braga,26,0,1442,0.9981,0.9788,
D. Calila,Santa Clara,30,1,1662,0.7981,0.8575,
Alan,Moreirense,30,6,2440,5.3893,3.9161,
A. Busnić,Vizela,2,0,24,0,0,
L. Barreiro,Benfica,29,3,1153,3.7226,1.4443,
C. Teguia,Moreirense,14,2,913,0.7356,0.8508,
J. Holsgrove,Estoril Praia,26,1,2193,1.0371,3.2793,
H. Morita,Sporting,23,2,1274,1.6252,2.0797,
A. Freitas,Marítimo,3,0,0,0,0,
M. Araújo,Sporting,27,3,1743,2.3558,5.1839,
A. Bastunov,Vizela,2,0,45,0,0,
S. Bermejo,Gil Vicente,11,1,419,0.4263,0.2282,
R. Zalazar,Sporting Braga,19,4,1399,3.497,2.5459,
A. Trezza,FC Arouca,31,5,2266,5.3508,2.2811,
F. Cáseres,Gil Vicente,20,0,1410,0.3504,1.4702,
L. Soares,Santa Clara,30,0,1575,0.7617,1.7771,
P. Gozálbez,FC Arouca,23,1,662,0.953,0.6372,
G. Catamo,Sporting,29,5,1896,5.4941,4.7425,
B. Mukendi,Vitória SC,29,0,938,0.096,0.2424,
O. Mamageishvili,Famalicão,10,0,48,0.0774,0,
G. Mendonca,AVS - Futebol SAD,16,1,415,0.0192,0.1741,
L. Lelo,Sporting Braga,31,1,2761,0.9015,4.5874,
V. Sousa,Moreirense,20,0,428,0.7716,0.5151,
P. Santos,FC Arouca,29,0,1436,0.5884,0.6427,
T. Galletto,AVS - Futebol SAD,8,0,88,0.0193,0,
Serginho,Santa Clara,32,2,1272,2.2684,0.8997,
T. Arcanjo,Vitória SC,32,5,1297,3.0035,2.1917,
A. Varela,FC Porto,31,0,2122,0.701,2.7078,
KBK. Bondoso,Moreirense,29,2,1935,2.5224,1.526,
S. García,Gil Vicente,28,4,1414,1.2285,0.862,
M. Silva,Benfica,19,1,767,0.4223,0.3905,
S. Lobato,Portimonense,28,0,99,0.0216,0.035,
L. Esteves,Gil Vicente,31,0,2638,2.8125,2.4109,
T. Fukui,FC Arouca,31,0,2014,0.7597,0.9762,
J. Gorby,Sporting Braga,32,1,1218,0.4571,0.3567,
G. Martínez,Sporting Braga,33,3,1455,3.0186,2.8925,
ZCZ. Carlos,Vitória SC,30,0,820,0.0628,0.2058,
DED. Ege Tıknaz,Sporting Braga,28,4,1982,1.9391,1.0216,
A. Oliveira,FC Porto,1,0,0,0,0,
J. Rêgo,Benfica,6,0,35,0,0.0059,
G. Klismahn,Santa Clara,15,0,733,0.3912,1.3309,
M. Cruz,Marítimo,12,0,18,0,0.0072,
D. Rodrigues,Sporting Braga,10,0,161,0.2106,0.7868,
G. Prestianni,Benfica,10,0,287,0.6972,0.3383,
G. Quenda,Sporting,33,2,2186,3.2974,4.1648,
J. Simões,Sporting,13,1,400,0.3668,0.2153,
R. Mora,FC Porto,24,9,1361,4.0728,1.3366,
DSD. Sousa,Vitória SC,6,0,0,0,0,
G. Silva,Vitória SC,20,7,856,4.1698,0.9464,
RRR. Ribeiro,Famalicão,3,0,0,0,0,
A. Rodrigues,Tondela,9,0,14,0.0684,0,
M. De Amorim,Famalicão,30,1,982,1.042,1.1941,
M. Ribeiro,Boavista,18,0,361,0.2637,0.3398,
LGL. Gomes,Estoril Praia,1,0,0,0,0,
G. Sá,Famalicão,31,4,2383,3.4202,2.6117,
GBG. Beleza,Gil Vicente,3,0,0,0,0,
AAA. Assis,Moreirense,5,0,13,0,0,
D. Costa,Gil Vicente,6,0,74,0,0,
RRR. Rodrigues,Gil Vicente,1,0,9,0,0,
