Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Moutinho,Sporting Braga,44,22,23,24,3,1587,91,
P. Moreira,FC Arouca,0,0,0,0,0,0,0,
J. Mário,Benfica,3,0,0,0,1,155,5,
Bruma,Benfica,15,2,2,5,16,1629,94,
RLR. Lopes,Tondela,13,9,5,10,6,1134,49,
F. Aursnes,Benfica,44,21,11,17,8,2267,85,
R. Horta,Sporting Braga,42,21,8,5,10,2755,91,
PHP. Henrique,Marítimo,0,0,0,0,0,0,0,
Rochinha,Famalicão,8,3,4,4,4,832,51,
N. Santos,Sporting,3,2,4,0,4,263,6,
G. Dias,Famalicão,32,18,11,11,13,1315,91,
Samu,Vitória SC,47,14,2,21,10,1679,103,
M. Edwards,Sporting,0,2,0,0,2,118,10,
S. Sithole,Tondela,2,0,0,0,0,24,3,
T. Van De Looi,Famalicão,32,48,12,36,3,1647,88,
H. Mörschel,Vizela,4,1,2,5,0,180,17,
P. Ferreira,Santa Clara,69,39,34,17,4,1721,109,
Xeka,Estoril Praia,24,15,11,13,4,856,58,
M. Hjulmand,Sporting,54,29,26,18,2,2131,137,
D. Bragança,Sporting,25,6,4,7,10,1016,63,
J. Orellana,Estoril Praia,16,6,11,7,0,923,35,
V. Carvalho,Sporting Braga,32,26,23,36,3,1442,92,
D. Calila,Santa Clara,44,51,11,10,2,1662,77,
Alan,Moreirense,28,6,8,6,8,2440,113,
A. Busnić,Vizela,0,0,0,1,1,24,1,
L. Barreiro,Benfica,31,6,7,23,3,1153,95,
C. Teguia,Moreirense,15,14,8,17,2,913,54,
J. Holsgrove,Estoril Praia,39,30,32,24,7,2193,131,
H. Morita,Sporting,34,17,12,19,4,1274,70,
A. Freitas,Marítimo,0,0,0,0,0,0,0,
M. Araújo,Sporting,52,34,18,18,3,1743,129,
A. Bastunov,Vizela,0,0,0,1,0,45,2,
S. Bermejo,Gil Vicente,7,3,3,1,0,419,24,
R. Zalazar,Sporting Braga,32,12,5,40,16,1399,144,
A. Trezza,FC Arouca,45,19,14,10,8,2266,94,
F. Cáseres,Gil Vicente,36,32,17,13,2,1410,87,
L. Soares,Santa Clara,30,57,15,15,6,1575,59,
P. Gozálbez,FC Arouca,12,7,3,3,3,662,31,
G. Catamo,Sporting,28,17,10,5,20,1896,115,
B. Mukendi,Vitória SC,22,23,12,21,0,938,70,
O. Mamageishvili,Famalicão,1,0,0,0,0,48,1,
G. Mendonca,AVS - Futebol SAD,12,4,8,4,0,415,23,
L. Lelo,Sporting Braga,56,73,24,11,6,2761,113,
V. Sousa,Moreirense,16,2,3,3,2,428,38,
P. Santos,FC Arouca,25,13,19,5,2,1436,64,
T. Galletto,AVS - Futebol SAD,2,0,0,0,0,88,3,
Serginho,Santa Clara,16,13,10,23,6,1272,67,
T. Arcanjo,Vitória SC,18,6,8,9,5,1297,71,
A. Varela,FC Porto,39,31,20,26,3,2122,100,
KBK. Bondoso,Moreirense,35,8,13,6,7,1935,84,
S. García,Gil Vicente,38,26,14,36,4,1414,118,
M. Silva,Benfica,28,18,18,27,5,767,72,
S. Lobato,Portimonense,3,1,0,4,0,99,9,
L. Esteves,Gil Vicente,45,12,14,14,20,2638,130,
T. Fukui,FC Arouca,42,37,24,8,7,2014,84,
J. Gorby,Sporting Braga,26,27,25,14,2,1218,59,
G. Martínez,Sporting Braga,46,17,7,8,8,1455,112,
ZCZ. Carlos,Vitória SC,32,18,13,9,0,820,68,
DED. Ege Tıknaz,Sporting Braga,58,46,47,25,1,1982,121,
A. Oliveira,FC Porto,0,0,0,0,0,0,0,
J. Rêgo,Benfica,2,0,0,0,0,35,4,
G. Klismahn,Santa Clara,17,8,7,9,1,733,42,
M. Cruz,Marítimo,0,0,0,0,0,18,1,
D. Rodrigues,Sporting Braga,5,0,1,3,4,161,12,
G. Prestianni,Benfica,3,2,0,2,5,287,16,
G. Quenda,Sporting,22,16,12,14,10,2186,103,
J. Simões,Sporting,7,5,4,0,5,400,15,
R. Mora,FC Porto,17,2,8,1,17,1361,62,
DSD. Sousa,Vitória SC,0,0,0,0,0,0,0,
G. Silva,Vitória SC,8,12,3,11,3,856,39,
RRR. Ribeiro,Famalicão,0,0,0,0,0,0,0,
A. Rodrigues,Tondela,0,0,0,2,0,14,3,
M. De Amorim,Famalicão,38,8,14,8,3,982,84,
M. Ribeiro,Boavista,10,5,1,3,1,361,20,
LGL. Gomes,Estoril Praia,0,0,0,0,0,0,0,
G. Sá,Famalicão,43,21,11,49,9,2383,185,
GBG. Beleza,Gil Vicente,0,0,0,0,0,0,0,
AAA. Assis,Moreirense,0,0,0,0,0,13,0,
D. Costa,Gil Vicente,0,5,1,0,0,74,1,
RRR. Rodrigues,Gil Vicente,0,0,0,1,0,9,1,
