Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
J. Moutinho,Sporting Braga,1137,1003,112,2,20,3,1587,17,
P. Moreira,FC Arouca,0,0,0,0,0,0,0,0,
J. Mário,Benfica,92,80,5,0,10,0,155,5,
Bruma,Benfica,697,562,31,7,20,12,1629,25,
RLR. Lopes,Tondela,340,264,36,0,83,3,1134,21,
F. Aursnes,Benfica,1162,982,93,5,49,7,2267,29,
R. Horta,Sporting Braga,1006,862,53,6,108,7,2755,59,
PHP. Henrique,Marítimo,0,0,0,0,0,0,0,0,
Rochinha,Famalicão,180,142,21,0,39,0,832,8,
N. Santos,Sporting,157,139,10,0,29,0,263,8,
G. Dias,Famalicão,431,308,21,2,34,2,1315,14,
Samu,Vitória SC,698,564,47,1,89,6,1679,31,
M. Edwards,Sporting,54,40,0,0,3,0,118,4,
S. Sithole,Tondela,8,8,0,0,0,0,24,0,
T. Van De Looi,Famalicão,943,777,114,2,12,2,1647,10,
H. Mörschel,Vizela,63,50,6,0,3,1,180,5,
P. Ferreira,Santa Clara,516,367,74,3,18,4,1721,8,
Xeka,Estoril Praia,410,333,30,1,12,2,856,4,
M. Hjulmand,Sporting,1454,1314,85,1,9,2,2131,25,
D. Bragança,Sporting,612,555,34,4,11,3,1016,21,
J. Orellana,Estoril Praia,445,394,15,1,23,0,923,10,
V. Carvalho,Sporting Braga,821,678,86,0,3,1,1442,7,
D. Calila,Santa Clara,475,345,68,2,47,2,1662,14,
Alan,Moreirense,1106,941,65,6,81,7,2440,65,
A. Busnić,Vizela,10,10,2,0,0,0,24,0,
L. Barreiro,Benfica,534,463,11,1,8,3,1153,12,
C. Teguia,Moreirense,248,191,16,1,30,3,913,12,
J. Holsgrove,Estoril Praia,1692,1428,177,4,92,4,2193,42,
H. Morita,Sporting,760,648,53,3,7,5,1274,20,
A. Freitas,Marítimo,0,0,0,0,0,0,0,0,
M. Araújo,Sporting,755,642,49,4,70,11,1743,39,
A. Bastunov,Vizela,18,18,0,0,1,0,45,0,
S. Bermejo,Gil Vicente,133,115,5,0,6,0,419,6,
R. Zalazar,Sporting Braga,625,512,50,5,80,6,1399,28,
A. Trezza,FC Arouca,441,320,28,1,62,5,2266,21,
F. Cáseres,Gil Vicente,830,756,72,0,1,2,1410,7,
L. Soares,Santa Clara,457,310,68,1,62,3,1575,16,
P. Gozálbez,FC Arouca,190,133,21,0,22,1,662,10,
G. Catamo,Sporting,785,651,39,2,70,7,1896,28,
B. Mukendi,Vitória SC,512,448,34,1,0,0,938,4,
O. Mamageishvili,Famalicão,16,7,4,0,0,0,48,0,
G. Mendonca,AVS - Futebol SAD,166,129,11,0,4,0,415,3,
L. Lelo,Sporting Braga,925,685,133,4,144,7,2761,51,
V. Sousa,Moreirense,210,184,13,0,1,0,428,2,
P. Santos,FC Arouca,857,757,103,0,12,1,1436,5,
T. Galletto,AVS - Futebol SAD,17,10,3,0,0,0,88,0,
Serginho,Santa Clara,494,405,43,1,34,2,1272,18,
T. Arcanjo,Vitória SC,429,348,22,2,78,3,1297,19,
A. Varela,FC Porto,1414,1261,87,2,62,3,2122,29,
KBK. Bondoso,Moreirense,518,415,21,1,22,1,1935,22,
S. García,Gil Vicente,615,492,33,2,5,3,1414,7,
M. Silva,Benfica,472,392,60,2,5,0,767,11,
S. Lobato,Portimonense,29,21,0,0,0,0,99,0,
L. Esteves,Gil Vicente,1140,893,208,2,42,5,2638,39,
T. Fukui,FC Arouca,985,850,75,2,20,3,2014,25,
J. Gorby,Sporting Braga,822,716,103,0,7,0,1218,5,
G. Martínez,Sporting Braga,557,422,40,2,50,6,1455,22,
ZCZ. Carlos,Vitória SC,336,264,33,0,3,0,820,4,
DED. Ege Tıknaz,Sporting Braga,956,821,94,2,5,2,1982,16,
A. Oliveira,FC Porto,0,0,0,0,0,0,0,0,
J. Rêgo,Benfica,13,8,0,0,2,0,35,0,
G. Klismahn,Santa Clara,228,177,33,3,38,2,733,18,
M. Cruz,Marítimo,15,12,3,0,1,0,18,0,
D. Rodrigues,Sporting Braga,93,78,10,1,3,3,161,3,
G. Prestianni,Benfica,105,87,2,0,8,0,287,4,
G. Quenda,Sporting,881,720,76,4,132,11,2186,50,
J. Simões,Sporting,242,225,15,0,6,0,400,6,
R. Mora,FC Porto,412,330,26,4,16,4,1361,21,
DSD. Sousa,Vitória SC,0,0,0,0,0,0,0,0,
G. Silva,Vitória SC,153,110,6,0,23,2,856,10,
RRR. Ribeiro,Famalicão,0,0,0,0,0,0,0,0,
A. Rodrigues,Tondela,4,2,0,0,1,0,14,0,
M. De Amorim,Famalicão,412,343,24,1,13,3,982,16,
M. Ribeiro,Boavista,117,87,15,0,14,0,361,5,
LGL. Gomes,Estoril Praia,0,0,0,0,0,0,0,0,
G. Sá,Famalicão,804,584,77,5,55,7,2383,35,
GBG. Beleza,Gil Vicente,0,0,0,0,0,0,0,0,
AAA. Assis,Moreirense,4,3,0,0,0,0,13,0,
D. Costa,Gil Vicente,27,19,10,0,0,0,74,0,
RRR. Rodrigues,Gil Vicente,5,1,0,0,0,0,9,0,
