Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
P. Mota,Leixões SC,3,216,1941,0,2.0,1,1,0.0,,0.0,2,7,2,2,0,5,68,55,8,21,0,0,Defender
Kaka,Académica Coimbra,3,0,1942,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
R. Alves,Chaves,5,450,1943,0,4.0,3,2,0.0,,0.0,5,33,4,18,1,24,161,127,32,2,0,1,Defender
H. Basto,CD Trofense,3,257,1944,0,1.0,0,0,0.0,,0.0,4,18,1,5,1,9,82,63,9,0,0,0,Defender
R. Rossi,CD Mafra,5,450,1945,0,3.0,0,0,0.0,,0.0,4,26,6,12,0,18,206,169,39,0,0,2,Defender
Simãozinho,Leixões SC,4,360,1946,0,3.0,2,0,0.0,,0.0,6,18,8,5,0,20,145,92,17,25,0,4,Defender
Carraça,Chaves,5,450,1947,1,5.0,1,0,0.0,,0.0,7,7,6,7,3,20,188,150,15,44,0,5,Defender
Talocha,Varzim SC,5,442,1948,2,8.0,0,0,0.0,,0.0,6,14,8,4,4,13,123,82,26,32,3,6,Defender
J. Miguel,Penafiel,3,270,1949,0,2.0,0,0,0.0,,0.0,6,20,3,8,1,14,87,63,20,0,0,0,Defender
B. Silva,Feirense,5,402,1950,0,2.0,0,0,0.0,,0.0,21,9,4,9,1,40,163,133,11,21,0,6,Defender
B. Pereira,Penafiel,3,84,1951,0,,0,0,0.0,,0.0,0,3,0,2,0,5,32,22,7,4,0,1,Defender
J. Oliveira,Feirense,4,66,1952,0,,0,0,0.0,,0.0,0,0,0,0,0,4,12,10,0,1,0,0,Defender
DGD. Gomes,CD Trofense,1,0,1953,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
ZRZ. Ricardo,Feirense,4,121,1954,0,1.0,1,0,0.0,,0.0,6,4,3,1,0,11,18,12,7,0,0,1,Defender
A. Correia,Académico Viseu FC,5,450,1955,1,4.0,1,0,0.0,,0.0,9,21,7,5,1,16,272,236,50,2,1,3,Defender
Chicao,Leixões SC,4,103,1956,0,1.0,0,0,0.0,,0.0,3,3,2,4,0,10,46,31,13,0,0,0,Defender
N. Michelis,Académico Viseu FC,4,360,1957,0,,0,0,0.0,,0.0,4,24,9,8,0,14,170,134,42,0,0,0,Defender
B. Rodrigues,Chaves,5,450,1958,0,3.0,2,0,0.0,,0.0,10,25,3,5,1,18,224,189,35,0,0,1,Defender
T. Almeida,Chaves,4,0,1959,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
T. Domingos,Académico Viseu FC,5,420,1960,0,1.0,0,0,0.0,,0.0,5,16,4,3,1,12,159,111,17,22,0,1,Defender
P. Rosas,Casa Pia,5,379,1961,2,4.0,0,0,0.0,,0.0,9,18,5,7,2,19,104,87,14,27,3,11,Defender
R. Pereira,Académico Viseu FC,1,90,1962,0,,0,0,0.0,,0.0,1,10,0,3,0,4,26,18,8,0,0,0,Defender
A. Romero,Chaves,5,449,1963,0,2.0,0,0,0.0,,0.0,11,3,5,0,1,17,198,167,19,17,0,4,Defender
J. Wynder,Benfica B U21,4,299,1964,0,2.0,1,0,0.0,,0.0,6,11,6,11,0,20,221,196,25,0,0,2,Defender
D. Spencer,Benfica B U21,4,165,1965,0,1.0,0,0,0.0,,0.0,2,3,0,0,0,3,60,45,8,5,0,1,Defender
I. Milioransa,Académico Viseu FC,4,214,1966,1,3.0,0,0,0.0,,0.0,1,4,4,2,0,8,76,52,12,8,1,6,Defender
EFE. Fernandes,Feirense,6,316,1967,1,3.0,0,0,0.0,,0.0,7,24,4,9,1,20,144,115,36,2,0,3,Defender
GBG. Brás,FC Porto B,1,0,1968,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
G. Negrao,Penafiel,3,14,1969,0,,0,0,0.0,,0.0,0,0,0,0,0,1,6,4,0,0,0,0,Defender
