Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
P. Mota,Leixões SC,0,0,2.0,1,1,216,0.0,,0.0,
Kaka,Académica Coimbra,0,0,,0,0,0,0.0,,0.0,
R. Alves,Chaves,0,0,4.0,3,2,450,0.0,,0.0,
H. Basto,CD Trofense,0,0,1.0,0,0,257,0.0,,0.0,
R. Rossi,CD Mafra,0,0,3.0,0,0,450,0.0,,0.0,
Simãozinho,Leixões SC,0,0,3.0,2,0,360,0.0,,0.0,
Carraça,Chaves,1,0,5.0,1,0,450,0.0,,0.0,
Talocha,Varzim SC,2,3,8.0,0,0,442,0.0,,0.0,
J. Miguel,Penafiel,0,0,2.0,0,0,270,0.0,,0.0,
B. Silva,Feirense,0,0,2.0,0,0,402,0.0,,0.0,
B. Pereira,Penafiel,0,0,,0,0,84,0.0,,0.0,
J. Oliveira,Feirense,0,0,,0,0,66,0.0,,0.0,
DGD. Gomes,CD Trofense,0,0,,0,0,0,0.0,,0.0,
ZRZ. Ricardo,Feirense,0,0,1.0,1,0,121,0.0,,0.0,
A. Correia,Académico Viseu FC,1,1,4.0,1,0,450,0.0,,0.0,
Chicao,Leixões SC,0,0,1.0,0,0,103,0.0,,0.0,
N. Michelis,Académico Viseu FC,0,0,,0,0,360,0.0,,0.0,
B. Rodrigues,Chaves,0,0,3.0,2,0,450,0.0,,0.0,
T. Almeida,Chaves,0,0,,0,0,0,0.0,,0.0,
T. Domingos,Académico Viseu FC,0,0,1.0,0,0,420,0.0,,0.0,
P. Rosas,Casa Pia,2,3,4.0,0,0,379,0.0,,0.0,
R. Pereira,Académico Viseu FC,0,0,,0,0,90,0.0,,0.0,
A. Romero,Chaves,0,0,2.0,0,0,449,0.0,,0.0,
J. Wynder,Benfica B U21,0,0,2.0,1,0,299,0.0,,0.0,
D. Spencer,Benfica B U21,0,0,1.0,0,0,165,0.0,,0.0,
I. Milioransa,Académico Viseu FC,1,1,3.0,0,0,214,0.0,,0.0,
EFE. Fernandes,Feirense,1,0,3.0,0,0,316,0.0,,0.0,
GBG. Brás,FC Porto B,0,0,,0,0,0,0.0,,0.0,
G. Negrao,Penafiel,0,0,,0,0,14,0.0,,0.0,
A. Ribeiro,FC Porto B,0,0,1.0,0,0,341,0.0,,0.0,
L. Gomes,FC Porto B,0,0,1.0,0,0,110,0.0,,0.0,
J. Fonseca,Benfica B U21,0,0,,0,0,0,0.0,,0.0,
D. Rodrigues,FC Porto B,0,1,3.0,2,0,237,0.0,,0.0,
LML. Martins,Benfica B U21,0,0,,0,0,1,0.0,,0.0,
J. Lomboto,Rio Ave,0,0,,0,0,283,0.0,,0.0,
T. Parente,Benfica B U21,0,0,,0,0,0,0.0,,0.0,
MCM. Cunha,FC Porto B,0,0,1.0,0,0,75,0.0,,0.0,
B. Junior,CD Mafra,0,0,1.0,0,0,335,0.0,,0.0,
K. Henrique,FC Porto B,1,0,,0,0,286,0.0,,0.0,
F. Sousa,FC Porto B,0,0,,0,0,0,0.0,,0.0,
A. Silva,SC Farense,0,0,,0,0,205,0.0,,0.0,
