Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
P. Mota,Leixões SC,3,1,216,0,0,
Kaka,Académica Coimbra,3,0,0,0,0,
R. Alves,Chaves,5,2,450,0,0,
H. Basto,CD Trofense,3,0,257,0,0,
R. Rossi,CD Mafra,5,0,450,0,0,
Simãozinho,Leixões SC,4,0,360,0,0,
Carraça,Chaves,5,0,450,0,0,
Talocha,Varzim SC,5,0,442,0,0,
J. Miguel,Penafiel,3,0,270,0,0,
B. Silva,Feirense,5,0,402,0,0,
B. Pereira,Penafiel,3,0,84,0,0,
J. Oliveira,Feirense,4,0,66,0,0,
DGD. Gomes,CD Trofense,1,0,0,0,0,
ZRZ. Ricardo,Feirense,4,0,121,0,0,
A. Correia,Académico Viseu FC,5,0,450,0,0,
Chicao,Leixões SC,4,0,103,0,0,
N. Michelis,Académico Viseu FC,4,0,360,0,0,
B. Rodrigues,Chaves,5,0,450,0,0,
T. Almeida,Chaves,4,0,0,0,0,
T. Domingos,Académico Viseu FC,5,0,420,0,0,
P. Rosas,Casa Pia,5,0,379,0,0,
R. Pereira,Académico Viseu FC,1,0,90,0,0,
A. Romero,Chaves,5,0,449,0,0,
J. Wynder,Benfica B U21,4,0,299,0,0,
D. Spencer,Benfica B U21,4,0,165,0,0,
I. Milioransa,Académico Viseu FC,4,0,214,0,0,
EFE. Fernandes,Feirense,6,0,316,0,0,
GBG. Brás,FC Porto B,1,0,0,0,0,
G. Negrao,Penafiel,3,0,14,0,0,
A. Ribeiro,FC Porto B,4,0,341,0,0,
L. Gomes,FC Porto B,5,0,110,0,0,
J. Fonseca,Benfica B U21,1,0,0,0,0,
D. Rodrigues,FC Porto B,4,0,237,0,0,
LML. Martins,Benfica B U21,1,0,1,0,0,
J. Lomboto,Rio Ave,4,0,283,0,0,
T. Parente,Benfica B U21,2,0,0,0,0,
MCM. Cunha,FC Porto B,2,0,75,0,0,
B. Junior,CD Mafra,4,0,335,0,0,
K. Henrique,FC Porto B,5,0,286,0,0,
F. Sousa,FC Porto B,2,0,0,0,0,
A. Silva,SC Farense,3,0,205,0,0,
